time,gross_output
2020,2.4632292500000023e6
2021,2.5349944010704756e6
2022,2.6087601646051393e6
2023,2.6846465020257337e6
2024,2.7627901736567756e6
2025,2.8433451637946717e6
2026,2.9207209925457556e6
2027,3.000425997926537e6
2028,3.0826108884895993e6
2029,3.1674303177518942e6
2030,3.255044666648701e6
2031,3.3396580252281125e6
2032,3.4269669644876556e6
2033,3.517122744651219e6
2034,3.610277615577742e6
2035,3.70658508761274e6
2036,3.7993316016928405e6
2037,3.8950612419325453e6
2038,3.9939222997197616e6
2039,4.0960671586884237e6
2040,4.20164941308997e6
2041,4.30350142312975e6
2042,4.40855953937696e6
2043,4.516954582303492e6
2044,4.628814721073452e6
2045,4.744268361257381e6
2046,4.8556382154754605e6
2047,4.97027623131905e6
2048,5.088293060361609e6
2049,5.209805161119384e6
2050,5.334945888870052e6
2051,5.455445669478415e6
2052,5.5792272491252795e6
2053,5.7063879431541255e6
2054,5.8370274565047845e6
2055,5.971239027448332e6
2056,6.100421441168603e6
2057,6.232716864881953e6
2058,6.36821189129619e6
2059,6.5069985211093845e6
2060,6.6491640928238435e6
2061,6.785936301061171e6
2062,6.925627342202422e6
2063,7.068320482129721e6
2064,7.21409022421217e6
2065,7.363011527772289e6
2066,7.505915559493254e6
2067,7.65145289793107e6
2068,7.79967530265374e6
2069,7.950654418241491e6
2070,8.104474293288268e6
2071,8.251624818311284e6
2072,8.401192689553456e6
2073,8.553249442658141e6
2074,8.707860631207611e6
2075,8.865095934140306e6
2076,9.015129043085454e6
2077,9.167254214094229e6
2078,9.321534924019154e6
2079,9.478016036039295e6
2080,9.636759469372965e6
2081,9.7875498542662e6
2082,9.940189333462413e6
2083,1.0094748344186598e7
2084,1.0251299797115775e7
2085,1.0409911044710178e7
2086,1.0560249313889256e7
2087,1.0712135584440893e7
2088,1.0865618906015143e7
2089,1.102074378285683e7
2090,1.1177548249397105e7
2091,1.1326081169663675e7
2092,1.1475765523070432e7
2093,1.1626651972572662e7
2094,1.1778816065989237e7
2095,1.1932357972585747e7
2096,1.2078124872813849e7
2097,1.2224882325685965e7
2098,1.2372687119803764e7
2099,1.2521585304240718e7
2100,1.2671614449276434e7
