time,gross_output
2020,2.4632292500000023e6
2021,2.5349944010704756e6
2022,2.6087601646051393e6
2023,2.6846465020257337e6
2024,2.7627901736567756e6
2025,2.8433451637946717e6
2026,2.9207209925457556e6
2027,3.000425997926537e6
2028,3.0826108884895993e6
2029,3.1674303177518942e6
2030,3.255044666648701e6
2031,3.3395206192987855e6
2032,3.4266692351494203e6
2033,3.5166406438631946e6
2034,3.609586510638594e6
2035,3.7056602988066887e6
2036,3.7981498954272717e6
2037,3.893599491600638e6
2038,3.9921577137326e6
2039,4.093977425399134e6
2040,4.199212156782643e6
2041,4.300700570703964e6
2042,4.405371885340771e6
2043,4.513359290422281e6
2044,4.62479296525535e6
2045,4.73980366898508e6
2046,4.850724888569375e6
2047,4.964911607005891e6
2048,5.082477633076653e6
2049,5.203542632433036e6
2050,5.328243588573364e6
2051,5.448325590317768e6
2052,5.5717005563096795e6
2053,5.698467563293134e6
2054,5.828727999913293e6
2055,5.96257718110811e6
2056,6.09142846465523e6
2057,6.223414515447562e6
2058,6.35862331125801e6
2059,6.497149010793098e6
2060,6.639081315886302e6
2061,6.775662056394735e6
2062,6.91520389156947e6
2063,7.057792607103486e6
2064,7.203506465446743e6
2065,7.352422973104232e6
2066,7.495390321983161e6
2067,7.641048405307271e6
2068,7.789453020276788e6
2069,7.940678181459369e6
2070,8.094812431894912e6
2071,8.2423612290291535e6
2072,8.392371516229637e6
2073,8.544917780527558e6
2074,8.70006612219259e6
2075,8.857886797770226e6
2076,9.008561302372705e6
2077,9.161380940341825e6
2078,9.316406711366253e6
2079,9.473687036336623e6
2080,9.633275772726212e6
2081,9.784867008971905e6
2082,9.938260195861476e6
2083,1.0093528404043628e7
2084,1.0250747049358841e7
2085,1.0409985849165475e7
2086,1.0560913617110431e7
2087,1.0713352502364747e7
2088,1.086735372973744e7
2089,1.1022963852485467e7
2090,1.1180222833394311e7
2091,1.1329178618046187e7
2092,1.1479257566032303e7
2093,1.1630512109766798e7
2094,1.1783019488017078e7
2095,1.1936881482914103e7
2096,1.208294308294838e7
2097,1.2229974223373413e7
2098,1.2378033068928458e7
2099,1.252716695078337e7
2100,1.267741463620649e7
