time,gross_output
2020,2.4632292500000023e6
2021,2.5349944010704756e6
2022,2.6087601646051393e6
2023,2.6846465020257337e6
2024,2.7627901736567756e6
2025,2.8433451637946717e6
2026,2.9207209925457556e6
2027,3.000425997926537e6
2028,3.0826108884895993e6
2029,3.1674303177518942e6
2030,3.255044666648701e6
2031,3.3475259715835624e6
2032,3.443722629678502e6
2033,3.543765689873497e6
2034,3.647754366525642e6
2035,3.755760904412059e6
2036,3.860916313284064e6
2037,3.969597770932315e6
2038,4.0818611430341494e6
2039,4.197766995446861e6
2040,4.31741069944458e6
2041,4.433279210399687e6
2042,4.552584402648564e6
2043,4.675313662215274e6
2044,4.801484424014888e6
2045,4.931116172530152e6
2046,5.05609459690292e6
2047,5.184087774726516e6
2048,5.315116060367693e6
2049,5.449219567712815e6
2050,5.586436726477594e6
2051,5.7180204491872005e6
2052,5.852433697272304e6
2053,5.989740678625193e6
2054,6.130008237261701e6
2055,6.273298261278266e6
2056,6.4105379022237435e6
2057,6.550279828503166e6
2058,6.6925905278171515e6
2059,6.837535550274632e6
2060,6.985173776261113e6
2061,7.126279306187205e6
2062,7.269526903870626e6
2063,7.414957466042086e6
2064,7.5625890579267815e6
2065,7.712458057544168e6
2066,7.8549084691710025e6
2067,7.99898274339597e6
2068,8.14467981587694e6
2069,8.292044139148558e6
2070,8.441103916117854e6
2071,8.581906501224175e6
2072,8.724398868332278e6
2073,8.868615406334134e6
2074,9.014620787869086e6
2075,9.162484495355994e6
2076,9.302065955923093e6
2077,9.442921523866046e6
2078,9.58516311950854e6
2079,9.728796468191402e6
2080,9.874015559608651e6
2081,1.0011743135292552e7
2082,1.015202268593722e7
2083,1.0294890461672971e7
2084,1.0440386520901583e7
2085,1.0588546837115336e7
2086,1.0728842546172656e7
2087,1.0871255934245104e7
2088,1.1015805843600424e7
2089,1.1162508053894658e7
2090,1.1311373310002418e7
2091,1.1452313379761253e7
2092,1.159485378378154e7
2093,1.1739019479066994e7
2094,1.1884861474068578e7
2095,1.2032456588458378e7
2096,1.2172558060735216e7
2097,1.2313993567180416e7
2098,1.2456799399968833e7
2099,1.2601002388291813e7
2100,1.274662204833735e7
