time,consumption_ede
2020,2.5459323080877545
2021,2.5789332750220817
2022,2.6109961984175327
2023,2.6451296465508802
2024,2.6836698499067424
2025,2.7271201414685757
2026,2.7690449632019902
2027,2.8153699168715454
2028,2.866520979351508
2029,2.922902978030727
2030,3.209026779199895
2031,3.299163648220664
2032,3.396552673812722
2033,3.500893582585936
2034,3.6106547812744134
2035,3.7283770588671774
2036,3.8444707264188063
2037,3.9687379155547213
2038,4.102417511540693
2039,4.246747788754127
2040,4.399847385339629
2041,4.554986478827665
2042,4.7184219260600875
2043,4.891295951490643
2044,5.073888265479182
2045,5.264140450494048
2046,5.45070570112951
2047,5.645827410859695
2048,5.856409013994507
2049,6.090926820148284
2050,6.340189390170851
2051,6.598312455376298
2052,6.868906462252686
2053,7.152881323669156
2054,7.45007623521006
2055,7.760065487477443
2056,8.072754491354566
2057,8.398625716725487
2058,8.739477995333477
2059,9.095217235708839
2060,9.468125515300338
2061,9.826067842243425
2062,10.188337424641677
2063,10.562750768126847
2064,10.949558964680598
2065,11.360593141493625
2066,11.782304412980105
2067,12.221569557814068
2068,12.674881850813058
2069,13.14315918338494
2070,13.621562058111266
2071,14.099000084099291
2072,14.591577557179
2073,15.099619122952484
2074,15.62440868912854
2075,16.166529836079288
2076,16.70813435269596
2077,17.264595444557706
2078,17.834346483802978
2079,18.427819505910275
2080,19.040339819566107
2081,19.649606757683088
2082,20.273887327900436
2083,20.916026434663717
2084,21.576466926442038
2085,22.25622006100176
2086,22.93648929480239
2087,23.630797919107017
2088,24.33960155282953
2089,25.04568828702658
2090,25.751513022372013
2091,26.447038979629703
2092,27.151676899565455
2093,27.87421671569511
2094,28.62241722098801
2095,29.388764866890288
2096,30.146317692140485
2097,30.914739748633927
2098,31.693939085838657
2099,32.483153764970965
2100,33.279706474391716
