time,gross_output
2020,983644.6250000006
2021,1.0320367764140493e6
2022,1.0831603300488396e6
2023,1.1373163349639769e6
2024,1.1948513723900432e6
2025,1.2561648702135074e6
2026,1.3174807173519942e6
2027,1.3830746987621465e6
2028,1.453464742577855e6
2029,1.5292278960936635e6
2030,1.6110044813668039e6
2031,1.6942392068549735e6
2032,1.7842994626043427e6
2033,1.8819292776394943e6
2034,1.9879281728309363e6
2035,2.1031511509979195e6
2036,2.221693337129811e6
2037,2.3503725041723456e6
2038,2.490096642496683e6
2039,2.641828797104689e6
2040,2.806586184840103e6
2041,2.9763171081219465e6
2042,3.1598096797276298e6
2043,3.358059006386343e6
2044,3.5721044162411685e6
2045,3.803036926316683e6
2046,4.039716436508583e6
2047,4.293541029067679e6
2048,4.565555569038264e6
2049,4.856879935460621e6
2050,5.168735640118286e6
2051,5.486819542806421e6
2052,5.825446892220077e6
2053,6.185759426997271e6
2054,6.568966184809249e6
2055,6.976326808070713e6
2056,7.388789433480963e6
2057,7.824719763839873e6
2058,8.285337304849178e6
2059,8.771955265654387e6
2060,9.285938074891599e6
2061,9.803558385934886e6
2062,1.0347594006931739e7
2063,1.0919372576948177e7
2064,1.1520259467642942e7
2065,1.2151675729939405e7
2066,1.2783732010965126e7
2067,1.3444592545402972e7
2068,1.4135526167588335e7
2069,1.4857940060188698e7
2070,1.561338350619013e7
2071,1.6365185742607664e7
2072,1.714801360496696e7
2073,1.7963297777824573e7
2074,1.8812474335186336e7
2075,1.969706098649613e7
2076,2.0572248192496974e7
2077,2.1479843970238145e7
2078,2.242120287091827e7
2079,2.339765906341068e7
2080,2.4410610771316458e7
2081,2.5405972245570477e7
2082,2.6434096601380233e7
2083,2.749640930219026e7
2084,2.8594401232890196e7
2085,2.972957579789244e7
2086,3.083992064140161e7
2087,3.1983125136815466e7
2088,3.316042402592946e7
2089,3.437305280426584e7
2090,3.5622232094913855e7
2091,3.6838817150840394e7
2092,3.808667251708992e7
2093,3.936695119774976e7
2094,4.068104087794335e7
2095,4.2030577680762656e7
2096,4.3340158265689544e7
2097,4.468017597992499e7
2098,4.605179067109421e7
2099,4.745609615215188e7
2100,4.8894136519021876e7
