time,temp,e_gtco2_club,total_tax_revenue
2020,1.1730635369796556,35.91529312414241,0.0
2021,1.2119102787255247,36.661854023122295,0.0
2022,1.2632866578706956,37.11433935699451,0.0
2023,1.315423890428984,37.36863953215092,0.0
2024,1.359139122874682,37.76795406629869,0.0
2025,1.394657378669077,38.17074193578465,0.0
2026,1.4239407981424814,38.20791466933767,0.0
2027,1.4493359541093394,38.24842783104569,0.0
2028,1.4732899732236007,38.29305975914251,0.0
2029,1.4964528572671343,38.34254831948523,0.0
2030,1.5182372263530057,31.094153764073244,1.3244209214216855e9
2031,1.538423840682907,30.074795703470155,1.4830670407016227e9
2032,1.5573757696571864,29.068214590639084,1.637788387562103e9
2033,1.5773082212921223,28.087235241532113,1.7843364444765415e9
2034,1.5998857863451668,27.142607161883383,1.9193234999934828e9
2035,1.6218886397958838,26.20408590998979,2.0493584022186265e9
2036,1.641754833855469,25.23807063941549,2.1471640939475176e9
2037,1.6587121658934185,24.301182230538263,2.2343324302119956e9
2038,1.6726184240906097,23.391670911850795,2.311288392148343e9
2039,1.6841053036489624,22.485160297909253,2.383032076561869e9
2040,1.6921899171158234,21.62687209230609,2.44041228137579e9
2041,1.6983193607263258,20.57523129467702,2.5141150922070723e9
2042,1.7038989453185107,19.568463737361018,2.570881406063991e9
2043,1.7101164929244022,18.58354555807621,2.6149737637622437e9
2044,1.7174383603102934,17.619747201378615,2.6464252728728557e9
2045,1.72750543385226,16.685748871594235,2.664170780571231e9
2046,1.7395622804176067,15.922182877209025,2.6854746474813013e9
2047,1.7518449461121897,15.173826088899018,2.6955446241526613e9
2048,1.7626139794140916,14.422412211449595,2.6958465036963816e9
2049,1.7688634902452713,13.702566118258636,2.6838991011027713e9
2050,1.7700882075969426,12.979001647578169,2.662035448658554e9
2051,1.7691416405580602,12.505394291092797,2.6591361966192446e9
2052,1.7682086715605057,12.033167065753432,2.651064524715844e9
2053,1.767283199387651,11.570379858605289,2.637684867381625e9
2054,1.7675947063772122,11.10095071549432,2.618828982199857e9
2055,1.7707441003027395,10.6407654494872,2.5945073134173217e9
2056,1.7767657356321713,10.202279901142376,2.565009891837119e9
2057,1.7825888746210259,9.771307635363012,2.5305246027646923e9
2058,1.7868305669855609,9.332837352160908,2.4900516938041086e9
2059,1.7906772857019906,8.887318467711932,2.4431107492239556e9
2060,1.7923313522635702,8.463926205649333,2.3922759109216347e9
2061,1.7912084588945962,7.936838643724553,2.325813428820301e9
2062,1.7890113065462268,7.417783293574838,2.250133219650588e9
2063,1.786921438232195,6.8926899518926215,2.1630985790783024e9
2064,1.7855610785718286,6.375401889799762,2.0666530297778919e9
2065,1.7852045014617746,5.852209441856079,1.9581297408726242e9
2066,1.7875439408790923,5.329308241128686,1.8375335027021925e9
2067,1.7925397954945812,4.801653104967185,1.7043614260095212e9
2068,1.7976976015696382,4.2823735381003285,1.5616380087384439e9
2069,1.8006656711310343,3.7586008295216122,1.4057408008631032e9
2070,1.8004185429426502,3.2306303721749448,1.2361196890796437e9
2071,1.7973494090561595,2.875263565957519,1.1143089460921464e9
2072,1.7931583644347442,2.510808526704494,9.832921161455804e8
2073,1.7892623195822832,2.1496784098362336,8.472209313121895e8
2074,1.7851197093941897,1.7918226375950677,7.061601361681775e8
2075,1.7808970876230448,1.4371831130630943,5.601692522960916e8
2076,1.7769913561443234,1.060814643232944,3.9864484974752474e8
2077,1.7739436115688736,0.7004346519898359,2.3728800681921038e8
2078,1.772954775651367,0.3324956111801756,6.573754385340819e7
2079,1.7738933148779057,0.24339660118268278,2.343550434664984e7
2080,1.775494199630653,0.24497187129280312,2.3563592454726595e7
2081,1.7762628208496443,0.2459543043406364,2.3634433587923773e7
2082,1.7757786105052455,0.24685955443735327,2.3697700167413563e7
2083,1.7736484288946759,0.24769337437884154,2.375396637788532e7
2084,1.7704119768647475,0.24846124338855624,2.3803777942886792e7
2085,1.7660865719317291,0.24916790839047323,2.384760835714094e7
2086,1.7607866002378265,0.2493039020729258,2.3836763550689645e7
2087,1.7565635710758971,0.2493652924773732,2.381879065527092e7
2088,1.7537856340414344,0.2493569438143954,2.379417521726072e7
2089,1.7530325146170602,0.24928313615278277,2.3763345199313287e7
2090,1.7553188771248691,0.24914751454844022,2.3726666418969963e7
2091,1.7595098314268636,0.24847864681924114,2.3639306240025833e7
2092,1.7648945754419363,0.24773754414510984,2.3545231771086473e7
2093,1.768795854067892,0.24692263784274537,2.3441598353585362e7
2094,1.768554637371463,0.24606182498798448,2.3339221140239622e7
2095,1.7660742975598704,0.24514082917468605,2.3228611861536e7
2096,1.7626090112575137,0.24373986642722753,2.3072766102287218e7
2097,1.7593422192256492,0.24228385440298872,2.29120029733221e7
2098,1.757084429598698,0.24077834213112878,2.2746861900101855e7
2099,1.756460289331272,0.23922800261502106,2.2577797503156923e7
2100,1.7587791801879624,0.23763681873236853,2.2405197544063095e7
2101,1.7652053405168913,25.05730538819761,0.0
2102,1.7745639360250784,24.858655389693695,0.0
2103,1.7845351692686475,24.646640447668617,0.0
2104,1.794020437657978,24.422172487500312,0.0
2105,1.8017378777233144,24.186197498061553,0.0
2106,1.8085666758092267,23.939690177746826,0.0
2107,1.8157592311143838,23.68358584268189,0.0
2108,1.8238329127004544,23.41876868804638,0.0
2109,1.8334802162111743,23.146091027651583,0.0
