country,abatement_cost_share_mean,co2_emissions_mean,consumption_ede_mean,consumption_ede_npv,country_carbon_tax_mean,country_carbon_tax_npv,gross_output_mean,gross_output_npv,local_damage_cost_kw_mean,local_temp_anomaly_mean,mu_mean,net_output_per_capita_mean,net_output_per_capita_npv,population_mean,transfer_mean,transfer_npv,country_carbon_tax_2030,country_carbon_tax_2040,country_carbon_tax_2050,country_carbon_tax_2080,mu_2030,mu_2040,mu_2050,mu_2080,net_output_per_capita_2030,net_output_per_capita_2040,net_output_per_capita_2050,net_output_per_capita_2080,abatement_cost_share_2030,abatement_cost_share_2040,abatement_cost_share_2050,abatement_cost_share_2080,local_damage_cost_kw_2030,local_damage_cost_kw_2040,local_damage_cost_kw_2050,local_damage_cost_kw_2080,consumption_ede_2030,consumption_ede_2040,consumption_ede_2050,consumption_ede_2080,gross_output_2030,gross_output_2040,gross_output_2050,gross_output_2080,co2_emissions_2030,co2_emissions_2040,co2_emissions_2050,co2_emissions_2080,transfer_2030,transfer_2040,transfer_2050,transfer_2080,local_temp_anomaly_2030,local_temp_anomaly_2040,local_temp_anomaly_2050,local_temp_anomaly_2080,population_2030,population_2040,population_2050,population_2080
ABW,0.00665,0.000224,38.6,1580.0,297.0,11200.0,7760.0,323000.0,0.0474,1.24,0.688,69100.0,2.86e6,107.0,0.0,0.0,42.71792707955943,113.40289105822757,207.22829986919803,480.9448597174765,0.19059637584995046,0.37359701265923356,0.5798611527921962,1.0000000000000002,40401.24337922218,46062.96239356323,54357.48018539506,86860.49481534219,0.0005216465681168941,0.0021695042429218507,0.0049836354351154915,0.011472697233419557,0.04131879158514314,0.04642534908512414,0.048738683018416475,0.04889959173698984,22.199875469095396,24.557745436332258,28.955219313830355,49.47195844255203,4640.449027110236,5358.95069160469,6228.190401677098,9735.975995892402,0.0006256767907124219,0.0004469304160009446,0.0002821637735997098,-1.3407978754521044e-19,-0.0,-0.0,-0.0,0.0,1.0919783151685885,1.2170922462470781,1.2731201326432646,1.2770023876476935,110.244,110.937,108.709,105.636
AFG,0.00736,0.00756,5.89,208.0,297.0,11200.0,652000.0,2.26e7,0.0226,1.94,0.688,8620.0,308000.0,67400.0,0.0,0.0,42.71792707955943,113.40289105822757,207.22829986919803,480.9448597174765,0.19059637584995046,0.37359701265923356,0.5798611527921962,1.0000000000000002,2031.301667182412,2803.0254551818484,3900.802327620148,11697.197360353019,0.000498849927371324,0.0022031367935084903,0.005302226565780183,0.012948181852723051,0.019399237911862547,0.022029308193753216,0.023235504118025413,0.023319738965826533,1.2666027755109468,1.7635971234234795,2.5152544872312914,8.087505894668652,99637.42646770453,163400.04294630245,259554.39747662016,932204.9205820515,0.012847129419524135,0.013838635697474762,0.012510647323110972,-1.448900183158592e-17,-0.0,-0.0,-0.0,0.0,1.7112107740448892,1.907273556492696,1.9950733978597979,2.0011571785529543,48093.576,56912.0080000001,64682.976,76870.229
AGO,0.00145,0.00653,5.7,217.0,297.0,11200.0,1.58e6,5.45e7,0.0582,1.89,0.688,11600.0,457000.0,106000.0,0.0,0.0,42.71792707955943,113.40289105822757,207.22829986919803,480.9448597174765,0.19059637584995046,0.37359701265923356,0.5798611527921962,1.0000000000000002,6596.765464471517,6737.621583648258,7262.2361188608575,13559.393198617547,0.00021455881176142346,0.0007892228766335341,0.0015778901875036445,0.002175083598778069,0.050473345162112805,0.05694605941358847,0.05989486926902871,0.060100363498598305,2.628802889887201,2.8253246037616693,3.162105732475332,6.868052404202041,310758.9236307176,426063.1519190126,596862.2662169911,2.0472737067080396e6,0.01723390315330318,0.012926271933126067,0.008561384613051361,-5.345276169698624e-18,-0.0,-0.0,-0.0,0.0,1.6621545251882848,1.8525966647596193,1.9378794983255758,1.9437888718304426,44834.707,59782.166,77420.355,142116.013
ALB,0.00637,0.00187,20.3,827.0,297.0,11200.0,57000.0,2.5e6,0.0285,1.9,0.688,29500.0,1.19e6,2070.0,0.0,0.0,42.71792707955943,113.40289105822757,207.22829986919803,480.9448597174765,0.19059637584995046,0.37359701265923356,0.5798611527921962,1.0000000000000002,14986.60210439229,17999.81897583103,21682.61438859553,37987.56239925204,0.0004493741598700704,0.0020832067013694267,0.005109920037862059,0.011062366402386727,0.02463861690510201,0.027887732114758163,0.029372718263374814,0.02947630808043927,11.375021529802725,13.082741378366508,15.263423960331743,25.47702886213405,42815.56768622723,48842.595452505215,54381.49360792728,65633.57509524099,0.004973057567857315,0.00391138661014578,0.002526145402334374,-8.715501581897317e-19,-0.0,-0.0,-0.0,0.0,1.6755867297520524,1.867567870503794,1.953539891776956,1.95949702011602,2786.972,2634.385,2424.052,1659.729
ARE,0.00876,0.064,48.5,2010.0,297.0,11200.0,1.16e6,4.94e7,0.0746,1.75,0.688,94700.0,4.13e6,11200.0,0.0,0.0,42.71792707955943,113.40289105822757,207.22829986919803,480.9448597174765,0.19059637584995046,0.37359701265923356,0.5798611527921962,1.0000000000000002,74453.04436176956,81389.39402414928,86898.99190285052,103522.84281200169,0.0008948692500252023,0.003726711129555558,0.008292524164581214,0.014216562172080756,0.06469783402341805,0.07296984405148323,0.07673751780557407,0.07700005963201657,27.516321855239642,33.71481945234025,39.82148015468988,59.225294473622824,845860.3763847509,933378.2872813701,983623.4901744607,1.3120147632551803e6,0.19564644022493224,0.1337159059494682,0.07414958868012499,-2.2389871268068508e-17,-0.0,-0.0,-0.0,0.0,1.540023654231996,1.7164725915948948,1.795489060281298,1.8009642281079208,10661.076,10648.314,10425.284,11600.276
ARG,0.00543,0.0575,29.0,1170.0,297.0,11200.0,2.83e6,1.14e8,0.031,1.45,0.688,48600.0,1.99e6,55200.0,0.0,0.0,42.71792707955943,113.40289105822757,207.22829986919803,480.9448597174765,0.19059637584995046,0.37359701265923356,0.5798611527921962,1.0000000000000002,26169.964785579068,31641.436447050673,38031.85548908584,61472.69592036591,0.0004253414610671929,0.0017689757028537974,0.004063568912281718,0.00935463607334749,0.02696945965800472,0.03035636200692825,0.031893939032272584,0.03200096221299508,14.710941005458228,17.51794983540536,21.284359209737314,37.847119845767736,1.3189823891867516e6,1.7079991517402981e6,2.162042039979437e6,3.710039321911849e6,0.1450074781472994,0.11614731253291373,0.07986654039605705,-4.166042492562289e-17,-0.0,-0.0,-0.0,0.0,1.278046809123701,1.424479625756236,1.4900544274129301,1.4945982022770388,49056.162,52296.7939999999,54867.248,57934.113
ARM,0.00506,0.00199,25.2,1020.0,297.0,11200.0,92000.0,3.78e6,0.00859,1.83,0.688,36800.0,1.46e6,2600.0,0.0,0.0,42.71792707955943,113.40289105822757,207.22829986919803,480.9448597174765,0.19059637584995046,0.37359701265923356,0.5798611527921962,1.0000000000000002,16080.520613742565,19958.142946675467,25729.26130119557,49537.13427215629,0.0004075553840288502,0.0017724854407274566,0.004148699378870758,0.00864684592199707,0.007207198443046226,0.008350739795330603,0.008884441628012692,0.008921919461139245,12.794800426775852,14.962384175643392,18.458013272740594,32.88810190308535,48074.52161304226,58569.33948448292,73404.80325929393,118512.07682957462,0.005064251789837165,0.003990732792474013,0.00276840454879781,-1.2300948924700563e-18,-0.0,-0.0,-0.0,0.0,1.6141165140105156,1.7990546757682293,1.8818727458900955,1.8876113322953403,2967.01,2905.147,2816.114,2350.729
AUS,0.0074,0.11,42.1,1810.0,297.0,11200.0,2.73e6,1.13e8,0.0385,1.81,0.688,72200.0,3.11e6,35200.0,0.0,0.0,42.71792707955943,113.40289105822757,207.22829986919803,480.9448597174765,0.19059637584995046,0.37359701265923356,0.5798611527921962,1.0000000000000002,54272.76862886607,58655.86371722525,62917.04866760288,81742.84987238512,0.0007522893306397163,0.003190360155450557,0.0071637051883710594,0.011944048776246068,0.033355359788515816,0.03764137673846471,0.03959379337575456,0.03972984491331504,31.50160441497975,34.0501470447857,36.72350960458938,47.758250662570575,1.5814689209271397e6,1.8667119076454153e6,2.1617972095682686e6,3.3460736049239305e6,0.3075100035047988,0.22893735313603097,0.14078155748911145,-4.7973935221945954e-17,-0.0,-0.0,-0.0,0.0,1.5949299778056585,1.7776698331180663,1.8595034687911072,1.8651738422793331,28177.48,30572.49,32814.106,38899.744
AUT,6.78e-5,0.00705,59.3,2500.0,297.0,11200.0,822000.0,3.5e7,0.00651,1.81,0.688,91900.0,3.88e6,8940.0,0.0,0.0,42.71792707955943,113.40289105822757,207.22829986919803,480.9448597174765,0.19059637584995046,0.37359701265923356,0.5798611527921962,1.0000000000000002,62258.52237037208,69185.0184065868,76749.63068509295,108285.64798985247,0.0002337006692949839,0.00024148042725371317,0.0,0.0,0.005399547920100086,0.0063225798272435125,0.006756537897598187,0.0067870811367291934,40.01020123069572,44.38012992358139,49.226712874101274,70.00079707281034,574483.6679603256,641502.1247195331,705512.5304808852,951685.1143110353,0.034701746026401185,0.0059549714210070746,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.589879689204122,1.7720409053153277,1.8536154177144866,1.8592678361683268,9175.689,9211.788,9130.698,8729.407
AZE,0.00724,0.0111,22.7,935.0,297.0,11200.0,322000.0,1.34e7,0.0231,1.81,0.688,30500.0,1.25e6,10400.0,0.0,0.0,42.71792707955943,113.40289105822757,207.22829986919803,480.9448597174765,0.19059637584995046,0.37359701265923356,0.5798611527921962,1.0000000000000002,18807.962919393918,21027.095651340886,23180.549718525603,35355.56457088193,0.0005830911051891558,0.0025359019536159515,0.005935560664196925,0.012371076772968625,0.01989951604002376,0.02254221140110659,0.02375094521503572,0.0238352839656995,14.272586144053495,15.817443157317559,17.33880396237972,26.282376541545002,206132.30448239937,238300.24248138588,264152.5032158017,367018.4594508046,0.031066774080680565,0.02323039472960681,0.014253108378732195,-5.4502157705217066e-18,-0.0,-0.0,-0.0,0.0,1.5939609689688876,1.7765897996362687,1.858373716815573,1.864040645235931,10739.736,11055.063,11064.995,10013.683
