time,consumption_ede
2020,2.5459323080877545
2021,2.5789332750220817
2022,2.6109961984175327
2023,2.6451296465508802
2024,2.6836698499067424
2025,2.7271201414685757
2026,2.7690449632019902
2027,2.8153699168715454
2028,2.866520979351508
2029,2.922902978030727
2030,2.9849771874599504
2031,3.051116462192296
2032,3.125677542689645
2033,3.208948302186589
2034,3.299731915047569
2035,3.3994867141851595
2036,3.502260393551741
2037,3.614852190961023
2038,3.738421021017671
2039,3.873452514270255
2040,4.019260545404062
2041,4.164243010536247
2042,4.3198896076658695
2043,4.486753311844282
2044,4.66509085152587
2045,4.852895273841756
2046,5.035922048538573
2047,5.22904891944852
2048,5.439175587203174
2049,5.675252579148061
2050,5.927379871108791
2051,6.1856905046517525
2052,6.457172920587253
2053,6.742746704916276
2054,7.04225761434715
2055,7.35526450200563
2056,7.671415364118663
2057,8.001362924170953
2058,8.346999426462506
2059,8.708263454909966
2060,9.087097153758695
2061,9.452421714126274
2062,9.82302959489374
2063,10.207025706770894
2064,10.604427626930518
2065,11.027331090832073
2066,11.462089409063397
2067,11.915649629426554
2068,12.38412487265108
2069,12.868771779906146
2070,13.364821928203753
2071,13.854742192827029
2072,14.360665377298732
2073,14.882481306912856
2074,15.42144130894313
2075,15.97811129825582
2076,16.535824955674354
2077,17.10827719637322
2078,17.694966622570483
2079,18.296656052804746
2080,18.916612126921887
2081,19.538668432934426
2082,20.178776032969136
2083,20.83901186816546
2084,21.519579508504968
2085,22.221404949257998
2086,22.925678081718022
2087,23.645911368341945
2088,24.382558872994938
2089,25.118610344903786
2090,25.856497669295397
2091,26.585943568515496
2092,27.326280447402244
2093,28.0834034601446
2094,28.86351546340557
2095,29.66425759348078
2096,30.460727773995117
2097,31.270843130810942
2098,32.093887449268216
2099,32.92890998760016
2100,33.77323041808241
