time,gross_output
2020,983644.6250000006
2021,1.0320367764140493e6
2022,1.083160328267296e6
2023,1.137316323226583e6
2024,1.1948513354817156e6
2025,1.256164791817336e6
2026,1.3174805882311962e6
2027,1.3830745251560132e6
2028,1.4534645550681092e6
2029,1.529227760333695e6
2030,1.6110045126144204e6
2031,1.6942173925651337e6
2032,1.7842458199479918e6
2033,1.881830741681479e6
2034,1.9877682742808396e6
2035,2.102909822150393e6
2036,2.221346921265061e6
2037,2.3498945422389223e6
2038,2.4894567168267965e6
2039,2.640992295080044e6
2040,2.805512887868356e6
2041,2.974967382354162e6
2042,3.1581256966498005e6
2043,3.3559769721355047e6
2044,3.5695527219430436e6
2045,3.7999356411536313e6
2046,4.0359892728531864e6
2047,4.289102346568252e6
2048,4.560313182852851e6
2049,4.850731869279806e6
2050,5.161575507502458e6
2051,5.478553465124411e6
2052,5.815988077225062e6
2053,6.175015434019308e6
2054,6.55684058235964e6
2055,6.962714835428071e6
2056,7.373623803996495e6
2057,7.807904713038943e6
2058,8.266773635124365e6
2059,8.751535020129649e6
2060,9.263544131372603e6
2061,9.779137751573257e6
2062,1.0320990425960435e7
2063,1.0890425231506573e7
2064,1.148879680498197e7
2065,1.2117521588982953e7
2066,1.2746789468735417e7
2067,1.3404690529548878e7
2068,1.4092483449850546e7
2069,1.4811572067077963e7
2070,1.5563494206782294e7
2071,1.6311692382583905e7
2072,1.709083641745858e7
2073,1.7902346082257118e7
2074,1.8747655355840195e7
2075,1.962827986708511e7
2076,2.049957199225287e7
2077,2.140318298396704e7
2078,2.2340475840904612e7
2079,2.331277489184702e7
2080,2.4321504334212698e7
2081,2.5313058266145725e7
2082,2.6337601094837274e7
2083,2.739654621159526e7
2084,2.849137303372632e7
2085,2.962357436952809e7
2086,3.0731351771304786e7
2087,3.1872178084591098e7
2088,3.304727805332371e7
2089,3.425787795730543e7
2090,3.5505189930233754e7
2091,3.672028769140225e7
2092,3.796681208409755e7
2093,3.924590781611685e7
2094,4.0558954532296635e7
2095,4.190758055792773e7
2096,4.3216594767556e7
2097,4.4556169945650846e7
2098,4.59274591648072e7
2099,4.733154999938194e7
2100,4.8769480777429335e7
