time,country,cons_EDE_country
2020,NGA,2.5459323080877545
2021,NGA,2.588655481186602
2022,NGA,2.6208982450978877
2023,NGA,2.6552388549520356
2024,NGA,2.6939952767903463
2025,NGA,2.737668116459682
2026,NGA,2.7798249116844724
2027,NGA,2.826380612893553
2028,NGA,2.87775502592791
2029,NGA,2.934351312721186
2030,NGA,3.2469457114828506
2031,NGA,3.340511895428491
2032,NGA,3.4416897835556806
2033,NGA,3.5501453531808576
2034,NGA,3.664308145859088
2035,NGA,3.7867111367021646
2036,NGA,3.9083322164753467
2037,NGA,4.038341222914672
2038,NGA,4.177925446167289
2039,NGA,4.328331586839421
2040,NGA,4.4875366493840385
2041,NGA,4.649357627007805
2042,NGA,4.819443950030684
2043,NGA,4.9989219737999635
2044,NGA,5.187998725636022
2045,NGA,5.3845337864857195
2046,NGA,5.57378967581328
2047,NGA,5.771208490023768
2048,NGA,5.983647276419805
2049,NGA,6.21946367496231
2050,NGA,6.469564026248897
2051,NGA,6.727287917961371
2052,NGA,6.99717837261173
2053,NGA,7.280146341161314
2054,NGA,7.576013327703841
2055,NGA,7.884365817749749
2056,NGA,8.194662379124395
2057,NGA,8.517866352212106
2058,NGA,8.855741664370209
2059,NGA,9.208186058570902
2060,NGA,9.57758487148954
2061,NGA,9.930260664922457
2062,NGA,10.286996254434186
2063,NGA,10.65553828646181
2064,NGA,11.036221457062696
2065,NGA,11.440803492263449
2066,NGA,11.855053883347974
2067,NGA,12.282432838891713
2068,NGA,12.721547423361358
2069,NGA,13.17413640089055
2070,NGA,13.636027411828557
2071,NGA,14.100205293000363
2072,NGA,14.579496175750162
2073,NGA,15.07464013152124
2074,NGA,15.587053215438084
2075,NGA,16.11743406651271
2076,NGA,16.64775534868651
2077,NGA,17.194038105807916
2078,NGA,17.754480937881326
2079,NGA,18.332416282744504
2080,NGA,18.948042648249274
2081,NGA,19.565841493742546
2082,NGA,20.201802024091936
2083,NGA,20.85800740902201
2084,NGA,21.534635604566123
2085,NGA,22.232600353931016
2086,NGA,22.93307467574211
2087,NGA,23.649526113236266
2088,NGA,24.382396202155427
2089,NGA,25.114481172540497
2090,NGA,25.848236630423028
2091,NGA,26.573550398537066
2092,NGA,27.309922991634416
2093,NGA,28.06310178003224
2094,NGA,28.839342362875133
2095,NGA,29.63623421600546
2096,NGA,30.428857074468482
2097,NGA,31.235090980311206
2098,NGA,32.05420020737939
2099,NGA,32.8852159142129
2100,NGA,33.72542571038086
2101,NGA,34.49802893163651
2102,NGA,35.18532391424576
2103,NGA,35.85152330464218
2104,NGA,36.499150930115874
2105,NGA,37.131321560977895
2106,NGA,37.745894330488454
2107,NGA,38.339581701326274
2108,NGA,38.91083092026522
2109,NGA,39.45757729085317
2110,NGA,39.97738901528997
2111,NGA,40.46540921446734
2112,NGA,40.9310277675285
2113,NGA,41.3835501341497
2114,NGA,41.82507165881431
2115,NGA,42.253852226491674
2116,NGA,42.6668487058146
2117,NGA,43.064883790515275
2118,NGA,43.444441545976716
2119,NGA,43.80466089160243
2120,NGA,44.141310426845635
2121,NGA,44.45127352588168
2122,NGA,44.73691441937053
2123,NGA,45.014478413456246
2124,NGA,45.286787301231776
2125,NGA,45.551278751022984
2126,NGA,45.81279048734692
2127,NGA,46.063506200817415
2128,NGA,46.30065064889706
2129,NGA,46.52275277802231
2130,NGA,46.725015981643004
2131,NGA,46.89979746057675
2132,NGA,47.05871522486317
2133,NGA,47.21460309709386
2134,NGA,47.36958956326477
2135,NGA,47.52851423081999
2136,NGA,47.68897282731684
2137,NGA,47.84288073143736
2138,NGA,47.98551515335871
2139,NGA,48.118909316706365
2140,NGA,48.24166038101078
2141,NGA,48.349557410257965
2142,NGA,48.44222466151656
2143,NGA,48.52880472093901
2144,NGA,48.613182651262626
2145,NGA,48.69485450674869
2146,NGA,48.778733348480465
2147,NGA,48.86082381789883
2148,NGA,48.93856298721285
2149,NGA,49.01386551013955
2150,NGA,49.08380040819719
2151,NGA,49.14765695237362
2152,NGA,49.20105846760611
2153,NGA,49.238069315897505
2154,NGA,49.262685186583546
2155,NGA,49.288638834510145
2156,NGA,49.32115086306588
2157,NGA,49.35896790477656
2158,NGA,49.4033616350715
2159,NGA,49.4511096788843
2160,NGA,49.496599340163556
2161,NGA,49.53518063151361
2162,NGA,49.562186483185044
2163,NGA,49.573085199752036
2164,NGA,49.57005524120031
2165,NGA,49.57157753675524
2166,NGA,49.581193111115766
2167,NGA,49.59952087276815
2168,NGA,49.62967623505419
2169,NGA,49.660791560422695
2170,NGA,49.68900700390967
2171,NGA,49.7122299722248
2172,NGA,49.72755889166055
2173,NGA,49.729287334257045
2174,NGA,49.721499633899995
2175,NGA,49.7119660007112
2176,NGA,49.70486155182641
2177,NGA,49.70675141914422
2178,NGA,49.71889978485092
2179,NGA,49.73521368104118
2180,NGA,49.751855484976964
2181,NGA,49.76796880472422
2182,NGA,49.78223815452814
2183,NGA,49.79423116836544
2184,NGA,49.80182619492011
2185,NGA,49.80226252916039
2186,NGA,49.790518046427145
2187,NGA,49.77466883216858
2188,NGA,49.76220719262176
2189,NGA,49.749622202944764
