country,quantile,conso_npv,tax_npv,conso_2030,conso_2040,conso_2050,conso_2080,tax_2030,tax_2040,tax_2050,tax_2080
ABW,First,492.0,1.23,5.972989923345053,6.755422696480326,8.288687148083111,16.716077443228713,0.02124236234523551,0.023501523423755232,0.025727985576711444,0.032565684218051956
ABW,Second,852.0,1.96,11.103757867901948,12.42301217378877,14.939852299147793,27.814047767044347,0.0361462306026323,0.03888116339217817,0.041532943872724874,0.049333807877320134
ABW,Third,1060.0,2.37,14.404457981957988,16.004151876730166,19.017607076317855,33.806822519385975,0.04523863862867271,0.047995815357644876,0.05059466180993213,0.057887807582507986
ABW,Fourth,1350.0,2.91,18.934765773578704,20.924032116188712,24.629669897730444,42.20033336619246,0.05730565993758806,0.060020365517000906,0.0625502933696019,0.06945439592456501
ABW,Fifth,1610.0,3.4,23.279246762746276,25.596268372893956,29.873331230486038,49.52878759315082,0.06854028231398489,0.07103814807313413,0.07331078855321374,0.07923881540588831
ABW,Sixth,1990.0,4.07,29.498595669325773,32.27948470064794,37.365099395700796,60.0125683684545,0.08418652743129122,0.08628160267909987,0.08815812982013602,0.09282980234611547
ABW,Seventh,2360.0,4.71,35.95886479541157,39.14809573691143,44.92989338320543,69.83499879408804,0.10001331486319551,0.10145246510665214,0.10265489006962149,0.10520802278493784
ABW,Eighth,3010.0,5.81,47.258887817652926,51.16079583352885,58.16089867970373,87.15152807427887,0.12690347959578904,0.12706626929072223,0.12709221333991266,0.12636141504487886
ABW,Ninth,3720.0,7.0,60.74839490538045,65.27548537164738,73.30366381371805,104.84266616400787,0.1580033834855314,0.1560298940178308,0.15396425765801022,0.14726608855001727
ABW,Tenth,7180.0,12.4,127.53511010435982,134.63233904325708,146.88607024886358,188.6247597087491,0.30242012079607944,0.28773275314198166,0.27441383593013546,0.2398541602657171
AFG,First,106.0,1.34,0.5280873004733965,0.754896316181242,1.134072814146399,4.3047398741669705,0.017141482417116247,0.020147993776322808,0.02483643089264446,0.04297579631049555
AFG,Second,147.0,2.12,0.8006482996046006,1.1311597871297319,1.6603895383012484,5.8619733592213015,0.03236873888902085,0.0363093195389819,0.04211560430023803,0.061260688001844386
AFG,Third,162.0,2.46,0.9249094440405207,1.2978381748731997,1.8801349600053647,6.373146879171038,0.040360266076560444,0.04436877975043675,0.05004047080755426,0.06743865467334455
