time,consumption_ede
2020,16.23692346195796
2021,16.58764054562328
2022,16.94180544088146
2023,17.301582788100337
2024,17.666788068968668
2025,18.037958284416284
2026,18.39382409439694
2027,18.754242224707713
2028,19.1209734977986
2029,19.494555635839458
2030,19.87542735391012
2031,20.23801802176523
2032,20.606896029271706
2033,20.9846730287658
2034,21.361047813844007
2035,21.738398302196355
2036,22.091341361024547
2037,22.449736222509493
2038,22.81411944205492
2039,23.18493837181324
2040,23.562548861145974
2041,23.913339524251725
2042,24.270314553934995
2043,24.634045193400024
2044,25.004927567509686
2045,25.38346000601749
2046,25.736653128230472
2047,26.09618944428424
2048,26.462647659383972
2049,26.83613259626105
2050,27.216854566236876
2051,27.575112632300343
2052,27.939284975290985
2053,28.310432409361447
2054,28.68890486357888
2055,29.075074732708327
2056,29.441598341886007
2057,29.813870434174174
2058,30.192584837131083
2059,30.577503514931465
2060,30.96398540825024
2061,31.32973952888879
2062,31.700846074776447
2063,32.07761935149562
2064,32.460250908397306
2065,32.84892845789503
2066,33.2139638711915
2067,33.58437420517358
2068,33.959842114685415
2069,34.34029185474125
2070,34.72576931140247
2071,35.082239766035556
2072,35.4430661045402
2073,35.80842969366057
2074,36.17835808682743
2075,36.55298706614936
2076,36.89587653984325
2077,37.242338100784664
2078,37.59302112848413
2079,37.94801272057055
2080,38.30729282226719
2081,38.63555956264518
2082,38.96621771075887
2083,39.30015359625904
2084,39.63744981799957
2085,39.97172693466914
2086,40.27653499611045
2087,40.58272308967557
2088,40.891324222919714
2089,41.202414373005155
2090,41.5161561903111
2091,41.80823760070563
2092,42.10090233090125
2093,42.394579250670766
2094,42.6889701343437
2095,42.98429621078654
2096,43.26116315715116
2097,43.537774623144216
2098,43.808919216499774
2099,44.07413482695794
2100,44.33938734344823
