country,abatement_cost_share_mean,co2_emissions_mean,consumption_ede_mean,consumption_ede_npv,country_carbon_tax_mean,country_carbon_tax_npv,gross_output_mean,gross_output_npv,local_damage_cost_kw_mean,local_temp_anomaly_mean,mu_mean,net_output_per_capita_mean,net_output_per_capita_npv,population_mean,transfer_mean,transfer_npv,country_carbon_tax_2030,country_carbon_tax_2040,country_carbon_tax_2050,country_carbon_tax_2080,mu_2030,mu_2040,mu_2050,mu_2080,net_output_per_capita_2030,net_output_per_capita_2040,net_output_per_capita_2050,net_output_per_capita_2080,abatement_cost_share_2030,abatement_cost_share_2040,abatement_cost_share_2050,abatement_cost_share_2080,local_damage_cost_kw_2030,local_damage_cost_kw_2040,local_damage_cost_kw_2050,local_damage_cost_kw_2080,consumption_ede_2030,consumption_ede_2040,consumption_ede_2050,consumption_ede_2080,gross_output_2030,gross_output_2040,gross_output_2050,gross_output_2080,co2_emissions_2030,co2_emissions_2040,co2_emissions_2050,co2_emissions_2080,transfer_2030,transfer_2040,transfer_2050,transfer_2080,local_temp_anomaly_2030,local_temp_anomaly_2040,local_temp_anomaly_2050,local_temp_anomaly_2080,population_2030,population_2040,population_2050,population_2080
ABW,0.00685,0.000219,38.6,1580.0,302.0,11400.0,7760.0,323000.0,0.0474,1.24,0.696,69100.0,2.86e6,107.0,0.0,0.0,44.15208294745907,117.50263790326876,214.89230426761785,480.9448597174765,0.19457085180052117,0.38198215644677447,0.5931730194367216,1.0000000000000002,40400.08099104362,46056.62783444422,54338.580940710264,86846.40258961421,0.0005504026589098666,0.0022983897444787235,0.005286587663503383,0.011472697233419557,0.04131879158514314,0.04642536009826201,0.04873881441673239,0.04890410635398341,22.19978793772339,24.55708425420634,28.95251618927369,49.463872505472835,4640.449027110236,5358.905974350241,6227.921950337082,9734.438331758736,0.0006226044825545136,0.000440944045097284,0.0002732117940809127,-1.3405861147817362e-19,-0.0,-0.0,-0.0,0.0,1.0919783151685885,1.2170925139366324,1.273123303685251,1.27711128431156,110.244,110.937,108.709,105.636
AFG,0.00757,0.00726,5.89,208.0,302.0,11400.0,652000.0,2.26e7,0.0226,1.95,0.696,8620.0,307000.0,67400.0,0.0,0.0,44.15208294745907,117.50263790326876,214.89230426761785,480.9448597174765,0.19457085180052117,0.38198215644677447,0.5931730194367216,1.0000000000000002,2031.2457797018606,2802.6065968717367,3899.2874526718065,11695.023189469832,0.0005263493391959659,0.002334020331328781,0.005624545759155001,0.012948181852723051,0.019399237911862547,0.022029313914518574,0.02323557288664238,0.023322102968755556,1.2665878449820314,1.7634610464097893,2.5146910498270443,8.086001882082373,99637.42646770453,163397.0600687482,259537.71697662864,932033.8037480493,0.012784045186406962,0.01365313997135571,0.012113475859149743,-1.4486342210223137e-17,-0.0,-0.0,-0.0,0.0,1.7112107740448892,1.9072739759820236,1.9950783671170957,2.001327827678379,48093.576,56912.0080000001,64682.976,76870.229
AGO,0.0015,0.00636,5.7,217.0,302.0,11400.0,1.58e6,5.45e7,0.0582,1.89,0.696,11600.0,457000.0,106000.0,0.0,0.0,44.15208294745907,117.50263790326876,214.89230426761785,480.9448597174765,0.19457085180052117,0.38198215644677447,0.5931730194367216,1.0000000000000002,6596.687423245669,6737.271712812982,7261.411409667709,13558.813774474445,0.0002263864994115437,0.000836108881409481,0.0016738091917484924,0.002175083598778069,0.050473345162112805,0.05694607342747532,0.059895037055602646,0.06010612977061589,2.628799117779359,2.8252932473318846,3.1620078131047964,6.867746570142355,310758.9236307176,426061.02506185725,596851.9201376131,2.0471973573725175e6,0.01714927821270053,0.01275317485429306,0.008289978182101003,-5.3450768273818625e-18,-0.0,-0.0,-0.0,0.0,1.6621545251882848,1.8525970722232088,1.937884325126359,1.9439546288606964,44834.707,59782.166,77420.355,142116.013
ALB,0.00656,0.00182,20.3,827.0,302.0,11400.0,57000.0,2.5e6,0.0285,1.9,0.696,29500.0,1.19e6,2070.0,0.0,0.0,44.15208294745907,117.50263790326876,214.89230426761785,480.9448597174765,0.19457085180052117,0.38198215644677447,0.5931730194367216,1.0000000000000002,14986.230688939293,17997.45504373164,21675.042827328685,37981.633325033545,0.0004741461893073345,0.0022069654547475868,0.005420549031998821,0.011062366402386727,0.02463861690510201,0.02788773916515137,0.029372802839226008,0.029479215057499883,11.374877592006442,13.081828191877586,15.260472808910542,25.473045277342372,42815.56768622723,48842.238519448125,54379.48668073645,65623.51635266248,0.004948637986434008,0.0038589998798008282,0.0024460156120238957,-8.71416587853623e-19,-0.0,-0.0,-0.0,0.0,1.6755867297520524,1.8675682812601784,1.9535447575840859,1.9596641166621278,2786.972,2634.385,2424.052,1659.729
ARE,0.00906,0.0628,48.5,2010.0,302.0,11400.0,1.16e6,4.94e7,0.0746,1.75,0.696,94600.0,4.13e6,11200.0,0.0,0.0,44.15208294745907,117.50263790326876,214.89230426761785,480.9448597174765,0.19457085180052117,0.38198215644677447,0.5931730194367216,1.0000000000000002,74449.36828690048,81369.70654311797,86848.80049967449,103500.30614315257,0.0009441994727744058,0.003948106886054961,0.008796621767090155,0.014216562172080756,0.06469783402341805,0.07296986195805859,0.07673773217249816,0.07700742665892588,27.51601167683221,33.712398524955,39.81340357773271,59.21234069472389,845860.3763847509,933359.9405867517,983555.5152832207,1.3117381135100701e6,0.1946857426838194,0.1319233674590624,0.07179523816790133,-2.2385150168616858e-17,-0.0,-0.0,-0.0,0.0,1.540023654231996,1.7164729691190999,1.7954935324210828,1.8011178057347768,10661.076,10648.314,10425.284,11600.276
ARG,0.00558,0.056,29.0,1170.0,302.0,11400.0,2.83e6,1.14e8,0.031,1.45,0.696,48600.0,1.99e6,55200.0,0.0,0.0,44.15208294745907,117.50263790326876,214.89230426761785,480.9448597174765,0.19457085180052117,0.38198215644677447,0.5931730194367216,1.0000000000000002,26169.35091176068,31637.767390209545,38020.862126753564,61464.59791220617,0.0004487886730686394,0.0018740666799505618,0.004310590845007617,0.00935463607334749,0.02696945965800472,0.030356369322138296,0.03189402642368577,0.03200396510041249,14.710856951630213,17.51730463939603,21.28205602995573,37.842115965127505,1.3189823891867516e6,1.7079809202906927e6,2.161953499245889e6,3.7095613797084927e6,0.14429543693899058,0.11459132040226484,0.077332846211811,-4.165505806194462e-17,-0.0,-0.0,-0.0,0.0,1.278046809123701,1.42447993905896,1.4900581387870808,1.494725654472605,49056.162,52296.7939999999,54867.248,57934.113
ARM,0.00522,0.00194,25.2,1020.0,302.0,11400.0,92000.0,3.78e6,0.00859,1.83,0.696,36800.0,1.46e6,2600.0,0.0,0.0,44.15208294745907,117.50263790326876,214.89230426761785,480.9448597174765,0.19457085180052117,0.38198215644677447,0.5931730194367216,1.0000000000000002,16080.159189510727,19955.843181252363,25721.632244642762,49530.755152649785,0.00043002212749580266,0.001877784923674189,0.004400896341931968,0.00864684592199707,0.007207198443046226,0.00835074231324378,0.008884472213758297,0.008922971638140018,12.794662947733741,14.961492067562356,18.45500712879006,32.88386246284137,48074.52161304226,58568.76893102555,73401.6288038688,118496.93907367265,0.005039384410515164,0.003937273765521598,0.002680573255416098,-1.2299377702870972e-18,-0.0,-0.0,-0.0,0.0,1.6141165140105156,1.799055071455693,1.8818774331912678,1.8877722987733612,2967.01,2905.147,2816.114,2350.729
AUS,0.00765,0.107,42.1,1810.0,302.0,11400.0,2.73e6,1.13e8,0.0385,1.81,0.696,72200.0,3.11e6,35200.0,0.0,0.0,44.15208294745907,117.50263790326876,214.89230426761785,480.9448597174765,0.19457085180052117,0.38198215644677447,0.5931730194367216,1.0000000000000002,54270.516220099074,58643.70998117413,62885.40183965008,81727.28083238979,0.0007937597468499741,0.0033798924737780487,0.0075991825579713535,0.011944048776246068,0.033355359788515816,0.03764138601749169,0.0395939044625935,0.03973366257388873,31.5011081364491,34.04715345288394,36.71511985407876,47.74912142810298,1.5814689209271397e6,1.8666800625047334e6,2.161658217302534e6,3.3454485833058855e6,0.30600001383212694,0.225868903009439,0.13631220709753497,-4.796497404829685e-17,-0.0,-0.0,-0.0,0.0,1.5949299778056585,1.7776702241021076,1.859508100375686,1.8653328953953807,28177.48,30572.49,32814.106,38899.744
AUT,7.17e-5,0.00703,59.3,2500.0,302.0,11400.0,822000.0,3.5e7,0.00652,1.81,0.696,91900.0,3.88e6,8940.0,0.0,0.0,44.15208294745907,117.50263790326876,214.89230426761785,480.9448597174765,0.19457085180052117,0.38198215644677447,0.5931730194367216,1.0000000000000002,62257.720112913164,69183.83437100604,76749.35955678642,108285.48709279545,0.00024658356372077273,0.00025582625122907743,0.0,0.0,0.005399547920100086,0.0063225818700901725,0.006756562820371658,0.00678793875583985,40.00991199955517,44.37965829518287,49.22653886055743,70.00068756604675,574483.6679603256,641500.3523989399,705510.055629039,951684.5109224182,0.03453134741326232,0.00587524086356137,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.589879689204122,1.772041295061332,1.8536200346333187,1.859426385648384,9175.689,9211.788,9130.698,8729.407
AZE,0.00747,0.0109,22.7,935.0,302.0,11400.0,322000.0,1.34e7,0.0231,1.81,0.696,30500.0,1.25e6,10400.0,0.0,0.0,44.15208294745907,117.50263790326876,214.89230426761785,480.9448597174765,0.19457085180052117,0.38198215644677447,0.5931730194367216,1.0000000000000002,18807.358017457023,21023.526175449206,23170.660717156654,35349.12363831466,0.0006152343642197351,0.002686554341716683,0.006296379860015228,0.012371076772968625,0.01989951604002376,0.02254221713862554,0.023751014072335205,0.023837650748297055,14.272213759535397,15.815216522585505,17.33261799209133,26.277589622027882,206132.30448239937,238295.78201809345,264135.70577969623,366952.4458003897,0.030914224545737307,0.022918999458358437,0.013800628898362135,-5.449235469315332e-18,-0.0,-0.0,-0.0,0.0,1.5939609689688876,1.7765901903827654,1.858378345586206,1.8641996017183475,10739.736,11055.063,11064.995,10013.683
