time,gross_output
2020,4.1963845e6
2021,4.298496628665702e6
2022,4.401904871350523e6
2023,4.506708886841556e6
2024,4.61301227345169e6
2025,4.720923000582274e6
2026,4.818191915012077e6
2027,4.916565971534337e6
2028,5.016146305740646e6
2029,5.117038899355403e6
2030,5.219353962220478e6
2031,5.312603198541861e6
2032,5.406848722601241e6
2033,5.5021786978405e6
2034,5.59868554073964e6
2035,5.696466489235516e6
2036,5.788072218455767e6
2037,5.880760278078182e6
2038,5.974621881694516e6
2039,6.069749184367513e6
2040,6.166227089305453e6
2041,6.258297868727958e6
2042,6.351539191505699e6
2043,6.446037251954173e6
2044,6.541869018615817e6
2045,6.639110967879695e6
2046,6.731491202899889e6
2047,6.825141081619823e6
2048,6.92013654411488e6
2049,7.01653897074605e6
2050,7.114435658712197e6
2051,7.205789338585227e6
2052,7.298483128942396e6
2053,7.392581849659791e6
2054,7.488157224715156e6
2055,7.585263873393829e6
2056,7.674590689083054e6
2057,7.765142921800754e6
2058,7.856983365945803e6
2059,7.9501550035798475e6
2060,8.044699871693432e6
2061,8.131712142297658e6
2062,8.219624279219467e6
2063,8.308493423441006e6
2064,8.398356086393123e6
2065,8.489268512923116e6
2066,8.574485545379084e6
2067,8.660521805142926e6
2068,8.747411279840725e6
2069,8.83520796407644e6
2070,8.923941405193914e6
2071,9.009912466735132e6
2072,9.097024151979735e6
2073,9.185295144938143e6
2074,9.274767526059324e6
2075,9.365481879006837e6
2076,9.455622031416766e6
2077,9.546946704235032e6
2078,9.639520105251858e6
2079,9.733356970967503e6
2080,9.828560612162817e6
2081,9.923727287543274e6
2082,1.002087219635544e7
2083,1.0119984095804365e7
2084,1.0221051906099044e7
2085,1.0324065290395714e7
2086,1.0424939843702732e7
2087,1.0527538634238502e7
2088,1.0631855656797726e7
2089,1.0737885659661096e7
2090,1.0845624307014966e7
2091,1.0947961669484781e7
2092,1.1051647278304288e7
2093,1.115668230270537e7
2094,1.1263066456055222e7
2095,1.1370798073575467e7
2096,1.1470932576461433e7
2097,1.1571976997269476e7
2098,1.1673941706004227e7
2099,1.177683734607562e7
2100,1.188067472789289e7
