time,co2_emissions
2020,1.3890801789233607
2021,1.4001534798241235
2022,1.4107555146317554
2023,1.4209136584091964
2024,1.4306549300263474
2025,1.440006063009182
2026,1.445285430784079
2027,1.4501353170548945
2028,1.4545845716378674
2029,1.4586618051436318
2030,0.9096939693405145
2031,0.853139034674727
2032,0.7960194547612394
2033,0.7393676857043258
2034,0.6840892645198521
2035,0.627878833127265
2036,0.5760639037689785
2037,0.5251152995149301
2038,0.4749462256866538
2039,0.42359978661038117
2040,0.37482852189417853
2041,0.31191413375636823
2042,0.25114860016429996
2043,0.1906512021790147
2044,0.1303945896502282
2045,0.07117590725219647
2046,0.015323090898329676
2047,-0.039601205977911474
2048,-0.09518442390948334
2049,-0.14834283845366675
2050,-0.20217689017555873
2051,-0.23773874076065526
2052,-0.2730170171800128
2053,-0.30729474146740043
2054,-0.34197755799903123
2055,-0.3756612734494843
2056,-0.4065539652091672
2057,-0.4364688999662755
2058,-0.46670240996691675
2059,-0.4972022424526727
2060,-0.5254783727475513
2061,-0.56295831807736
2062,-0.5989731846277043
2063,-0.6347054121238423
2064,-0.6690086233375805
2065,-0.7030117330693293
2066,-0.7350410091380422
2067,-0.766689888921505
2068,-0.7969187527265797
2069,-0.8267572576597415
2070,-0.8561764968016984
2071,-0.8716268245680066
2072,-0.8872082987983456
2073,-0.9019801408827282
2074,-0.9159656967484013
2075,-0.9291876245285203
2076,-0.9431821937842373
2077,-0.9555380656258805
2078,-0.9679636231078279
2079,-0.9774854428126122
2080,-0.963711834861813
2081,-0.9499658601919206
2082,-0.9364390958966343
2083,-0.9231202359039447
2084,-0.9099986640308614
2085,-0.8970644807978972
2086,-0.8839629577485301
2087,-0.8710310263101031
2088,-0.8582616200750856
2089,-0.8456482234024806
2090,-0.8331848545817518
2091,-0.8203335430442017
2092,-0.8076221722047339
2093,-0.7950474877723587
2094,-0.7826064127948851
2095,-0.7702960476956969
2096,-0.757523180071503
2097,-0.7448778206599301
2098,-0.7323597638438029
2099,-0.7199688913621203
2100,-0.707705153484923
