time,temp,e_gtco2_club,total_tax_revenue
2020,1.1730635369796556,35.91529312414241,0.0
2021,1.2119102787255247,36.661854023122295,0.0
2022,1.2632866578706956,37.11433935699451,0.0
2023,1.315423890428984,37.36863953215092,0.0
2024,1.359139122874682,37.76795406629869,0.0
2025,1.394657378669077,38.17074193578465,0.0
2026,1.4239407981424814,38.20791466933767,0.0
2027,1.4493359541093394,38.24842783104569,0.0
2028,1.4732899732236007,38.29305975914251,0.0
2029,1.4964528572671343,38.34254831948523,0.0
2030,1.5182372263530057,31.094153764073262,1.3239307657359319e9
2031,1.5384238460567246,30.07488654303142,1.482597922551002e9
2032,1.5573757977096838,29.06838391856337,1.6373675629128277e9
2033,1.57730829697756,28.087471898296855,1.7839933322902596e9
2034,1.5998859351042505,27.14290126770458,1.9190879411931758e9
2035,1.6218888854177853,26.204428792661822,2.0492682204261327e9
2036,1.6417551976015035,25.238448536895135,2.14723987942803e9
2037,1.6587126658479128,24.30158696800024,2.2346068641668973e9
2038,1.672619075268112,23.392096342002443,2.311797021299461e9
2039,1.6841061185848865,22.48560229632572,2.3838251809464035e9
2040,1.6921909064300975,21.627328278721837,2.4415226064650826e9
2041,1.6983205330735658,20.57568988700436,2.515699583840767e9
2042,1.7039003070391474,19.568925251495596,2.573007906114615e9
2043,1.7101180488472119,18.584012277116578,2.617732354346968e9
2044,1.7174401150414207,17.620222953791995,2.649916342660124e9
2045,1.7275073925890703,16.68623850678831,2.668494548702787e9
2046,1.7395644505996515,15.92271048785969,2.6906892800969167e9
2047,1.7518473391532898,15.174394835777855,2.701753580526384e9
2048,1.7626166101484662,14.42302573647766,2.7031905267039e9
2049,1.7688663755842444,13.703226484513463,2.692469891293077e9
2050,1.7700913659867028,12.979711809526703,2.671995360789287e9
2051,1.7691450914062266,12.506151053755957,2.670258658587113e9
2052,1.768212434521196,12.033970035900053,2.663456024351942e9
2053,1.767287294106014,11.571228154031528,2.6514384512323794e9
2054,1.7675991525239179,11.101843957166343,2.634085945149547e9
2055,1.7707489175331284,10.64170238806277,2.611374000070716e9
2056,1.7767709433672898,10.203256953003114,2.5834965456783667e9
2057,1.7825944916940286,9.772322495607344,2.550728863892509e9
2058,1.786836611497671,9.333888088330646,2.5121284737733655e9
2059,1.790683775029754,8.888402835703646,2.4672261933793e9
2060,1.7923383029362774,8.465040714275798,2.418488585320829e9
2061,1.7912158865168069,7.937982682573221,2.354728144197697e9
2062,1.789019225716468,7.418950911145047,2.2819070107170353e9
2063,1.7869298620293157,6.893875128370663,2.197961281162552e9
2064,1.7855700179822847,6.37659786159652,2.104775466034788e9
2065,1.7852139650711591,5.853409236841972,1.9997623900554662e9
2066,1.7875539344357327,5.330501179498363,1.8827496744150085e9
2067,1.792550321441516,4.802831420800363,1.7534086897968826e9
2068,1.7977086589403435,4.283529004976102,1.6146896444538822e9
2069,1.8006772555119697,3.759724780586209,1.4630616509453053e9
2070,1.8004306462344921,3.2317135379939685,1.2979874452208586e9
2071,1.7973620192231208,2.8762976482157283,1.179506746522216e9
2072,1.7931714655389326,2.5117875634664317,1.0520072756049635e9
2073,1.789275892179276,2.150596725087983,9.195481153442605e8
2074,1.7851337309234296,1.7926747292687408,7.821944033567122e8
2075,1.7809115326043703,1.4379636521321526,6.40006166109131e8
2076,1.7770061961221089,1.061515583922582,4.824090743498173e8
2077,1.7739588150077927,0.7010516032931616,3.249483720576821e8
2078,1.7729703081006338,0.33302303799437605,1.5748347257655928e8
2079,1.773894730455125,0.0,0.0
2080,1.7754469861047628,0.0,0.0
2081,1.776138615941412,0.0,0.0
2082,1.7755649791476542,0.0,0.0
2083,1.7733385966233346,0.0,0.0
2084,1.7700013813592872,0.0,0.0
2085,1.7655716931891225,0.0,0.0
2086,1.760164573934654,0.0,0.0
2087,1.7558320656427364,0.0,0.0
2088,1.752942753877947,0.0,0.0
2089,1.752076710131878,0.0,0.0
2090,1.754248889521781,0.0,0.0
2091,1.758324678141618,0.0,0.0
2092,1.763593557889951,0.0,0.0
2093,1.767378524619739,2.940682922909089e-15,1.396030265878267e-6
2094,1.7670207544486076,0.0,0.0
2095,1.7644238081361645,0.0,0.0
2096,1.7608420597543537,0.0,0.0
2097,1.7574591587246318,0.0,0.0
2098,1.7550857863012512,0.0,0.0
2099,1.75434671174829,0.0,0.0
2100,1.7565514095401202,0.0,0.0
2101,1.7628798482011465,25.057969730490846,0.0
2102,1.7721785999376387,24.85933547421678,0.0
2103,1.7821203506498715,24.64733546611796,0.0
2104,1.7915887580391834,24.42288082261209,0.0
2105,1.7992958291435401,24.186917296233847,0.0
2106,1.8061184594036757,23.9404195426907,0.0
2107,1.8133080329634625,23.684322916160735,0.0
2108,1.821381337152317,23.419511689015884,0.0
2109,1.8310304457947146,23.14683827057127,0.0
2110,1.8430528426530093,22.867116523529393,0.0
2111,1.85907808011369,22.58111803274658,0.0
2112,1.8756038212943935,22.289550885571714,0.0
2113,1.889468751139062,21.993190123876577,0.0
2114,1.9002514970480016,21.69285467641292,0.0
2115,1.9088681514406673,21.389328952273885,0.0
2116,1.916607414259102,21.08332946448075,0.0
2117,1.9233832814464156,20.77549964702818,0.0
2118,1.9305518269300572,20.46644649982904,0.0
2119,1.938517892899439,20.156707885119264,0.0
2120,1.9487598723177757,19.846779038235596,0.0
2121,1.962314904595591,19.537090718797103,0.0
