time,co2_emissions
2020,1.3890801789233607
2021,1.4001534798241235
2022,1.4107555146317554
2023,1.4209136584091964
2024,1.4306549300263474
2025,1.440006063009182
2026,1.445285430784079
2027,1.4501353170548945
2028,1.4545845716378674
2029,1.4586618051436318
2030,1.184238391820057
2031,1.1559403200451612
2032,1.1271799788522316
2033,1.098491448138706
2034,1.0703445075196296
2035,1.0415927611238478
2036,1.0139855949377508
2037,0.9866886660414926
2038,0.9596699228805448
2039,0.931955387366635
2040,0.9054430057697946
2041,0.8710592086635565
2042,0.8376671942833134
2043,0.8043279578677828
2044,0.7710339115207144
2045,0.7381918304845778
2046,0.706320280494338
2047,0.6748488702073971
2048,0.6429814284909469
2049,0.612275744325165
2050,0.5811714280567729
2051,0.5584761546472783
2052,0.5358760237030206
2053,0.5137374213747746
2054,0.4913536238374382
2055,0.46943747237742195
2056,0.44810101230502825
2057,0.42722418522258687
2058,0.40615384505292823
2059,0.38491826394553275
2060,0.36478402835657836
2061,0.3392554271038586
2062,0.31442898711339873
2063,0.289706558438646
2064,0.26567376441892687
2065,0.24175850240583935
2066,0.21834704060373109
2067,0.19509703922703073
2068,0.1725423752115939
2069,0.15016031172651284
2070,0.12796703146269714
2071,0.11269007689972205
2072,0.09736187776096715
2073,0.08246762381299537
2074,0.06799955240388336
2075,0.05394997594886293
2076,0.039426128990344936
2077,0.025774861091888486
2078,0.012119371622482448
2079,0.0
2080,0.0
2081,0.0
2082,0.0
2083,0.0
2084,0.0
2085,0.0
2086,0.0
2087,0.0
2088,0.0
2089,0.0
2090,0.0
2091,0.0
2092,0.0
2093,0.0
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.0
2100,0.0
