time,consumption_ede
2020,16.23692346195796
2021,16.58764054562328
2022,16.94180544088146
2023,17.301582788100337
2024,17.666788068968668
2025,18.037958284416284
2026,18.39382409439694
2027,18.754242224707713
2028,19.1209734977986
2029,19.494555635839458
2030,21.03970764506868
2031,21.52744702152928
2032,22.014398129072525
2033,22.50001943446237
2034,22.972572026735048
2035,23.439487751968144
2036,23.857104580443263
2037,24.270170000402032
2038,24.67974043151294
2039,25.08963345911492
2040,25.49458233012642
2041,25.880831635291646
2042,26.259439643746507
2043,26.634421430379977
2044,27.006492356296878
2045,27.37499889181093
2046,27.726266872446395
2047,28.074935910567653
2048,28.42196301837945
2049,28.76703135377923
2050,29.11069450082875
2051,29.452677946106498
2052,29.796022324446202
2053,30.141972748809934
2054,30.490090568092292
2055,30.84141157076444
2056,31.17199050082874
2057,31.50422752615525
2058,31.83741362322709
2059,32.170979693592145
2060,32.503641787257834
2061,32.80092348694143
2062,33.09614639604268
2063,33.3873756506546
2064,33.67670936469732
2065,33.961694335194615
2066,34.214591118089714
2067,34.461740240498784
2068,34.7054825972981
2069,34.94233521982351
2070,35.17171376371571
2071,35.41536912644465
2072,35.654902691650825
2073,35.894069531848785
2074,36.132885734749316
2075,36.371470153502656
2076,36.56480941517181
2077,36.76084958335945
2078,36.95101650170322
2079,37.153394838213615
2080,37.502594763572304
2081,37.82287519061887
2082,38.14687502404702
2083,38.475398927754064
2084,38.80846004189815
2085,39.13970456848185
2086,39.44319013681532
2087,39.749071564477475
2088,40.058303990018416
2089,40.3709022829094
2090,40.686969838298765
2091,40.98261700825251
2092,41.2795860926004
2093,41.57824513980987
2094,41.878247355047556
2095,42.179763083707485
2096,42.46371037274271
2097,42.74790562009689
2098,43.02716341633681
2099,43.3009843663242
2100,43.575217035838044
