country,quantile,conso_npv,tax_npv,conso_2030,conso_2040,conso_2050,conso_2080,tax_2030,tax_2040,tax_2050,tax_2080
ABW,First,499.0,1.23,6.098049896117862,6.984368933258617,8.54656372100697,16.710109480270567,0.021225110989661476,0.023472617251540446,0.025727985576711444,0.032565684218051956
ABW,Second,850.0,1.96,11.08299758656121,12.378226999139242,14.875420666348498,27.804036445164662,0.03612550085740013,0.038847665380496096,0.041532943872724874,0.049333807877320134
ABW,Third,1060.0,2.37,14.311621995547585,15.825096030653285,18.79622317987463,33.79462180213991,0.04521725178393734,0.047961863693161716,0.05059466180993213,0.057887807582507986
ABW,Fourth,1350.0,2.91,18.85104674637737,20.76371654780658,24.43025376265391,42.18506149341732,0.057284652489516315,0.05998773182879586,0.0625502933696019,0.06945439592456501
ABW,Fifth,1620.0,3.4,23.377762453770963,25.780265355192327,30.0775434929738,49.51083085670159,0.06852066652855214,0.0710082901799156,0.07331078855321374,0.07923881540588831
ABW,Sixth,1980.0,4.07,29.3309562897394,31.967206248239737,36.99023277343417,59.99076655285314,0.08417020769611135,0.08625762097333584,0.08815812982013602,0.09282980234611547
ABW,Seventh,2350.0,4.71,35.85070153894181,38.95186874225162,44.69339944355568,69.80959089445331,0.10000166537679635,0.10143630210744967,0.10265489006962149,0.10520802278493784
ABW,Eighth,3000.0,5.81,47.06147423972098,50.80502398041867,57.742288697895276,87.11975636251516,0.12690227165544538,0.1270669790547359,0.12709221333991266,0.12636141504487886
ABW,Ninth,3750.0,7.0,61.159566552277,66.07407870525631,74.2437958745161,104.8043864452438,0.15801743750538882,0.1560542381963962,0.15396425765801022,0.14726608855001727
ABW,Tenth,7150.0,12.4,126.8907299859767,133.5141902567164,145.6300589546008,188.55560420630124,0.3025352351171909,0.2879066913341727,0.27441383593013546,0.2398541602657171
AFG,First,107.0,1.34,0.5342090206330149,0.769957450198086,1.1553388180427926,4.303250402453525,0.01713290692410598,0.020131342418512825,0.024816996722274925,0.0429731549205518
AFG,Second,147.0,2.12,0.8017529491861661,1.13312777648297,1.6615816291743748,5.859939740250566,0.03235751506246124,0.03628878502466735,0.04209351774802607,0.06125835747706433
AFG,Third,161.0,2.46,0.9225483051292204,1.2908874970046518,1.867928513217668,6.370934419176986,0.04034842224330228,0.04434762801726944,0.05001844487833519,0.06743651718581985
AFG,Fourth,186.0,3.01,1.1062653109458906,1.541590990932528,2.207916811872572,7.268894851061925,0.053167153029137146,0.057243233607283145,0.0628386249024808,0.07847653117256323
AFG,Fifth,204.0,3.45,1.2573208414998303,1.750074098264858,2.484607176017119,7.877433741793514,0.06426472023650354,0.06810158209274154,0.07316262491252318,0.0860806800450046
AFG,Sixth,229.0,4.14,1.4607275284465593,2.0127399432159288,2.8296910981136607,8.831817315763065,0.08166638344513073,0.08500330333746675,0.0891958627912161,0.09818859345208464
AFG,Seventh,249.0,4.7,1.6428341684607544,2.2565608598866156,3.144037347090422,9.492745401767586,0.09750371170282597,0.09994260139325835,0.10268859789082198,0.1066947270108403
AFG,Eighth,287.0,5.83,1.9651821306990511,2.6814197778141735,3.6965761944771085,10.833328447235715,0.12864877260165533,0.12915567985070178,0.12913576967775903,0.12422695020787004
AFG,Ninth,314.0,6.76,2.2601890675440797,3.078091200332864,4.192759523821152,11.649665673803336,0.15811639222867194,0.15563542318623114,0.15134590794213304,0.13507268123382307
AFG,Tenth,451.0,12.0,3.592124648951877,4.779507025773812,6.313412455569039,16.345209615809395,0.3267940225262059,0.3041504210718676,0.2747036525344298,0.1995918072943781
AGO,First,67.8,0.632,0.7072945013375237,0.7876544994341602,0.9006992818581696,2.238729315126207,0.008883062015863983,0.009830141947346265,0.010861559890322336,0.019431180511476378
AGO,Second,117.0,1.21,1.3104093645962174,1.43203308707886,1.6222767727227954,3.804950268966601,0.01924556643585257,0.020807348008875386,0.022438331435660933,0.034485243361301106
AGO,Third,146.0,1.58,1.7010681880882204,1.8403259732415476,2.0713354392919467,4.678096341946016,0.02668352396738349,0.028464021912104658,0.030305884645155465,0.04317627393104292
AGO,Fourth,186.0,2.11,2.2429100292933635,2.410162094163767,2.697730846660786,5.894189930531489,0.03763837082808562,0.03970870717872298,0.04180408427978797,0.055559826136048
AGO,Fifth,222.0,2.62,2.7721780893031824,2.9647718932123412,3.3003355997901527,6.97401634885965,0.04884367973351831,0.05102959193950109,0.053213520027811365,0.06678712759555354
AGO,Sixth,274.0,3.39,3.5041131580290115,3.7160174838037094,4.120122511904734,8.517079487373678,0.06587433938129728,0.06816238517709777,0.0703845244239317,0.08315203856103619
AGO,Seventh,325.0,4.19,4.282535435437371,4.513832053749854,4.979288985171452,9.990092212790078,0.08465322705226468,0.08674118091050644,0.08872893832495049,0.0990792710985339
AGO,Eighth,414.0,5.67,5.635047343619362,5.893839163255756,6.466777913071689,12.57915533469983,0.11969979135779041,0.12128673919063916,0.12265948899188114,0.12768776077494703
AGO,Ninth,514.0,7.43,7.289449199677209,7.569595733949276,8.241671768394578,15.30103839848337,0.1647260389306957,0.16461120059906226,0.16432698543181493,0.15848055508467843
AGO,Tenth,986.0,17.0,15.289641910402054,15.470219258757318,16.577254294645073,28.234280987220124,0.4237524002972479,0.40935868313614393,0.3952766825486836,0.31216072294538266
ALB,First,382.0,1.83,5.290590041681017,6.075396558123599,7.056181026032974,11.67016439898893,0.035908595897081196,0.03707923477285788,0.03847207934251498,0.044212275802277275
