time,country_carbon_tax
2020,643.9411417902287
2021,637.419886036018
2022,631.1684688908296
2023,625.1068372163674
2024,619.002880717723
2025,612.9534504763908
2026,607.1238524809447
2027,601.3395257815733
2028,595.6005977277449
2029,589.9071765969227
2030,588.3595422921986
2031,583.2174876785509
2032,578.0976683582379
2033,572.9944709780026
2034,567.9037661439218
2035,562.8425953523513
2036,557.7945733214711
2037,552.7686640404396
2038,547.7666308741391
2039,542.8008562988537
2040,537.8503331367431
2041,533.0023552022878
2042,528.17260178655
2043,523.3721507496085
2044,518.6015967305669
2045,513.8573804615753
2046,509.06282411382284
2047,504.3049663194832
2048,499.59137765900726
2049,494.90730185391095
2050,490.26731982294297
2051,489.97133815654524
2052,489.67483989021264
2053,489.3745622283665
2054,489.07710863693734
2055,488.77600774732036
2056,488.4580514480208
2057,488.13775114753463
2058,487.8212713595077
2059,487.50846236086204
2060,487.1873837360218
2061,486.9038388857139
2062,486.6185454346536
2063,486.33734387482957
2064,486.0545493005108
2065,485.7758830214801
2066,485.494929109223
2067,485.218410020521
2068,484.94086420892774
2069,484.6677681670248
2070,484.39908260890905
2071,484.05678746955994
2072,483.7208893411301
2073,483.38610755406285
2074,483.05248729965865
2075,482.7200762163364
2076,482.3992296788806
2077,482.0745837699364
2078,481.7567265207731
2079,0.0
2080,0.0
2081,0.0
2082,0.0
2083,0.0
2084,0.0
2085,0.0
2086,0.0
2087,0.0
2088,0.0
2089,0.0
2090,0.0
2091,0.0
2092,0.0
2093,474.72995303323484
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.0
2100,0.0
