time,consumption_ede
2020,16.23692346195796
2021,16.58764054562328
2022,16.94180544088146
2023,17.301582788100337
2024,17.666788068968668
2025,18.037958284416284
2026,18.39382409439694
2027,18.754242224707713
2028,19.1209734977986
2029,19.494555635839458
2030,19.67161893477585
2031,20.000313570373148
2032,20.333915826583002
2033,20.675728560153253
2034,21.016276715280235
2035,21.356700199900278
2036,21.675943877344373
2037,22.000866625131003
2038,22.332028004748494
2039,22.66875126023071
2040,23.013720429330046
2041,23.32443504858225
2042,23.64267097846329
2043,23.96797022850528
2044,24.300804780847756
2045,24.642221726544967
2046,24.962069733959183
2047,25.289751107420827
2048,25.62614773375284
2049,25.971678496864165
2050,26.32495118912671
2051,26.65999383687066
2052,27.00145538167633
2053,27.35075172158217
2054,27.707572876560082
2055,28.07298505028176
2056,28.421251874178115
2057,28.7762115816823
2058,29.137983942235483
2059,29.50640091331837
2060,29.87801803293423
2061,30.2266196692796
2062,30.581962558103566
2063,30.943927659291436
2064,31.313153765545287
2065,31.689453638942872
2066,32.04458876222399
2067,32.40622477689197
2068,32.77437909735302
2069,33.14870881975516
2070,33.529309222259805
2071,33.886142937914
2072,34.248089241107294
2073,34.61551376463985
2074,34.98841780072609
2075,35.36690797465129
2076,35.7154639079151
2077,36.068578891576855
2078,36.426653150944084
2079,36.79001104395886
2080,37.15994493083127
2081,37.50017481611554
2082,37.84306379445609
2083,38.189457977492005
2084,38.539417688694115
2085,38.886675991273336
2086,39.2054827511702
2087,39.52582116649008
2088,39.848684556324976
2089,40.17413025231591
2090,40.50230195122226
2091,40.80945008297466
2092,41.11724078091288
2093,41.426077818649304
2094,41.735651099902746
2095,42.04616391625689
2096,42.3386225324471
2097,42.6308069635971
2098,42.91757558117277
2099,43.19845626275007
2100,43.479309316137474
