time,temp,e_gtco2_club,total_tax_revenue
2020,1.1730635369796556,35.74145241309952,0.0
2021,1.211899509838237,36.48626107069416,0.0
2022,1.2632435889133522,36.999098435577764,0.0
2023,1.3153432233126972,37.347507161405815,0.0
2024,1.359038259258435,37.82484541346952,0.0
2025,1.3945616285633962,38.3061226264115,0.0
2026,1.4238756772751495,38.388258421192404,0.0
2027,1.449323601162869,38.47409864135966,0.0
2028,1.4733498793102278,38.56439559561874,0.0
2029,1.4966040032866854,38.65986216343608,0.0
2030,1.5184768740354382,31.087861243605843,1.4127939707882407e9
2031,1.5387165337285924,30.056519483458953,1.57643191596019e9
2032,1.5576889701553638,29.037188449340942,1.7356596171723042e9
2033,1.5776311227425917,28.102472510376835,1.8717140037242386e9
2034,1.6002180834832815,27.147475533696042,2.0095684776984222e9
2035,1.6222303110529368,26.197934343271747,2.1419722473028593e9
2036,1.6421023020687786,25.215974379886344,2.240295543781059e9
2037,1.6590620434955918,24.29770915883822,2.3200682991663055e9
2038,1.6729712887852006,23.409165856468725,2.3892622872650976e9
2039,1.6844634953792388,22.489351533065758,2.460101725019695e9
2040,1.69255273344515,21.61874950289738,2.5160803893339815e9
2041,1.698683883420225,20.565729920677423,2.5781713695670943e9
2042,1.7042630952804168,19.56214313155975,2.623134562286979e9
2043,1.7104798874007066,18.584280348556533,2.655472370045428e9
2044,1.7178021914558528,17.631323270911707,2.675459962592735e9
2045,1.7278699915495779,16.670221281606594,2.687026109335951e9
2046,1.7399254799624373,15.915139693509598,2.7022387669627967e9
2047,1.7522058894695984,15.17696738599048,2.7065231787597604e9
2048,1.7629732353548975,14.414728474721876,2.7028028047954974e9
2049,1.7692198915024697,13.684787744138442,2.6866927604430904e9
2050,1.770440239159074,12.975140180980786,2.6597650673290076e9
2051,1.7694892193379408,12.4937656547487,2.6536753344561696e9
2052,1.7685518375309788,12.026255056669948,2.6423023751884747e9
2053,1.7676222949891018,11.568926332072682,2.6259051525692596e9
2054,1.7679303335336898,11.093086225373161,2.60395022162845e9
2055,1.7710756739614626,10.626862352939948,2.5765249134517784e9
2056,1.7770924211379828,10.196397313714616,2.5449511072147527e9
2057,1.7829106661891123,9.7609913952431,2.5079021670242724e9
2058,1.7871479135891266,9.331583678509977,2.4659260829556203e9
2059,1.790990920763329,8.882333213597311,2.416584700837657e9
2060,1.792641452655845,8.455505608030615,2.3634924367483582e9
2061,1.7915144485042203,7.927442430803966,2.2949683667082233e9
2062,1.7893126348679562,7.407465619516916,2.217280303399723e9
2063,1.7872177016100366,6.881514764602194,2.128236162044171e9
2064,1.7858519303231513,6.363437424442021,2.0298623184190736e9
2065,1.7854900605280382,5.847009909197696,1.9210734520208037e9
2066,1.7878249519252691,5.32346887462699,1.7988363929710476e9
2067,1.7928168353513845,4.795302620092377,1.664095857343541e9
2068,1.7979707966708005,4.275633201000076,1.5199547803423443e9
2069,1.8009350204094332,3.75161446588054,1.362747263543286e9
2070,1.8006842662498066,3.2275989990125997,1.193307732559031e9
2071,1.7976120877478428,2.872439255351992,1.0714906519421335e9
2072,1.7934185228765955,2.5081115334580804,9.404906897131692e8
2073,1.7895202370735677,2.14700931448839,8.045161617717445e8
2074,1.785375557172244,1.7890852169476763,6.63634320951911e8
2075,1.7811510981820307,1.4364239728218329,5.188172772162495e8
2076,1.7772438894859326,1.0598614642482145,3.575428981249283e8
2077,1.77419506296789,0.7013716111483406,1.975765116922295e8
2078,1.7732055426136077,0.333097086128383,2.6498256797180258e7
2079,1.774129303883056,0.0007498316431432859,-1.3364901958135475e8
2080,1.775681144240295,0.0005006250880385853,-1.3198937235389516e8
2081,1.7763725048248775,0.000233708940349163,-1.3019368697727026e8
2082,1.7757986425528924,-8.197126474599335e-5,-1.2840409171785615e8
2083,1.7735720240885797,-0.00044367394347359017,-1.2662164155455863e8
2084,1.7702345231596364,-0.0008487082978401535,-1.2484731667465752e8
2085,1.7658045523483314,0.00014984654911808773,-1.223651717809007e8
2086,1.7603972440925733,-0.0003090088378880549,-1.2048966810273013e8
2087,1.7560646642553075,0.0006353018830560909,-1.1791311068669267e8
2088,1.7531753991643337,0.00011344567276546063,-1.160585925860385e8
2089,1.7523094272536264,-0.0004325981201548727,-1.142135708471005e8
2090,1.7544815755041665,-0.0009996711398042658,-1.1237838111568639e8
2091,1.7585572585257028,-0.0001483963770682323,-1.0975248703161463e8
2092,1.763826130494812,0.0006783035929667806,-1.0714456524242443e8
2093,1.767611235744704,-9.789375086301078e-5,-1.0533094719529922e8
2094,1.7672535983937403,-0.0005140640148640497,-1.0334861957515396e8
2095,1.764656741840264,0.00026578029013663886,-1.0079136540549082e8
2096,1.7610751063591834,-0.00032873852552719443,-9.884006684261255e7
2097,1.7576923532791306,0.00044730160590811545,-9.623470733365303e7
2098,1.755319167740337,-0.00014861374901857112,-9.431578526867409e7
2099,1.7545802381515345,-0.0007377906984744646,-9.241140213296518e7
2100,1.756785007659325,2.712396499075163e-5,-8.986858127353112e7
2101,1.763112906056303,25.048841690525663,0.0
2102,1.7724097973379347,24.852309753478334,0.0
2103,1.7823489722456822,24.64253753991361,0.0
2104,1.7918150734005514,24.42043831294953,0.0
2105,1.7995204796236488,24.186957902057017,0.0
2106,1.806342259052797,23.943069257556317,0.0
2107,1.8135319037342454,23.689704034918783,0.0
2108,1.8216062865734972,23.427740992735178,0.0
2109,1.8312575575619277,23.158025615348404,0.0
2110,1.843283270692629,22.881363620366503,0.0
2111,1.8593130432953626,22.598517418792262,0.0
2112,1.8758445982688008,22.310184910627285,0.0
2113,1.8897166747643872,22.017131253887236,0.0
2114,1.9005079482315517,21.720165880910027,0.0
2115,1.909134552733381,21.420063617360913,0.0
2116,1.916885223599098,21.117531128891567,0.0
2117,1.923673986349768,20.8132017642546,0.0
2118,1.9308569388541346,20.507672618495423,0.0
2119,1.9388389419772485,20.201471569453474,0.0
2120,1.9490984025221898,19.895084085281006,0.0
2121,1.9626724693679554,19.58893117239705,0.0
2122,1.9788009809610747,19.283384475835387,0.0
2123,1.9923963775002114,18.978808777571373,0.0
2124,2.0028735152964803,18.67565191806607,0.0
2125,2.011343601904791,18.374335070906042,0.0
2126,2.01655840631266,18.075217920956664,0.0
2127,2.0212128456904574,17.77865209581498,0.0
2128,2.0263176940877905,17.484900447863286,0.0
2129,2.032435991454211,17.19418032833911,0.0
2130,2.0411089970435867,16.90667658853917,0.0
2131,2.054662514620069,16.622525698673183,0.0
2132,2.0695604452313416,16.341806363754664,0.0
2133,2.0820746573946045,16.064654518313912,0.0
2134,2.0918087955556293,15.791257221265635,0.0
2135,2.097571242360701,15.521784134369879,0.0
2136,2.100332252344408,15.256402246903566,0.0
2137,2.102670742097507,14.995237174380842,0.0
2138,2.1060754774636434,14.738350272507422,0.0
2139,2.110011301113072,14.48576506412975,0.0
2140,2.114958468979605,14.237505227782098,0.0
2141,2.1221891755040625,13.993577424545816,0.0
2142,2.131823903272897,13.753960504814751,0.0
2143,2.1412480930783393,13.518627114771027,0.0
2144,2.1494475685705092,13.287586501700142,0.0
2145,2.1566921493198814,13.060854511575435,0.0
2146,2.1616930080641397,12.83843288008867,0.0
2147,2.165729525430425,12.620333746207786,0.0
2148,2.169624957942641,12.40654039206108,0.0
2149,2.1729042380274883,12.197017472779,0.0
2150,2.1764732147660033,11.99173169688019,0.0
2151,2.1805798988562777,11.790632196660454,0.0
2152,2.1864947847648653,11.593661867620552,0.0
2153,2.195885679569152,11.40074444127894,0.0
2154,2.2075848354088934,11.21178193181344,0.0
2155,2.2177408309878146,11.026694830186644,0.0
2156,2.224999640315496,10.845454256139258,0.0
2157,2.2298459688060706,10.66804327684989,0.0
2158,2.2320374033057386,10.494432100726476,0.0
2159,2.2325810226869347,10.324588659973282,0.0
2160,2.233113362010622,10.158463644309618,0.0
2161,2.234954502905348,9.995985309223084,0.0
2162,2.23939199599421,9.83706637645831,0.0
2163,2.2476408509746246,9.681606722147063,0.0
2164,2.259026959353701,9.529496205139532,0.0
2165,2.268395309416916,9.380637677231991,0.0
2166,2.2748633142024905,9.23499552886786,0.0
2167,2.278371071145972,9.092540559375612,0.0
2168,2.278163340702953,8.953240164870568,0.0
2169,2.2773481144979426,8.817066210001814,0.0
2170,2.2770172850544306,8.683953604048755,0.0
2171,2.2777473546116886,8.553826326223628,0.0
2172,2.2803230846580647,8.426604370282655,0.0
2173,2.2862809658935404,8.302202387866503,0.0
2174,2.2944303793955036,8.180523119056051,0.0
2175,2.3026054141400847,8.061486166941988,0.0
2176,2.3096854874778536,7.945035573027433,0.0
2177,2.3139230433715876,7.831126764988975,0.0
2178,2.3150621572642023,7.719731159445408,0.0
2179,2.314859772891222,7.610820143576579,0.0
2180,2.3144064529634507,7.504346450220983,0.0
2181,2.313948200919995,7.400252748139516,0.0
2182,2.3138501632246524,7.298480713726343,0.0
2183,2.314227088331337,7.198970261829923,0.0
2184,2.3156532539709085,7.101662151000584,0.0
2185,2.318864140426913,7.006494053531616,0.0
2186,2.3251958735109626,6.913399744950275,0.0
2187,2.332377669776315,6.822304689195069,0.0
2188,2.3383597973299652,6.733157573102678,0.0
