time,co2_emissions
2020,0.3808560373082185
2021,0.3889853774148545
2022,0.3971120166344703
2023,0.40523671012262047
2024,0.41336165264514774
2025,0.42149032393509317
2026,0.4291697470898039
2027,0.43683369047009685
2028,0.44448522342203683
2029,0.45212713681794897
2030,0.27708459273023556
2031,0.2623732097494927
2032,0.2469441708140489
2033,0.2311344605603626
2034,0.21525800291558445
2035,0.19850314678670528
2036,0.18272249966442333
2037,0.16674418474006242
2038,0.1505420194106461
2039,0.13338177296493053
2040,0.11667566958586621
2041,0.09390827928375205
2042,0.07135181812824284
2043,0.04828556568497328
2044,0.024699172477501436
2045,0.0009195845185652592
2046,-0.022031873453327855
2047,-0.045133821422691255
2048,-0.06904354616658821
2049,-0.09244658743075976
2050,-0.1166492091382536
2051,-0.13324794746948737
2052,-0.1500302599185706
2053,-0.1666675478599455
2054,-0.18377681614166053
2055,-0.20071833183891766
2056,-0.21652353626366652
2057,-0.23210080078099077
2058,-0.24803977696844276
2059,-0.2643140897396578
2060,-0.2797343343205167
2061,-0.29959544564365326
2062,-0.31897259033651604
2063,-0.3384185030598135
2064,-0.3573594473151001
2065,-0.37633067652484153
2066,-0.3942328647289373
2067,-0.41206209243246295
2068,-0.4292831627746723
2069,-0.4463969450335535
2070,-0.46337831557880443
2071,-0.4728985203240928
2072,-0.48244957146000583
2073,-0.49154402302067435
2074,-0.5001850227803006
2075,-0.5083761874597287
2076,-0.5164591641651898
2077,-0.5236000330029947
2078,-0.5306817370360676
2079,-0.5361474995985951
2080,-0.5293145074885512
2081,-0.5219555786560548
2082,-0.5145718128675464
2083,-0.507166449427735
2084,-0.49974280458873394
2085,-0.49230404722730364
2086,-0.48441554474861953
2087,-0.47651889839339034
2088,-0.46861828990580073
2089,-0.4607177595321608
2090,-0.4528211723686337
2091,-0.44455053780091297
2092,-0.43629355489231186
2093,-0.42805555128578227
2094,-0.4198421972823083
2095,-0.41165942144371137
2096,-0.40318847700566496
2097,-0.3947614630804982
2098,-0.3863838559043717
2099,-0.37806068435583096
2100,-0.3697966029778088
