time,consumption_ede
2020,13.224634073014885
2021,13.512038425095382
2022,13.798750321817819
2023,14.090000138059887
2024,14.388639691297909
2025,14.695243233938236
2026,14.993224363162419
2027,15.297213417862901
2028,15.607883782297728
2029,15.925489910201286
2030,16.227830053139026
2031,16.533617415188814
2032,16.844941523267877
2033,17.163110512235985
2034,17.479216096100917
2035,17.795940171018504
2036,18.107964240672814
2037,18.425787853408483
2038,18.749948725063515
2039,19.080049530538762
2040,19.417840538455778
2041,19.746347139911908
2042,20.07970918840948
2043,20.417211403961698
2044,20.758798152258425
2045,21.104294672099748
2046,21.443435305993304
2047,21.78653211515002
2048,22.13403504546142
2049,22.489162270751017
2050,22.85081380213883
2051,23.214888948707625
2052,23.58364513635034
2053,23.95845000323599
2054,24.33799387036393
2055,24.722648588864505
2056,25.102347901241643
2057,25.487295665504952
2058,25.877860364116604
2059,26.273186103214414
2060,26.672890924100052
2061,27.05836374551166
2062,27.44825524616761
2063,27.841090011340558
2064,28.237932104222438
2065,28.637637865858245
2066,29.028082524916876
2067,29.419532483338262
2068,29.814706820242378
2069,30.21390022781959
2070,30.61795814393203
2071,31.03389842796805
2072,31.455327552483663
2073,31.883041142168004
2074,32.317664235114925
2075,32.75944202646328
2076,33.189353013433795
2077,33.625780853440475
2078,34.065691790048206
2079,34.514995746718185
2080,35.01504694105459
2081,35.50928490112579
2082,36.0128511218147
2083,36.52679563600992
2084,37.05078334034382
2085,37.57923977710264
2086,38.09801983162247
2087,38.62238813795584
2088,39.152797690939174
2089,39.688651070619976
2090,40.22898652904889
2091,40.756717711526754
2092,41.28780999039519
2093,41.82507619160272
2094,42.3708793671704
2095,42.92379609298575
2096,43.46492656928518
2097,44.00936835346791
2098,44.55113256897563
2099,45.088853363363036
2100,45.62672138280554
