time,temp,e_gtco2_club,total_tax_revenue
2020,1.1730635369796556,35.91529312414241,0.0
2021,1.2119102787255247,36.661854023122295,0.0
2022,1.2632866578706956,37.11433935699451,0.0
2023,1.315423890428984,37.36863953215092,0.0
2024,1.359139122874682,37.76795406629869,0.0
2025,1.394657378669077,38.17074193578465,0.0
2026,1.4239407981424814,38.20791466933767,0.0
2027,1.4493359541093394,38.24842783104569,0.0
2028,1.4732899732236007,38.29305975914251,0.0
2029,1.4964528572671343,38.34254831948523,0.0
2030,1.5182372263530057,31.094153764073262,1.3239307657359319e9
2031,1.5384238436459812,30.074845791582444,1.4825959136319146e9
2032,1.5573757854871082,29.068314089411043,1.637363629567606e9
2033,1.577308265314205,28.087383945012235,1.7839877458824182e9
2034,1.5998858759998364,27.14280524199362,1.9190811518753302e9
2035,1.621888793623596,26.204333822553924,2.0492607934669123e9
2036,1.6417550710756668,25.23836675059035,2.1472329212025692e9
2037,1.6587125060997148,24.301526177916852,2.2346012743287635e9
2038,1.672618887127993,23.39206267439259,2.3117936939927034e9
2039,1.6841059096629616,22.485600254370258,2.383824964467222e9
2040,1.6921906866303928,21.62736080012245,2.441526277826323e9
2041,1.6983203144728567,20.575765955717976,2.51570888442958e9
2042,1.7039001040103752,19.569045547130415,2.573023723110976e9
2043,1.710117877467923,18.58417578848189,2.617755386455693e9
2044,1.7174399920909194,17.6204271873455,2.6499470574718823e9
2045,1.7275073348015475,16.686479812496014,2.6685331387640114e9
2046,1.7395644733836446,15.922971890084062,2.6907334529884233e9
2047,1.7518474552590948,15.174672925270187,2.7018030934914646e9
2048,1.7626168298464158,14.423316519178877,2.703245025742977e9
2049,1.7688667073792161,13.703526525028488,2.692528844566146e9
2050,1.7700918167983364,12.980016900538688,2.6720581666343327e9
2051,1.7691456666290581,12.506458656324336,2.6703243365417495e9
2052,1.7682131381788793,12.034277928704478,2.6635241696890435e9
2053,1.767288129021764,11.571534372284704,2.6515086182743006e9
2054,1.7676001204074707,11.10214619103378,2.6341576548569994e9
2055,1.7707500190282712,10.641998852543653,2.6114467496749697e9
2056,1.7767721781057866,10.203545705581986,2.5835696587336884e9
2057,1.7825958583683916,9.772602241995902,2.550801882070962e9
2058,1.7868381079320605,9.334157240545501,2.5122009135686913e9
2059,1.7906853982140123,8.888659959785539,2.4672975653998446e9
2060,1.7923400491038464,8.465285372962187,2.418558485072089e9
2061,1.791217750995532,7.938209055289958,2.3547952955418725e9
2062,1.7890212026569488,7.419159109217978,2.281971047889934e9
2063,1.786931944671729,6.894064970062763,2.198021808033291e9
2064,1.7855721990955282,6.376769653616591,2.104832170822665e9
2065,1.785216237137077,5.8535630286005045,1.999814931567969e9
2066,1.7875562897929627,5.330637943485468,1.8827979798826418e9
2067,1.792552752413209,4.802951321550103,1.7534524629377832e9
2068,1.7977111578760692,4.283632658434213,1.6147287169488332e9
2069,1.800679814813403,3.7598126133256105,1.4630958302324111e9
2070,1.8004332583945355,3.2317861160844137,1.2980165955304668e9
2071,1.7973646770633946,2.8763594397467602,1.179532085877402e9
2072,1.7931741625323632,2.511839019640323,1.0520288268977946e9
2073,1.7892786223960102,2.150638591821982,9.19566016643884e8
2074,1.7851364888464776,1.792707769784131,7.822088198628418e8
2075,1.780914313086739,1.4379886430189,6.400172890061466e8
2076,1.7770089943658112,1.0615330373867315,4.824170061311421e8
2077,1.7739616265595388,0.7010624517641915,3.249534004935118e8
2078,1.7729731288650106,0.3330278615387726,1.5748575358548355e8
2079,1.773897556719873,0.0,0.0
2080,1.7754498148027773,0.0,0.0
2081,1.7761414449201587,0.0,0.0
2082,1.7755678069465077,0.0,0.0
2083,1.773341422132003,0.0,0.0
2084,1.770004203688174,0.0,0.0
2085,1.7655745116126518,0.0,0.0
2086,1.760167387860695,0.0,0.0
2087,1.7558348745918937,0.0,0.0
2088,1.7529455574685595,0.0,0.0
2089,1.7520795080682574,0.0,0.0
2090,1.7542516815836904,0.0,0.0
2091,1.758327464175374,0.0,0.0
2092,1.7635963377999857,0.0,0.0
2093,1.767381298360075,2.9406959690091783e-15,1.3960364592527503e-6
2094,1.7670235220142385,0.0,0.0
2095,1.7644265695540846,0.0,0.0
2096,1.760844815076915,0.0,0.0
2097,1.7574619080258616,0.0,0.0
2098,1.755088529674239,0.0,0.0
2099,1.7543494493030791,0.0,0.0
2100,1.7565541414018169,0.0,0.0
2101,1.762882576565,25.05802357354914,0.0
2102,1.7721813297145559,24.859384028029844,0.0
2103,1.7821230854876202,24.647379203906546,0.0
2104,1.7915914989718054,24.422920176500924,0.0
2105,1.7992985762206368,24.186952661459852,0.0
2106,1.8061212122336243,23.940451281215758,0.0
2107,1.8133107909032422,23.684351359134943,0.0
2108,1.8213840994509867,23.41953713903287,0.0
2109,1.8310332117190027,23.146861004025435,0.0
2110,1.8430556114933332,22.86713679275113,0.0
2111,1.859080851166817,22.581136067966245,0.0
2112,1.8756065938880242,22.289566896598558,0.0
2113,1.8894715246436888,21.99320430257095,0.0
2114,1.9002542709101504,21.6928671986068,0.0
2115,1.908870925171074,21.38933997895798,0.0
2116,1.9166101874007357,21.083339142741696,0.0
2117,1.9233860535863867,20.77550811095285,0.0
2118,1.930554597702137,20.466453871563697,0.0
2119,1.9385206620086142,20.156714275707756,0.0
2120,1.9487626395238475,19.84678454853369,0.0
