country,abatement_cost_share_mean,co2_emissions_mean,consumption_ede_mean,consumption_ede_npv,country_carbon_tax_mean,country_carbon_tax_npv,gross_output_mean,gross_output_npv,local_damage_cost_kw_mean,local_temp_anomaly_mean,mu_mean,net_output_per_capita_mean,net_output_per_capita_npv,population_mean,transfer_mean,transfer_npv,country_carbon_tax_2030,country_carbon_tax_2040,country_carbon_tax_2050,country_carbon_tax_2080,mu_2030,mu_2040,mu_2050,mu_2080,net_output_per_capita_2030,net_output_per_capita_2040,net_output_per_capita_2050,net_output_per_capita_2080,abatement_cost_share_2030,abatement_cost_share_2040,abatement_cost_share_2050,abatement_cost_share_2080,local_damage_cost_kw_2030,local_damage_cost_kw_2040,local_damage_cost_kw_2050,local_damage_cost_kw_2080,consumption_ede_2030,consumption_ede_2040,consumption_ede_2050,consumption_ede_2080,gross_output_2030,gross_output_2040,gross_output_2050,gross_output_2080,co2_emissions_2030,co2_emissions_2040,co2_emissions_2050,co2_emissions_2080,transfer_2030,transfer_2040,transfer_2050,transfer_2080,local_temp_anomaly_2030,local_temp_anomaly_2040,local_temp_anomaly_2050,local_temp_anomaly_2080,population_2030,population_2040,population_2050,population_2080
ABW,0.0066,0.000225,38.5,1580.0,296.0,11100.0,7760.0,323000.0,0.0474,1.24,0.686,69100.0,2.86e6,107.0,-924000.0,-4.9e7,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,40391.36545873099,46045.18331603404,54338.48765517283,86861.32847275404,0.0005188752357518758,0.002153601520456506,0.004930248869971114,0.01147269723341955,0.04131879158514314,0.04642531434839678,0.048738633019393934,0.04889823050086134,22.307857646290795,24.692922766073135,28.999033211806186,48.99926655068915,4640.449027110236,5358.767804713473,6227.71461393772,9736.05680323848,0.0006259783341152399,0.0004476683361635331,0.000283751933541497,0.0,-1.1013314085337278e6,-1.8795715302917275e6,-1.9305503933180545e6,0.0,1.0919783151685885,1.217091401922796,1.27311892601407,1.2769695530979015,110.244,110.937,108.709,105.636
AFG,0.0073,0.00765,5.88,208.0,296.0,11100.0,652000.0,2.26e7,0.0225,1.94,0.686,8620.0,308000.0,67400.0,-1.55e7,-7.92e8,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,2030.8368485224046,2802.441881342268,3900.584859850956,11697.803298676368,0.0004961997058736502,0.002186987540473074,0.005245427133387972,0.012948181852723043,0.019399237911862547,0.022029290149790257,0.02323547795054673,0.023319026184215077,1.270106389193697,1.7704700635513986,2.520645018678863,8.05630502975383,99637.42646770453,163391.68847032072,259543.72298646678,932252.5613195031,0.012853321062204688,0.013861248787581059,0.012581507274889657,0.0,-2.2613827697059173e7,-2.7640563986849748e7,-1.8103311400728207e7,0.0,1.7112107740448892,1.9072722333741063,1.995071506982617,2.001105724385244,48093.576,56912.0080000001,64682.976,76870.229
AGO,0.00144,0.00657,5.7,217.0,296.0,11100.0,1.58e6,5.45e7,0.0582,1.89,0.686,11600.0,457000.0,106000.0,-2.05e7,-1.1e9,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,6596.0963773427775,6736.748524606925,7261.648623838652,13559.479555482914,0.0002134189331240909,0.0007834377796873761,0.0015609872381642362,0.002175083598778068,0.050473345162112805,0.056946015212148746,0.059894805423739046,0.060098624874249086,2.6370845344216556,2.836264036971093,3.170132726136527,6.8580018366785005,310758.9236307176,426054.6435075843,596846.0339073197,2.0472833876892633e6,0.017242208990882302,0.012947797620996727,0.008609995994533036,0.0,-3.033553284396185e7,-4.649853316529535e7,-3.974544527523426e7,0.0,1.6621545251882848,1.85259537957162,1.9378776616552427,1.9437388927285124,44834.707,59782.166,77420.355,142116.013
ALB,0.00631,0.00188,20.2,825.0,296.0,11100.0,57000.0,2.5e6,0.0285,1.9,0.686,29500.0,1.19e6,2070.0,-7.52e6,-4.01e8,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,14983.496964730944,17993.474656079103,21675.714637594523,37987.80571844997,0.00044698678644643897,0.002067936550081219,0.005055180664861041,0.01106236640238672,0.02463861690510201,0.02788770987699303,0.029372686081006488,0.029475431581881463,11.388177490338297,13.102550820374931,15.266596666318653,25.336480446590915,42815.56768622723,48841.15222833099,54378.022310080174,65633.93961266015,0.004975454320819358,0.003917862582416148,0.0025403957320638115,0.0,-8.75369612110961e6,-1.603884078959164e7,-1.626366679445385e7,0.0,1.6755867297520524,1.8675665749299322,1.953538040264121,1.959446637122929,2786.972,2634.385,2424.052,1659.729
ARE,0.00868,0.0643,48.3,2000.0,296.0,11100.0,1.16e6,4.94e7,0.0746,1.75,0.686,94700.0,4.13e6,11200.0,-2.54e8,-1.37e10,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,74421.09593394377,81329.60644266292,86841.65518969213,103520.47452841663,0.0008901151113676684,0.0036993938966000616,0.008203691546849119,0.014216562172080748,0.06469783402341805,0.07296978757204813,0.07673743623576722,0.0769978383538418,27.64091202155595,33.87523240626003,39.812659080404885,58.67789537735132,845860.3763847509,933295.2208827651,983475.0898040994,1.3119820424744608e6,0.19574073154947932,0.133929333196722,0.07456138588204468,0.0,-3.443815925187022e8,-5.833149897129823e8,-5.422772772323061e8,0.0,1.540023654231996,1.7164714008392283,1.7954873585648117,1.8009179213428017,10661.076,10648.314,10425.284,11600.276
ARG,0.00538,0.0579,29.0,1170.0,296.0,11100.0,2.83e6,1.14e8,0.031,1.45,0.686,48600.0,1.99e6,55200.0,-2.5e8,-1.31e10,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,26164.820815283154,31631.24298679048,38021.059183780504,61473.118734513584,0.000423081765270679,0.001756008901916577,0.0040200384435548926,0.009354636073347484,0.02696945965800472,0.03035633893389887,0.03189390577853576,0.032000056791292135,14.753428645027286,17.577433844862,21.30116288394245,37.61719159692099,1.3189823891867516e6,1.7079239386422727e6,2.1618821377664465e6,3.7100615848509762e6,0.14507736414761724,0.1163379288568812,0.08031626502455608,0.0,-2.552456676138602e8,-4.8174814114829725e8,-5.292996104982082e8,0.0,1.278046809123701,1.4244786375626615,1.490053015179216,1.4945597728586084,49056.162,52296.7939999999,54867.248,57934.113
ARM,0.00502,0.002,25.1,1010.0,296.0,11100.0,92000.0,3.78e6,0.00858,1.83,0.686,36800.0,1.46e6,2600.0,-8.28e6,-4.36e8,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,16077.55100054002,19952.06336307806,25722.345492337463,49537.58511610796,0.00040539017966380683,0.0017594929129968859,0.004104256960772937,0.008646845921997064,0.007207198443046226,0.008350731853538818,0.008884429989687522,0.008921602218415196,12.810366825584493,14.984695754475574,18.461392020103457,32.7282523599376,48074.52161304226,58567.128814496624,73399.66200963195,118513.11815855754,0.0050666924936320044,0.003997307372735845,0.002784004212809564,0.0,-8.91421839464455e6,-1.6228697788569896e7,-1.7635040984684173e7,0.0,1.6141165140105156,1.7990534277235126,1.8818709623014636,1.8875627976419382,2967.01,2905.147,2816.114,2350.729
AUS,0.00733,0.11,41.9,1810.0,296.0,11100.0,2.73e6,1.13e8,0.0385,1.81,0.686,72200.0,3.11e6,35200.0,-4.6e8,-2.46e10,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,54253.77580311777,58620.72737916697,62883.27010292133,81742.19271536687,0.0007482926710290034,0.003166974438514464,0.0070869649013469895,0.01194404877624606,0.033355359788515816,0.03764134747132728,0.03959375110555813,0.03972869382670234,31.569582901474657,34.12985734096728,36.70690529886434,47.359595915341316,1.5814689209271397e6,1.8665752777837934e6,2.161521061196199e6,3.346043000349994e6,0.30765820720075465,0.2293063895874655,0.14156667702167836,0.0,-5.412865401520302e8,-9.850702310731481e8,-1.0043274451966727e9,0.0,1.5949299778056585,1.777668599908496,1.8595017064034776,1.86512588454332,28177.48,30572.49,32814.106,38899.744
AUT,6.73e-5,0.00706,59.3,2500.0,296.0,11100.0,822000.0,3.5e7,0.00651,1.81,0.686,91900.0,3.88e6,8940.0,-8.99e6,-5.82e8,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,62251.94265528865,69181.58946749533,76748.80760141509,108285.4874857835,0.00023245909642145455,0.00023971034718682345,0.0,0.0,0.005399547920100086,0.006322573383867213,0.006756528414118601,0.006786822556682876,40.02223565008244,44.38284140364916,49.226184996827,70.0006949725936,574483.6679603256,641494.075028339,705504.9577290524,951683.4592688093,0.03471847044823664,0.005964932305706052,0.0,0.0,-6.10828520366232e7,-2.4721917813372802e7,0.0,0.0,1.589879689204122,1.7720396760106714,1.853613660907394,1.8592200302887656,9175.689,9211.788,9130.698,8729.407
AZE,0.00718,0.0112,22.7,934.0,296.0,11100.0,322000.0,1.34e7,0.0231,1.81,0.686,30500.0,1.25e6,10400.0,-4.37e7,-2.35e9,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,18802.929425485985,21017.21370694018,23170.91216772267,35355.75956809503,0.0005799933387121359,0.0025173134926349456,0.005871976720268207,0.012371076772968616,0.01989951604002376,0.02254219330430053,0.02375091901381037,0.023834570344518184,14.274190387390158,15.816640645509425,17.329949681604983,26.234723735257713,206132.30448239937,238281.9273690447,264121.9992989373,367020.2278585058,0.031081746636655028,0.023267755782918224,0.014332771784111001,0.0,-5.4684486566804916e7,-9.571535154416002e7,-9.343094540457599e7,0.0,1.5939609689688876,1.776588567175942,1.858371955498692,1.863992716636915,10739.736,11055.063,11064.995,10013.683
