time,country_carbon_tax
2020,462.7754510654403
2021,458.86355278640417
2022,456.4736603101771
2023,454.99867200799736
2024,452.73672072992156
2025,450.40741721684213
2026,449.22499415440615
2027,447.9114043704336
2028,446.4738661173536
2029,444.9191800720302
2030,472.71945395625255
2031,474.1754759866504
2032,475.3427138834364
2033,476.18754411348164
2034,476.6874197794201
2035,476.9720976963299
2036,476.99934858930834
2037,476.7632384710703
2038,476.28444941801473
2039,475.6585049285747
2040,474.7441546219128
2041,474.2188025421911
2042,473.4289874516427
2043,472.46061805884983
2044,471.32542574028946
2045,470.00620268496886
2046,468.0180375563375
2047,465.93051229727666
2048,463.80172733453327
2049,461.5375206217545
2050,459.2430270522416
2051,460.32516790659923
2052,461.37650785802964
2053,462.37661079037923
2054,463.37047581503884
2055,464.316412781144
2056,465.14273204283217
2057,465.9313818235737
2058,466.72343645902083
2059,467.51858726640853
2060,468.24106933740893
2061,469.1937055736429
2062,470.11430247754345
2063,471.04098788887933
2064,471.93873982570886
2065,472.8445351198012
2066,473.7255329814817
2067,474.6166086154378
2068,475.48466992227617
2069,476.3646089330898
2070,477.256912526288
2071,477.68780567284836
2072,478.1463295406755
2073,478.6006743183828
2074,479.05176063305373
2075,479.5005026456577
2076,480.0114271388709
2077,480.4897276598953
2078,480.9998277602088
2079,0.0
2080,0.0
2081,0.0
2082,0.0
2083,0.0
2084,0.0
2085,0.0
2086,0.0
2087,0.0
2088,0.0
2089,0.0
2090,0.0
2091,0.0
2092,0.0
2093,474.72995303323484
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.0
2100,0.0
