time,consumption_ede
2020,35.82114212646448
2021,35.823213545449306
2022,35.817504946060666
2023,35.816769940735526
2024,35.82866937680025
2025,35.8535887767218
2026,35.87790990259492
2027,35.915032548307934
2028,35.96056590653977
2029,36.01421836762189
2030,36.0745225635603
2031,36.13375870754188
2032,36.19808109883643
2033,36.270492392611494
2034,36.34464319469116
2035,36.42341485173668
2036,36.50306660467648
2037,36.58868760379176
2038,36.68115821467813
2039,36.780114170334876
2040,36.88673154841555
2041,36.993958721404105
2042,37.10631802149891
2043,37.22241128434183
2044,37.34187480127096
2045,37.463320195066345
2046,37.57971361652356
2047,37.70031282640242
2048,37.82629367920154
2049,37.96066365377647
2050,38.10399002245118
2051,38.24362745134637
2052,38.38711197039126
2053,38.53473045441732
2054,38.685286843752486
2055,38.83728097702051
2056,38.97799406601463
2057,39.12254719637515
2058,39.27232312044127
2059,39.426202622994325
2060,39.586120919360496
2061,39.73999334977915
2062,39.89774231031837
2063,40.05888184335912
2064,40.22280530691771
2065,40.389161258469805
2066,40.54640334787446
2067,40.7024473812482
2068,40.86113241599343
2069,41.02478012331876
2070,41.19454074612872
2071,41.36391801924205
2072,41.53557258750146
2073,41.70947296874528
2074,41.886108064497925
2075,42.06535530340612
2076,42.240676402427155
2077,42.416066345429584
2078,42.59099055636106
2079,42.76569050822261
2080,42.942931104293045
2081,43.11621068243891
2082,43.29114092587539
2083,43.469167516872936
2084,43.64974363389472
2085,43.83285286073261
2086,44.010580372996756
2087,44.18713715435068
2088,44.363001063481725
2089,44.53741876121873
2090,44.7092205736902
2091,44.87016698560835
2092,45.02880774314301
2093,45.18936380933163
2094,45.354899305827146
2095,45.52339431148697
2096,45.683940858229256
2097,45.843125348270746
2098,46.00128595101494
2099,46.15766534773183
2100,46.310669255569564
