country,abatement_cost_share_mean,co2_emissions_mean,consumption_ede_mean,consumption_ede_npv,country_carbon_tax_mean,country_carbon_tax_npv,gross_output_mean,gross_output_npv,local_damage_cost_kw_mean,local_temp_anomaly_mean,mu_mean,net_output_per_capita_mean,net_output_per_capita_npv,population_mean,transfer_mean,transfer_npv,country_carbon_tax_2030,country_carbon_tax_2040,country_carbon_tax_2050,country_carbon_tax_2080,mu_2030,mu_2040,mu_2050,mu_2080,net_output_per_capita_2030,net_output_per_capita_2040,net_output_per_capita_2050,net_output_per_capita_2080,abatement_cost_share_2030,abatement_cost_share_2040,abatement_cost_share_2050,abatement_cost_share_2080,local_damage_cost_kw_2030,local_damage_cost_kw_2040,local_damage_cost_kw_2050,local_damage_cost_kw_2080,consumption_ede_2030,consumption_ede_2040,consumption_ede_2050,consumption_ede_2080,gross_output_2030,gross_output_2040,gross_output_2050,gross_output_2080,co2_emissions_2030,co2_emissions_2040,co2_emissions_2050,co2_emissions_2080,transfer_2030,transfer_2040,transfer_2050,transfer_2080,local_temp_anomaly_2030,local_temp_anomaly_2040,local_temp_anomaly_2050,local_temp_anomaly_2080,population_2030,population_2040,population_2050,population_2080
ABW,0.00614,0.000238,38.6,1580.0,284.0,10600.0,7770.0,323000.0,0.0474,1.24,0.667,69100.0,2.86e6,107.0,0.0,0.0,39.60869559328645,103.99744901253611,188.27737215116358,480.9448597174765,0.18180355440382967,0.3539178727129637,0.5461251533451995,1.0000000000000002,40403.680108744484,46076.93904787371,54402.13899840559,86900.65408731713,0.00046136479936426176,0.0018847691466466893,0.004264454590842765,0.011472697233419557,0.04131879158514314,0.04642532873647334,0.04873850315784996,0.048890131215217084,22.200058936822284,24.55919582105221,28.961517065270897,49.49495642643311,4640.449027110236,5359.047400429983,6228.80419242097,9740.38949444632,0.0006324737263074327,0.00046097954618636933,0.00030485079250609255,-1.3414056840053405e-19,-0.0,-0.0,-0.0,0.0,1.0919783151685885,1.2170917516449409,1.2731157920573293,1.2767741863481452,110.244,110.937,108.709,105.636
AFG,0.0068,0.00843,5.9,208.0,284.0,10600.0,652000.0,2.26e7,0.0225,1.94,0.667,8630.0,308000.0,67400.0,0.0,0.0,39.60869559328645,103.99744901253611,188.27737215116358,480.9448597174765,0.18180355440382967,0.3539178727129637,0.5461251533451995,1.0000000000000002,2031.4188248379166,2803.9483763752364,3904.3767129368716,11703.477105710224,0.0004412025511552363,0.0019139876162005264,0.004537070320354559,0.012948181852723051,0.019399237911862547,0.022029297623663922,0.023235409986253956,0.023314785234050745,1.2666340727046972,1.7638961384293241,2.5165771155060344,8.091849378350817,99637.42646770453,163406.4890035556,259592.5209765779,932700.868076204,0.012986692069987558,0.014273954762531692,0.013517203182658456,-1.449671020556303e-17,-0.0,-0.0,-0.0,0.0,1.7112107740448892,1.90727278141457,1.9950665958406415,2.000799570240579,48093.576,56912.0080000001,64682.976,76870.229
AGO,0.00132,0.00699,5.7,217.0,284.0,10600.0,1.58e6,5.45e7,0.0582,1.89,0.667,11600.0,457000.0,106000.0,0.0,0.0,39.60869559328645,103.99744901253611,188.27737215116358,480.9448597174765,0.18180355440382967,0.3539178727129637,0.5461251533451995,1.0000000000000002,6596.929063312667,6738.392808101393,7264.180721788503,13560.980676077585,0.00018976427564258645,0.0006856418615265248,0.001350187256181136,0.002175083598778069,0.050473345162112805,0.05694603352054269,0.05989463959956191,0.06008828022167921,2.6288107968914374,2.8253931370583394,3.162332111842688,6.8688823631380025,310758.9236307176,426067.74357584224,596885.8307131028,2.047490054967525e6,0.017421120789505216,0.013332508688680564,0.009249205513680843,-5.3458410385737495e-18,-0.0,-0.0,-0.0,0.0,1.6621545251882848,1.852595911901097,1.9378728913037568,1.943441515278184,44834.707,59782.166,77420.355,142116.013
ALB,0.00585,0.00198,20.3,827.0,284.0,10600.0,57000.0,2.5e6,0.0285,1.9,0.667,29600.0,1.19e6,2070.0,0.0,0.0,39.60869559328645,103.99744901253611,188.27737215116358,480.9448597174765,0.18180355440382967,0.3539178727129637,0.5461251533451995,1.0000000000000002,14987.380707457993,18005.035128471663,21700.51623463154,38004.37833785344,0.00039744423097877994,0.0018097976667428685,0.004372515254779126,0.011062366402386727,0.02463861690510201,0.02788771908795457,0.02937260249434905,0.0294702165172134,11.375323255033088,13.084753768194021,15.270374329923378,25.488321752561816,42815.56768622723,48843.36679319568,54386.07601622427,65662.24054743045,0.005027081550368348,0.004034330840288828,0.0027292179194473307,-8.719308075655131e-19,-0.0,-0.0,-0.0,0.0,1.6755867297520524,1.8675671115612709,1.9535332313624665,1.959146856505696,2786.972,2634.385,2424.052,1659.729
ARE,0.008,0.0673,48.5,2010.0,284.0,10600.0,1.16e6,4.95e7,0.0745,1.75,0.667,94800.0,4.14e6,11200.0,0.0,0.0,39.60869559328645,103.99744901253611,188.27737215116358,480.9448597174765,0.18180355440382967,0.3539178727129637,0.5461251533451995,1.0000000000000002,74460.75056553594,81432.80683818668,87017.5345332726,103585.78876887799,0.0007914576597053508,0.0032376014835496982,0.007095842624070959,0.014216562172080756,0.06469783402341805,0.07296981096603157,0.07673722437603211,0.07698462195304899,27.5169719597749,33.72012981396712,39.84033826206991,59.26143282529614,845860.3763847509,933417.867698495,983777.9115842329,1.3127937019873671e6,0.19777181273889083,0.1379225868824959,0.08011617334829585,-2.2403164058994205e-17,-0.0,-0.0,-0.0,0.0,1.540023654231996,1.7164718940544947,1.795482938726574,1.8006423944283056,10661.076,10648.314,10425.284,11600.276
ARG,0.00501,0.0616,29.0,1170.0,284.0,10600.0,2.83e6,1.14e8,0.031,1.45,0.667,48600.0,1.99e6,55200.0,0.0,0.0,39.60869559328645,103.99744901253611,188.27737215116358,480.9448597174765,0.18180355440382967,0.3539178727129637,0.5461251533451995,1.0000000000000002,26171.251657283203,31649.525682593798,38057.807862587346,61495.74271516281,0.0003761887642718914,0.0015368077000928822,0.003477161467526995,0.00935463607334749,0.02696945965800472,0.03035634849083001,0.03189381940921942,0.0319946695923496,14.71111719503017,17.51936560128612,21.28974098654531,37.8613472038798,1.3189823891867516e6,1.7080385302073602e6,2.1622440051277597e6,3.711407626332383e6,0.14658274273181415,0.11979897025384305,0.08628766471215146,-4.1675789761044005e-17,-0.0,-0.0,-0.0,0.0,1.278046809123701,1.424479046875983,1.4900493472094798,1.4943311164396424,49056.162,52296.7939999999,54867.248,57934.113
ARM,0.00465,0.00212,25.2,1020.0,284.0,10600.0,92100.0,3.78e6,0.00858,1.83,0.667,36800.0,1.46e6,2600.0,0.0,0.0,39.60869559328645,103.99744901253611,188.27737215116358,480.9448597174765,0.18180355440382967,0.3539178727129637,0.5461251533451995,1.0000000000000002,16081.278272080826,19963.21468843198,25747.276305653086,49555.363839472564,0.0003604580562296725,0.0015398568048266815,0.003550006886055849,0.00864684592199707,0.007207198443046226,0.008350735143057078,0.008884399761699762,0.008919714708170243,12.795088613599837,14.964347933501037,18.46507721022753,32.90021365639839,48074.52161304226,58570.57340562746,73412.06212252515,118555.42996459945,0.0051192664455881765,0.004116192776559789,0.0029909956012188488,-1.2305448758927862e-18,-0.0,-0.0,-0.0,0.0,1.6141165140105156,1.7990539446681089,1.8818663298181448,1.8872740147121954,2967.01,2905.147,2816.114,2350.729
AUS,0.00674,0.116,42.1,1810.0,284.0,10600.0,2.73e6,1.13e8,0.0384,1.81,0.667,72300.0,3.11e6,35200.0,0.0,0.0,39.60869559328645,103.99744901253611,188.27737215116358,480.9448597174765,0.18180355440382967,0.3539178727129637,0.5461251533451995,1.0000000000000002,54277.49038278619,58682.66442833046,62991.78882155971,81786.72132214763,0.0006653543554353289,0.002771643525152003,0.006129921796192771,0.011944048776246068,0.033355359788515816,0.03764135959387997,0.03959364131796682,0.03972184496733086,31.502644662607782,34.05672860490555,36.743176812061066,47.783951805631006,1.5814689209271397e6,1.8667806505769787e6,2.162113641264234e6,3.3478436858159006e6,0.31085058720499287,0.2361383679369848,0.15210819269675632,-4.7999313547731735e-17,-0.0,-0.0,-0.0,0.0,1.5949299778056585,1.7776691107083216,1.8594971289851485,1.8648405342927479,28177.48,30572.49,32814.106,38899.744
AUT,5.91e-5,0.00711,59.3,2500.0,284.0,10600.0,822000.0,3.5e7,0.00651,1.81,0.667,91900.0,3.88e6,8940.0,0.0,0.0,39.60869559328645,103.99744901253611,188.27737215116358,480.9448597174765,0.18180355440382967,0.3539178727129637,0.5461251533451995,1.0000000000000002,62260.20415316258,69187.62258499743,76750.22897055521,108285.98149301889,0.0002066940894287885,0.00020978749421291345,0.0,0.0,0.005399547920100086,0.006322576052736426,0.006756503782871939,0.006785284087004155,40.01080753773716,44.38116437901391,49.227096766017425,70.00102417988913,574483.6679603256,641505.9328415764,705518.0062471041,951686.3466535222,0.035078722663983194,0.006142089869515407,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.589879689204122,1.7720401851930676,1.853609097983296,1.8589355835895331,9175.689,9211.788,9130.698,8729.407
AZE,0.00665,0.0118,22.8,936.0,284.0,10600.0,322000.0,1.34e7,0.023,1.81,0.667,30500.0,1.25e6,10400.0,0.0,0.0,39.60869559328645,103.99744901253611,188.27737215116358,480.9448597174765,0.18180355440382967,0.3539178727129637,0.5461251533451995,1.0000000000000002,18809.230983225694,21034.96208828122,23203.88758236627,35373.87248474731,0.0005157087714155097,0.002203079241117013,0.005079008938998309,0.012371076772968625,0.01989951604002376,0.022542200800062053,0.023750850961863752,0.02383032438505437,14.273366765447198,15.82234733449038,17.353382677158056,26.295983853045193,206132.30448239937,238309.87381753433,264190.77977362735,367206.73113803583,0.031404262806018615,0.023961171567653664,0.015399825130125859,-5.453011600792548e-18,-0.0,-0.0,-0.0,0.0,1.5939609689688876,1.7765890776654283,1.8583673808613994,1.8637075397525207,10739.736,11055.063,11064.995,10013.683
