time,temp,e_gtco2_club,total_tax_revenue
2020,1.1730635369796556,35.91529312414241,0.0
2021,1.2119102787255247,36.661854023122295,0.0
2022,1.2632866578706956,37.11433935699451,0.0
2023,1.315423890428984,37.36863953215092,0.0
2024,1.359139122874682,37.76795406629869,0.0
2025,1.394657378669077,38.17074193578465,0.0
2026,1.4239407981424814,38.20791466933767,0.0
2027,1.4493359541093394,38.24842783104569,0.0
2028,1.4732899732236007,38.29305975914251,0.0
2029,1.4964528572671343,38.34254831948523,0.0
2030,1.5182372263530057,31.094153764073255,1.3261605654265647e9
2031,1.5384238361068212,30.074718348850688,1.478235798957809e9
2032,1.5573757430398982,29.068024166712547,1.624359434602463e9
2033,1.5773081394496027,28.08689419772052,1.760340099474865e9
2034,1.599885601346465,27.1420780545555,1.8829873146556666e9
2035,1.6218882890036543,26.203332908262276,1.9983351573315167e9
2036,1.641754239582252,25.23705345105985,2.080994289834668e9
2037,1.6587112351904436,24.299870238747317,2.1514729871983333e9
2038,1.6726170497880708,23.390040082854135,2.210219371336959e9
2039,1.6841033663851483,22.483194570843594,2.2613987990870843e9
2040,1.692187287795377,21.62456404628175,2.297539686579595e9
2041,1.698315902440056,20.572565714203435,2.340769125382745e9
2042,1.7038945149389957,19.565448081487737,2.3651404026817737e9
2043,1.7101109449977105,18.580206085885113,2.3739411690478992e9
2044,1.7174315532631856,17.61613023497783,2.3671536192698646e9
2045,1.7274972370852328,16.681921461296948,2.3443107522601423e9
2046,1.739552585313152,15.918289447262886,2.3254553178789115e9
2047,1.7518336782812483,15.169968092389425,2.293546623987797e9
2048,1.7626011046506767,14.418711285659487,2.248656466730956e9
2049,1.7688490179206502,13.699149368799068,2.191284797110371e9
2050,1.7700721962637112,12.976021103730979,2.1208401397989228e9
2051,1.769124199142555,12.502913775941606,2.0823273021695664e9
2052,1.768189954444893,12.031294806689951,2.0374813674010477e9
2053,1.767263404980636,11.569222268978034,1.987042761893083e9
2054,1.7675740799439341,11.100627056000864,1.9291957945162845e9
2055,1.7707229362390957,10.64138700317443,1.8656964809807508e9
2056,1.776744377098482,10.203934258187905,1.7988390932379098e9
2057,1.7825677111227505,9.774092017324705,1.727018456064026e9
2058,1.7868100343603532,9.336863260826938,1.6474810369971623e9
2059,1.7906578687064323,8.892700671816,1.5597534271737447e9
2060,1.7923135847560459,8.470743198809899,1.470158742831427e9
2061,1.7911929299938385,7.945341719908135,1.3487547935399995e9
2062,1.7889986736993577,7.4280977633552245,1.2181460574026334e9
2063,1.786912429017169,6.9049600375002065,1.074370531240645e9
2064,1.78555648574644,6.389750838046736,9.213978390596136e8
2065,1.785205181499663,5.868779080858554,7.546894859844803e8
2066,1.787550812667449,5.34820323761135,5.764341865389942e8
2067,1.7925538388451767,4.82300691599582,3.841112371685896e8
2068,1.7977198567111485,4.306291067082671,1.8286877821431795e8
2069,1.8006972379285184,3.7852052466764037,-3.2865277072702546e7
2070,1.800460580457753,3.2600423214307206,-2.63564958844603e8
2071,1.7974031076854173,2.9071319274690857,-4.1732350012785405e8
2072,1.7932248993329507,2.5451291810685563,-5.812792902806641e8
2073,1.7893428435197147,2.186415821782162,-7.491570846843432e8
2074,1.7852129385655955,1.7896214885041408,-9.303939634066507e8
2075,1.78099838529975,1.437628790136653,-1.1064068893207831e9
2076,1.7770971933927824,1.0639588855970805,-1.3003675123105247e9
2077,1.77405318916798,0.7061689721820924,-1.4907856964669762e9
2078,1.7730682472594275,0.3407875154141402,-1.6921212157716525e9
2079,1.7738342968065113,-2.7389142849163033,-2.9668169967055492e9
2080,1.7748434025246649,-2.6950955356603896,-2.916432774727609e9
2081,1.7746841588293976,-2.650472453581247,-2.8652768353581657e9
2082,1.7731373337396872,-2.60611883279466,-2.8145112995971494e9
2083,1.7698813649907545,-2.5620353251734103,-2.764135850079456e9
2084,1.7654841285302902,-2.518223739669636,-2.714151415673396e9
2085,1.7599763168906541,-2.474685810023517,-2.664558838408793e9
2086,1.7534804238506556,-2.43069144346621,-2.614571766062657e9
2087,1.7480539878373558,-2.386981018917419,-2.564987119928305e9
2088,1.7440700015800963,-2.3435577036580963,-2.515807240097219e9
2089,1.742112166342496,-2.300424959364537,-2.4670347708003664e9
2090,1.7431984970524002,-2.257586293470974,-2.418672392481828e9
2091,1.7461969810244957,-2.2146167492291844,-2.3702641951595426e9
2092,1.7503993500648898,-2.171953448232334,-2.322277834391235e9
2093,1.7531305510822666,-2.1295484001955174,-2.274694118604153e9
2094,1.7517334781459326,-2.0875805954008215,-2.2276035021818624e9
2095,1.7481132811892564,-2.045896132797211,-2.1809399623465595e9
2096,1.7435257681790506,-2.0042488713343865,-2.1344071390138378e9
2097,1.7391557834570421,-1.9629652959169677,-2.0883521173264658e9
2098,1.735814929681601,-1.9220546656577708,-2.0427834419965167e9
2099,1.7341286417839885,-1.8815253425084255,-1.997708668313876e9
2100,1.7354068556296998,-1.8413850820880806,-1.953134675481826e9
2101,1.7409498934837737,25.018473551997346,0.0
2102,1.7497663743943104,24.82422494266217,0.0
2103,1.7594669462525165,24.61622469126474,0.0
2104,1.768795962476266,24.395409195105326,0.0
2105,1.7764172580521063,24.16275160533111,0.0
2106,1.7831896305350474,23.9192532588769,0.0
2107,1.7903563249992556,23.66587470372769,0.0
2108,1.7984293505480704,23.403523741681752,0.0
