time,gross_output
2020,2.0862690000000037e7
2021,2.1159498381874822e7
2022,2.1456982349659484e7
2023,2.1755327302474815e7
2024,2.2054790138714e7
2025,2.2355691164479196e7
2026,2.264496752183482e7
2027,2.2935736124807283e7
2028,2.3228294316460688e7
2029,2.3522923796759047e7
2030,2.3819901639305055e7
2031,2.410385022003724e7
2032,2.438960871229121e7
2033,2.4677364576082584e7
2034,2.4967293273982856e7
2035,2.5259566330714203e7
2036,2.5531041668524377e7
2037,2.5804296028162293e7
2038,2.6079537604123514e7
2039,2.6356974021512836e7
2040,2.663675731700583e7
2041,2.6896601996685255e7
2042,2.7157851957993638e7
2043,2.742066924592275e7
2044,2.7685145372710634e7
2045,2.7951361011411946e7
2046,2.8201344660158057e7
2047,2.8452603667247158e7
2048,2.87052596647803e7
2049,2.8959377356173344e7
2050,2.9215209428405367e7
2051,2.9460674254618563e7
2052,2.9708259801663946e7
2053,2.9958062507588293e7
2054,3.021021952133573e7
2055,3.0464757791249294e7
2056,3.0714169396905918e7
2057,3.0965925175786283e7
2058,3.1220158595020726e7
2059,3.1476921171414133e7
2060,3.1736244349926893e7
2061,3.1990641558492832e7
2062,3.2246751691487703e7
2063,3.2504727723801654e7
2064,3.276459484001911e7
2065,3.302647967853331e7
2066,3.327926070890899e7
2067,3.3533694923669424e7
2068,3.378977115806181e7
2069,3.4047639163447596e7
2070,3.430736547497005e7
2071,3.455338820636869e7
2072,3.480251076075182e7
2073,3.505472932702474e7
2074,3.5310143041465305e7
2075,3.5568858071610406e7
2076,3.58139329834974e7
2077,3.6061525987615876e7
2078,3.631186910156688e7
2079,3.6564907729305886e7
2080,3.682106909047479e7
2081,3.706911200374992e7
2082,3.732323789647892e7
2083,3.758331069208971e7
2084,3.784920465256242e7
2085,3.812078726037149e7
2086,3.838636250556216e7
2087,3.865686375853425e7
2088,3.89321370730246e7
2089,3.921202690038788e7
2090,3.949637183888377e7
2091,3.977730759789832e7
2092,4.006203361632507e7
2093,4.0350433591524795e7
2094,4.0642454290339544e7
2095,4.093810376417986e7
2096,4.123090376318348e7
2097,4.152695056262696e7
2098,4.18261700522995e7
2099,4.21284737261213e7
2100,4.243376334768236e7
