time,co2_emissions
2020,5.847193698243596
2021,5.883696301836583
2022,5.917910444895919
2023,5.949868440250163
2024,5.979622538685624
2025,6.007241810746362
2026,6.02923109906494
2027,6.049133120414707
2028,6.067013951097975
2029,6.0829345757856625
2030,3.5596042708262257
2031,3.3030627248463453
2032,3.043333921198502
2033,2.7851875964827264
2034,2.532832924783539
2035,2.275696885083502
2036,2.0399973228886616
2037,1.8077838561652497
2038,1.5787254218028375
2039,1.343848722971459
2040,1.1205754807879678
2041,0.8323090090330951
2042,0.5537926671285953
2043,0.27644506768900184
2044,0.00026315291060392517
2045,-0.2709355903708016
2046,-0.5258531892240534
2047,-0.7762000778896281
2048,-1.029189139796686
2049,-1.270438542067421
2050,-1.5141541387624842
2051,-1.6733925658413669
2052,-1.8308920826271906
2053,-1.9832734529040306
2054,-2.1369424476931322
2055,-2.2853537300722615
2056,-2.42189448741582
2057,-2.553487848558847
2058,-2.686034107576225
2059,-2.819225801117913
2060,-2.9415689522800856
2061,-3.1075132687605
2062,-3.266201275580222
2063,-3.422989741684229
2064,-3.5725502897090493
2065,-3.719993810223638
2066,-3.858958438167776
2067,-3.995484436351789
2068,-4.124750493719217
2069,-4.251417076261754
2070,-4.375298839566752
2071,-4.434240849951046
2072,-4.493098916580706
2073,-4.547564842897402
2074,-4.59773841001089
2075,-4.643720300154098
2076,-4.691059843530757
2077,-4.730157331652253
2078,-4.768743456796148
2079,-4.793448661476708
2080,-4.713152939512906
2081,-4.6321077171524845
2082,-4.552132855839077
2083,-4.473171702711098
2084,-4.395172991982495
2085,-4.318088736294778
2086,-4.240597534629226
2087,-4.163946977838794
2088,-4.088100876400105
2089,-4.013026653094154
2090,-3.9386947785171147
2091,-3.8643309151455805
2092,-3.790667248630045
2093,-3.7176899781687163
2094,-3.6453934839983546
2095,-3.573779259872784
2096,-3.5022988286616012
2097,-3.4315034923330985
2098,-3.361392702220857
2099,-3.2919661170365053
2100,-3.2232239865137853
