time,co2_emissions
2020,5.847193698243596
2021,5.883696301836583
2022,5.917910444895919
2023,5.949868440250163
2024,5.979622538685624
2025,6.007241810746362
2026,6.02923109906494
2027,6.049133120414707
2028,6.067013951097975
2029,6.0829345757856625
2030,4.937274862013394
2031,4.824015729069558
2032,4.708251249210743
2033,4.592197469768551
2034,4.4778107542974706
2035,4.360289587337507
2036,4.248615010340193
2037,4.137591228989388
2038,4.027099518996557
2039,3.9130690499798906
2040,3.8034866394291753
2041,3.6606148621623613
2042,3.52132001626728
2043,3.3816973167358317
2044,3.241755895372654
2045,3.1032500689370286
2046,2.969304058886582
2047,2.836600713999381
2048,2.7018448190310402
2049,2.571637389890807
2050,2.4394823190790884
2051,2.3440491058710426
2052,2.248696039515537
2053,2.1549953768110353
2054,2.060018609719881
2055,1.9667913739630036
2056,1.8776439066755846
2057,1.790147459475302
2058,1.701598259167856
2059,1.6121505538395267
2060,1.5271431972989131
2061,1.420652521985793
2062,1.3168792963671219
2063,1.2133564033271789
2064,1.1125733648875247
2065,1.0121707780720532
2066,0.914219392275479
2067,0.8168261527845548
2068,0.7222603365235813
2069,0.6283686513326026
2070,0.5352551893602746
2071,0.47106091933536104
2072,0.4066773277750002
2073,0.3441555257684222
2074,0.2834832941867877
2075,0.22464781352556887
2076,0.16390872059614936
2077,0.10696854070969745
2078,0.05020142035763304
2079,0.0
2080,0.0
2081,0.0
2082,0.0
2083,0.0
2084,0.0
2085,0.0
2086,0.0
2087,0.0
2088,0.0
2089,0.0
2090,0.0
2091,0.0
2092,0.0
2093,0.0
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.0
2100,0.0
