country,abatement_cost_share_mean,co2_emissions_mean,consumption_ede_mean,consumption_ede_npv,country_carbon_tax_mean,country_carbon_tax_npv,gross_output_mean,gross_output_npv,local_damage_cost_kw_mean,local_temp_anomaly_mean,mu_mean,net_output_per_capita_mean,net_output_per_capita_npv,population_mean,transfer_mean,transfer_npv,country_carbon_tax_2030,country_carbon_tax_2040,country_carbon_tax_2050,country_carbon_tax_2080,mu_2030,mu_2040,mu_2050,mu_2080,net_output_per_capita_2030,net_output_per_capita_2040,net_output_per_capita_2050,net_output_per_capita_2080,abatement_cost_share_2030,abatement_cost_share_2040,abatement_cost_share_2050,abatement_cost_share_2080,local_damage_cost_kw_2030,local_damage_cost_kw_2040,local_damage_cost_kw_2050,local_damage_cost_kw_2080,consumption_ede_2030,consumption_ede_2040,consumption_ede_2050,consumption_ede_2080,gross_output_2030,gross_output_2040,gross_output_2050,gross_output_2080,co2_emissions_2030,co2_emissions_2040,co2_emissions_2050,co2_emissions_2080,transfer_2030,transfer_2040,transfer_2050,transfer_2080,local_temp_anomaly_2030,local_temp_anomaly_2040,local_temp_anomaly_2050,local_temp_anomaly_2080,population_2030,population_2040,population_2050,population_2080
ABW,0.00316,0.000415,38.5,1580.0,141.0,6030.0,7770.0,323000.0,0.0478,1.25,0.363,69300.0,2.86e6,107.0,-1.28e7,-6.21e8,6.248816821871916,61.238105087361085,158.34790035793642,0.0,0.05732669483358299,0.2541861631517425,0.4901184403354778,0.0,40462.77121466515,46028.878550333124,54192.42409196238,87897.95838290686,2.295124469947773e-5,0.0007970886623234913,0.00321874475347759,0.0,0.040817551513378375,0.045810321411543446,0.04812283926179114,0.04853061180059282,22.282609983943875,24.60938444371285,28.857753004441125,49.64650690089745,4640.652616102238,5359.265928691063,6226.278406398188,9735.804621571904,0.0007287275064854086,0.000532159812220724,0.0003423295397804628,0.0006038310523016127,2.219090204110823e6,-1.4120068629731525e7,-3.0084165139261693e7,0.0,1.079589605028104,1.2021288734658249,1.2582438054367573,1.2680971261814034,110.244,110.937,108.709,105.636
AFG,0.00347,0.032,6.04,215.0,141.0,6000.0,657000.0,2.29e7,0.0228,1.96,0.362,8830.0,317000.0,67400.0,5.45e9,2.76e11,7.288847952312607,59.36279885613455,156.30514830380864,0.0,0.06311681695289084,0.24929283498695665,0.48615712089519414,0.0,2104.5873884832026,2995.2657177204464,4167.247807498993,11933.57567073751,2.818701486629087e-5,0.000769552241690169,0.0033530122256835884,0.0,0.019143543562604316,0.021710155617612206,0.02291351449573025,0.023126644291421618,1.3297146966447344,1.9269968276434337,2.7326727447766315,8.212038314318907,100257.60371479166,165634.3572042935,264422.9194749765,938551.6140298671,0.01496308753394085,0.016811570171092347,0.015587913567568877,0.0656969203450622,2.8455367131637716e9,8.476523061152225e9,1.1916961848544054e10,0.0,1.6917967490826415,1.883824844770451,1.9717610929903902,1.9872019752717889,48093.576,56912.0080000001,64682.976,76870.229
AGO,0.000777,0.0154,5.81,223.0,141.0,6020.0,1.59e6,5.48e7,0.0587,1.9,0.363,11700.0,464000.0,106000.0,7.95e9,3.86e11,6.414437186503299,60.6565751441894,157.46037612070188,0.0,0.05827165863945438,0.25267483688479075,0.48839971564170903,0.0,6667.569451650233,6921.253945969341,7525.630300376849,13662.1951196144,9.8500284207619e-6,0.0002855038855142566,0.0010098349182238791,0.0,0.04984073380355265,0.05616382046755561,0.0591088446879385,0.0596292184128052,2.6993207111296,3.0092212923149355,3.412384195685617,6.909499280815502,311084.3977296585,427608.66533891245,601239.0478717829,2.0573937854598525e6,0.020072375159733268,0.015477527880501734,0.010501588589529274,0.024191981284896337,2.6256407048088803e9,9.0135045930128e9,1.552632856034614e10,0.0,1.6432970530799003,1.8298201705426993,1.9152355005089523,1.9302337302689607,44834.707,59782.166,77420.355,142116.013
ALB,0.0032,0.00299,20.3,830.0,141.0,6030.0,57100.0,2.51e6,0.0288,1.92,0.363,29700.0,1.2e6,2070.0,3.64e7,2.28e9,6.275244473181842,61.131138220332225,158.1674201036375,0.0,0.05747810458200364,0.25390857445174664,0.4897692266174458,0.0,15049.137333797375,18100.64380502013,21774.607328873743,38455.74931594381,1.990748400711423e-5,0.0007632111243744895,0.003294196870472637,0.0,0.02432188038373702,0.027494290707395674,0.02897660768125289,0.029238823467044258,11.435933964102672,13.186426620962033,15.347237314606652,25.65111778450846,42824.324452696485,48874.60123467536,54437.890992922185,65692.32308056692,0.005792134045609409,0.004661798164038958,0.0030710176586620235,0.0039286262987342085,1.3486891852437946e8,1.5358184342959332e8,5.2172714973275416e7,0.0,1.6565768666240142,1.844607314862421,1.9307129032659023,1.9458323367330135,2786.972,2634.385,2424.052,1659.729
ARE,0.0046,0.097,48.1,1990.0,142.0,6040.0,1.16e6,4.94e7,0.0752,1.76,0.364,94500.0,4.12e6,11200.0,-4.81e9,-2.45e11,6.267975083703853,61.55788689800248,158.68123953890108,0.0,0.05743648055311834,0.2550149436436179,0.49076303072651817,0.0,74512.83961982603,80877.75966126751,85963.31882422835,104976.04015726315,3.956852472586713e-5,0.0013808533020683216,0.005374166176040746,0.0,0.06388920714398902,0.07197030186390202,0.0757332643549582,0.07639811610769322,27.541486539674636,33.428438919294706,39.15563853549251,59.54840810558335,845996.0130350924,933072.2265133908,982172.0955455061,1.3107849244952677e6,0.2278699556292025,0.15897703059691767,0.08974174936480685,0.1007404965281794,-7.733263086386751e8,-8.0135973292375345e9,-1.19269162796787e10,0.0,1.5225517810301692,1.6953696560236295,1.7745088856131048,1.7884050837414964,10661.076,10648.314,10425.284,11600.276
ARG,0.00258,0.117,29.1,1170.0,141.0,6030.0,2.83e6,1.14e8,0.0313,1.46,0.363,48800.0,2.0e6,55200.0,-1.21e9,-5.13e10,6.287989201406647,61.22299892452603,158.26901435710408,0.0,0.057551036414501766,0.25414697232455774,0.48996582110296605,0.0,26236.238948410642,31710.658993633762,38061.94254292635,62093.913811307124,1.8905050700895318e-5,0.0006496716054162438,0.0026223836831314727,0.0,0.02663756436369949,0.02994791624719443,0.03148441885866271,0.03175556138981331,14.780457966921151,17.621791318832035,21.336518403356823,38.01743826808194,1.3193542422788867e6,1.7088987456542533e6,2.1630539477052656e6,3.711591872919106e6,0.1688906149957992,0.1383685157862309,0.09700062444589976,0.1877003888456279,1.9517539211012342e9,2.3484531908109644e8,-3.176912859669707e9,0.0,1.2635471150874138,1.406966557436874,1.4726432368666953,1.48417552185994,49056.162,52296.7939999999,54867.248,57934.113
ARM,0.00253,0.00362,25.3,1020.0,141.0,6030.0,92100.0,3.78e6,0.00868,1.85,0.363,37000.0,1.46e6,2600.0,5.05e7,3.06e9,6.269169543801401,61.08364165850147,158.12294526266828,0.0,0.05744332119265039,0.25378525818694675,0.48968314869353924,0.0,16140.206056408677,20065.682595798153,25834.85974600275,50008.95302378974,1.8026498756841657e-5,0.0006485544853851506,0.0026733076541761874,0.0,0.0070975797719742,0.008210470051543621,0.008741427720591593,0.008836047052539856,12.8591567416083,15.08124928605728,18.55910603212578,33.050337671918726,48082.57948816519,58615.793480056236,73492.98022056618,118596.2396998672,0.005898348210775395,0.004757808699151082,0.003366650271163743,0.005543789098317855,1.4529875871620756e8,1.930140665767173e8,9.256325728497145e7,0.0,1.59580404264797,1.7769364461513824,1.8598831833884444,1.8744479485590058,2967.01,2905.147,2816.114,2350.729
AUS,0.00393,0.176,41.9,1800.0,142.0,6040.0,2.73e6,1.13e8,0.0388,1.83,0.364,72200.0,3.11e6,35200.0,-7.88e9,-3.95e11,6.266909072183856,61.44148423502756,158.5455046991665,0.0,0.05743037512216298,0.25471344945406427,0.4905006165557523,0.0,54323.98580988375,58412.84828220671,62439.222556217836,82712.04936231747,3.3254861279132754e-5,0.0011784896346406105,0.004636156808297513,0.0,0.032936453809149675,0.03712342736613328,0.03907338128045232,0.03941791249335019,31.535774324946605,33.87563246494521,36.31492897535822,47.960926974782424,1.5817122694629652e6,1.866397418988633e6,2.1594850138095072e6,3.3443037942634933e6,0.35815776036411995,0.2723409503237153,0.17054218837058102,0.21594112041930352,-5.134753073899327e8,-1.1643434824033236e10,-1.9757104847906498e10,0.0,1.5768351814942931,1.7558145165001555,1.8377752898596043,1.8521669278786652,28177.48,30572.49,32814.106,38899.744
AUT,2.07e-5,0.0076,59.4,2510.0,17.4,1010.0,823000.0,3.5e7,0.00659,1.82,0.067,92000.0,3.89e6,8940.0,2.64e8,1.55e10,6.2593193962602935,61.14388205988615,0.0,0.0,0.05738689505859684,0.25394165542081115,0.0,0.0,62318.454518541585,69340.09328373999,77024.24886701367,108356.9042925629,1.031038751364268e-5,8.849961257445773e-5,0.0,0.0,0.005311599525289339,0.006208843378224886,0.006640068571475069,0.006717111076923079,40.05515721794679,44.50481448036474,49.44496509297545,70.04730905534768,574545.5632603092,641662.2986026562,705915.4215199251,952245.1772285281,0.04041722056481455,0.007094259610325719,0.0,0.0,3.107187315502646e8,1.0997745222597094e9,0.0,0.0,1.5718421894166354,1.7502547927740437,1.8319560402826836,1.846302107695852,9175.689,9211.788,9130.698,8729.407
AZE,0.00362,0.0194,22.8,939.0,141.0,6030.0,322000.0,1.34e7,0.0233,1.82,0.363,30600.0,1.26e6,10400.0,-3.84e7,-9.22e8,6.350205071284276,61.2819131403495,158.29309132875707,0.0,0.0579062746831952,0.25429979652348667,0.49001240538213187,0.0,18875.63839470259,21100.53301401914,23231.492148619527,35833.89625311866,2.633449439868621e-5,0.00093278867469643,0.003831401853332409,0.0,0.019642052650930737,0.022222053438428403,0.023428470973120005,0.023641937087686804,14.324533755091629,15.8747912752674,17.373269864522317,26.57689240410218,206268.16704813417,238526.6315658997,264384.1290612102,367312.6969430163,0.03618355858235034,0.027680849982952473,0.017316376124410757,0.024565267831779324,4.300163089175485e8,1.440713953330592e8,-2.8569231324904907e8,0.0,1.5758771662545885,1.7547477613410605,1.8366587389635431,1.8510416332605537,10739.736,11055.063,11064.995,10013.683
BDI,0.000631,0.00214,5.34,186.0,140.0,5960.0,340000.0,1.11e7,0.0533,1.9,0.36,7910.0,274000.0,32100.0,2.69e9,1.32e11,6.9244354085509805,56.6757555335986,154.55791956007198,0.0,0.06112565309920326,0.24217908822801826,0.482753453324652,0.0,1026.4709223888015,1759.8234072234393,3089.5258113570717,11906.276491919194,9.175070389733602e-6,0.0002103226664429237,0.0008059355743421387,0.0,0.045235894345563486,0.05097548103936435,0.05364854290571542,0.05412084706531081,0.7413281129107913,1.245803294227798,2.125751061440966,8.011366461898332,15916.14721367856,33983.20922594551,76761.36245084801,519937.8115695833,0.0008422098030575167,0.001026021457806063,0.0011150575844683128,0.005029043509484702,9.631624660911533e8,3.3134863729967747e9,5.447335349754384e9,0.0,1.639479482895994,1.8255692854626815,1.9107861856828845,1.925749572810737,15772.827,20252.945,25324.77,41427.148
BEL,4.35e-5,0.0192,60.6,2540.0,17.4,1010.0,1.11e6,4.66e7,0.00952,1.27,0.067,90100.0,3.79e6,12200.0,2.0e8,1.1e10,6.259401436953151,61.21344247945412,0.0,0.0,0.0573873651625294,0.2541221775914536,0.0,0.0,58173.65502682356,65943.20883614926,74714.41893123905,108021.01972268095,2.2352655297683547e-5,0.00018585811010766217,0.0,0.0,0.008026568112925181,0.009089108072167729,0.009586195069765725,0.009674163291703557,39.07678951905229,44.13902677230465,49.970825189325176,72.70821371121534,697993.0613505836,805836.4806695188,919082.6614760507,1.3426368912181666e6,0.10644805742795581,0.018671538791442545,0.0,0.0,6.49987752400173e7,8.749286505681131e8,0.0,0.0,1.1003296504535893,1.2252230263984292,1.282415984901578,1.292458598243044,11903.751,12121.106,12220.769,12310.312
BEN,0.00148,0.0124,9.64,342.0,141.0,6020.0,797000.0,2.64e7,0.0908,2.03,0.363,19300.0,686000.0,30400.0,2.06e9,1.02e11,6.612901638474971,60.26104897026223,157.3195413415571,0.0,0.05939205076819887,0.2516438061608134,0.4881266500945399,0.0,3851.153317432357,5657.0418579087955,8574.723295147907,27944.29333854354,1.9769542549628718e-5,0.0005395724480989128,0.0019260766957041318,0.0,0.07691564306688117,0.08682104876515015,0.09144704881297724,0.09226527999564624,1.9089704071410556,2.8229421506980623,4.212865205873565,13.813823310755625,64019.339235594256,118604.43754242154,223065.07875382033,1.181157513089652e6,0.007880783845864955,0.00821125381438527,0.007446048124100976,0.026528733672906868,9.1070424265012e8,2.7972530922095346e9,4.2165358606518855e9,0.0,1.7506309943691338,1.9493370956091596,2.0403314315102286,2.056309288848517,15672.31,19775.009,24280.484,38697.8249999999
BFA,0.00112,0.0124,8.29,293.0,141.0,6010.0,1.06e6,3.52e7,0.114,2.37,0.362,14100.0,504000.0,54100.0,4.13e9,2.04e11,6.831679356781807,59.60389831670963,156.81149455419254,0.0,0.06061260559693982,0.24992516158000488,0.4871408318418534,0.0,2689.1421806268313,4137.648314136966,6464.079122958506,20757.930893142246,1.5789995206649567e-5,0.00040153814980003783,0.0014514635935799294,0.0,0.09625948160357806,0.10896914545635843,0.11492950912648042,0.11598540007817343,1.4934250964734908,2.3163905907156703,3.5653938789819524,12.103876575125632,78997.7733717398,154962.02861392478,304058.1045870513,1.6048089614611464e6,0.007357402174041384,0.008146018743246488,0.007703742805156833,0.027305326746527903,1.6332873232879438e9,5.349629529139619e9,8.429752410748639e9,0.0,2.0483218655166047,2.2808174932592027,2.387285211735471,2.405980067850431,27404.036,35051.003,43432.1740000001,69275.6750000001
BGD,0.00337,0.24,17.5,636.0,141.0,6030.0,5.05e6,1.88e8,0.0758,1.9,0.363,26900.0,985000.0,180000.0,6.66e9,3.81e11,6.4573784029598995,60.90011500515114,157.9295253143815,0.0,0.058515164477510484,0.25330842600386383,0.4893086923466885,0.0,6416.235942746427,9506.147837229933,13999.306322880424,39228.28692886071,2.2332398985748102e-5,0.0007738330915912531,0.003289251413719893,0.0,0.06428022658544269,0.07246404836350889,0.07627865567831764,0.0769528813822701,3.921415198615132,5.814756313383559,8.69779217975603,25.8292047424021,1.2118193355818512e6,1.9008302308825792e6,2.892762050456215e6,7.443872537077495e6,0.17532153575061007,0.18511323796284737,0.16349155872824012,0.5026334476463353,9.864264988682299e9,2.009351682906538e10,1.6911481319737743e10,0.0,1.6445787616705105,1.8312473600015136,1.9167293106447663,1.9317392384479806,178993.87,188416.728,192567.779,176198.774
BGR,4.54e-5,0.00496,25.3,1080.0,17.4,1010.0,284000.0,1.22e7,0.0178,1.91,0.067,60800.0,2.47e6,4920.0,1.51e8,8.81e9,6.2917412517689,61.19852829505391,0.0,0.0,0.05757249699471079,0.25408347900232375,0.0,0.0,29747.1337582657,38228.458411369866,47852.69798243386,78615.51860851048,2.395594957830229e-5,0.00019368426565180785,0.0,0.0,0.014894793130154106,0.016940695583346564,0.017902655550998483,0.01807320304415238,16.72395128583652,19.861155378920365,23.062820690008937,29.9541203474907,193527.7877367498,227722.7177950895,261105.23522519914,329915.9291641162,0.031361158860824564,0.0055010661615071,0.0,0.0,1.9689281948277858e8,6.411073886295761e8,0.0,0.0,1.6497422792780374,1.8369969648288922,1.922747304902654,1.9378043596834909,6416.748,5873.293,5385.444,4122.076
