time,consumption_ede
2020,35.82114212646448
2021,35.823213545449306
2022,35.817504946060666
2023,35.816769940735526
2024,35.82866937680025
2025,35.8535887767218
2026,35.87790990259492
2027,35.915032548307934
2028,35.96056590653977
2029,36.01421836762189
2030,37.65511452744132
2031,37.89197545850629
2032,38.125797991921296
2033,38.35484902387094
2034,38.56972499634223
2035,38.78076642599927
2036,38.95799751104758
2037,39.127819567888444
2038,39.29180015661532
2039,39.45491864783646
2040,39.60926292596947
2041,39.78126136600084
2042,39.939583559890465
2043,40.087372022438
2044,40.22453950951264
2045,40.348962422762725
2046,40.475419354099394
2047,40.59421216522443
2048,40.707952868742225
2049,40.81754123707185
2050,40.92567867428657
2051,41.05193401510012
2052,41.17662315578089
2053,41.29999809687014
2054,41.42067525446355
2055,41.53736085949427
2056,41.640317352677634
2057,41.74213883084617
2058,41.84316751375905
2059,41.94189015620825
2060,42.042816559489154
2061,42.12437223658431
2062,42.200834119165904
2063,42.26961622763184
2064,42.331990902995145
2065,42.38502979285709
2066,42.418567168788016
2067,42.43848664830052
2068,42.451300205521996
2069,42.45573775903436
2070,42.452273628325685
2071,42.49413733643323
2072,42.5290774744226
2073,42.56093275700802
2074,42.59020507591807
2075,42.616792219112604
2076,42.62400279344523
2077,42.63050031911164
2078,42.625694192256034
2079,42.629715558047856
2080,42.79326366245777
2081,42.95437573567257
2082,43.118471222322434
2083,43.28686356374504
2084,43.45892758872548
2085,43.63457082156303
2086,43.805846291836836
2087,43.97691616471863
2088,44.14819094623888
2089,44.31886855042428
2090,44.487740267294924
2091,44.646540255516285
2092,44.80372375234805
2093,44.96340237272631
2094,45.128548776868946
2095,45.29713345333551
2096,45.458277423577805
2097,45.61851595958025
2098,45.77815100059645
2099,45.93640101315013
2100,46.09166045798709
