time,country,E_gtco2
2020,USA,5.706626750537144
2021,USA,5.747917739785575
2022,USA,5.786502071192615
2023,USA,5.822648454402096
2024,USA,5.85664084210825
2025,USA,5.888774655242703
2026,USA,5.913339245465986
2027,USA,5.936129737679036
2028,USA,5.957404799134985
2029,USA,5.977404115403048
2030,USA,4.855810088106669
2031,USA,4.747982643821981
2032,USA,4.638194194236296
2033,USA,4.528680774148627
2034,USA,4.4214092560263305
2035,USA,4.311656764810765
2036,USA,4.2060302590664245
2037,USA,4.101602720590821
2038,USA,3.9982644623331414
2039,USA,3.891964092328114
2040,USA,3.790626629109399
2041,USA,3.6547964034496947
2042,USA,3.5228495312011248
2043,USA,3.3908390355549796
2044,USA,3.2587101756508647
2045,USA,3.1281583042622727
2046,USA,3.0011535079486897
2047,USA,2.875373837268394
2048,USA,2.7474149892338837
2049,USA,2.623921212986252
2050,USA,2.4982139050521828
2051,USA,2.4093416788395268
2052,USA,2.320403830463616
2053,USA,2.2329841971333
2054,USA,2.1440062239269104
2055,USA,2.05655952628313
2056,USA,1.9727483757112327
2057,USA,1.8902494629588549
2058,USA,1.806173219670078
2059,USA,1.720616120808909
2060,USA,1.639236264590183
2061,USA,1.533839997395568
2062,USA,1.430414551921271
2063,USA,1.3262490388391788
2064,USA,1.2240137077678428
2065,USA,1.1210772745067175
2066,USA,1.0194942582382607
2067,USA,0.9172909832180103
2068,USA,0.8169731554377968
2069,USA,0.7160802571465779
2070,USA,0.6146688741451674
2071,USA,0.5451206920264899
2072,USA,0.47434577278344875
2073,USA,0.40469400257938326
2074,USA,0.3361451851990603
2075,USA,0.2686781887066805
2076,USA,0.1977267294706662
2077,USA,0.13018138009048685
2078,USA,0.06165065639389209
2079,USA,0.0
2080,USA,0.0
2081,USA,0.0
2082,USA,0.0
2083,USA,0.0
2084,USA,0.0
2085,USA,0.0
2086,USA,0.0
2087,USA,0.0
2088,USA,0.0
2089,USA,0.0
2090,USA,0.0
2091,USA,0.0
2092,USA,0.0
2093,USA,3.6502928471962973e-16
2094,USA,0.0
2095,USA,0.0
2096,USA,0.0
2097,USA,0.0
2098,USA,0.0
2099,USA,0.0
2100,USA,0.0
2101,USA,2.7763496992064147
2102,USA,2.7146456623215736
2103,USA,2.6528917192329704
2104,USA,2.5911768412482403
2105,USA,2.529587836965057
2106,USA,2.4682089894302237
2107,USA,2.4071187499701274
2108,USA,2.346389463235525
2109,USA,2.28608861093456
2110,USA,2.22627873511236
2111,USA,2.167017503295496
2112,USA,2.108356960815593
2113,USA,2.050349740622409
2114,USA,1.9930478989741445
2115,USA,1.9364993689312944
2116,USA,1.8807466488927786
2117,USA,1.8258268160943139
2118,USA,1.7717733259027413
2119,USA,1.7186147715210573
2120,USA,1.666376197141541
2121,USA,1.615078347779604
2122,USA,1.5647384659824417
2123,USA,1.515372097236634
2124,USA,1.4669965562003826
2125,USA,1.4196265344549475
2126,USA,1.3732728880096932
2127,USA,1.3279447728765292
2128,USA,1.2836467776666058
2129,USA,1.2403807255958985
2130,USA,1.1981462691486013
2131,USA,1.1569404573227615
2132,USA,1.1167575797707503
2133,USA,1.0775931122014193
2134,USA,1.039443351750085
2135,USA,1.0023031127230262
2136,USA,0.9661662463862541
2137,USA,0.9310244931030816
2138,USA,0.8968669503202632
2139,USA,0.8636810558619575
2140,USA,0.8314537993000916
2141,USA,0.8001712628869755
2142,USA,0.7698183998265279
2143,USA,0.74037971065554
2144,USA,0.7118403900419715
2145,USA,0.6841854771811866
2146,USA,0.6573993457393237
2147,USA,0.6314663598410678
2148,USA,0.6063699412284405
2149,USA,0.5820929118276522
2150,USA,0.5586180329415806
2151,USA,0.535927592257266
2152,USA,0.514003716062486
2153,USA,0.4928281391172514
2154,USA,0.4723822252622691
2155,USA,0.4526478326656258
2156,USA,0.43360789457764876
2157,USA,0.41524558433380626
2158,USA,0.39754385601522807
2159,USA,0.38048568335282934
2160,USA,0.364053829254514
2161,USA,0.3482308211791383
