country,rho,flag,target
AUS,1.076694463234965,converged,ede
AUT,0.2555276313318533,converged,ede
BEL,0.4959231018589223,converged,ede
BGR,0.30090285599820094,converged,ede
BRA,0.38203024521825035,converged,ede
CAN,1.1993439689166843,converged,ede
CHE,1.4029670449562754,converged,ede
CHN,0.8763168348978664,converged,ede
CMR,0.16156923452253336,predicted,ede
CYP,0.1614920941871531,converged,ede
CZE,0.39699066512060227,converged,ede
DEU,0.27069277044459,converged,ede
DNK,0.26542231940199873,converged,ede
DZA,0.8369582108840282,converged,ede
EGY,1.463851160696668,converged,ede
ESP,0.22985278644571086,converged,ede
EST,0.503124385201093,converged,ede
FIN,0.28647923323636143,converged,ede
FRA,0.18616152022928067,converged,ede
GBR,0.6287009687872438,converged,ede
GHA,0.23889277156362027,converged,ede
GRC,0.28045712509076887,converged,ede
HRV,0.30838959687027945,converged,ede
HUN,0.31837285773578483,converged,ede
IDN,0.8918155534595423,converged,ede
IND,1.306010545543476,converged,ede
IRL,0.23084811256453025,converged,ede
ISL,2.500233220999872,predicted,ede
ITA,0.25098197104850206,converged,ede
KEN,0.2184617575936527,converged,ede
LTU,0.29712215158870114,converged,ede
LUX,0.3803051050783426,converged,ede
LVA,0.33110664095267356,converged,ede
MLT,1.195376360538415,converged,ede
MOZ,0.2421856377341225,converged,ede
NLD,0.2743101989998295,converged,ede
NOR,0.6756330354134129,converged,ede
POL,0.3248147593481817,converged,ede
PRT,0.22052487237643975,converged,ede
ROU,0.28307239231624226,converged,ede
SVK,0.3228057899440495,converged,ede
SVN,0.41447143587607405,converged,ede
SWE,0.17766077992283358,converged,ede
TGO,0.40876157377960287,predicted,ede
THA,1.493450049836179,converged,ede
UGA,0.08060915370039001,predicted,ede
ZMB,0.22117046457230272,predicted,ede
