pi,welfare,cons,calib_err,path_missed,row_price_negative,row_price_above_backstop
0.0,4.507204834652907e8,6.852859535208403e8,1.2578230436786391e-5,false,false,true
0.25,4.487079481203186e8,6.84373402807023e8,6.80851655054228e-5,false,false,true
0.5,4.4659196526072323e8,6.824734450752139e8,4.0499937710810205e-5,false,false,true
0.75,4.444037265384409e8,6.798548438504179e8,1.8666031155263127e-5,false,false,true
1.0,4.421556500532431e8,6.76626476478055e8,2.9807169510749735e-7,false,false,true
1.25,4.398545191868242e8,6.728557447935419e8,1.6564452331175926e-5,false,false,false
1.5,4.375041776624419e8,6.68590838603313e8,3.159028089758886e-5,false,false,false
1.75,4.3510659867346793e8,6.638690932008094e8,4.541663878364361e-5,false,false,false
2.0,4.3266241115618193e8,6.587209811158317e8,5.82676287748462e-5,false,false,false
2.25,4.3017119933173233e8,6.531723127895795e8,7.033792179445495e-5,false,false,false
2.5,4.2763168382234794e8,6.472455673600688e8,8.173093946294562e-5,false,false,false
2.75,4.250418339863586e8,6.409607542870022e8,9.258251844238352e-5,false,false,false
3.0,4.223986111407275e8,6.34335625704606e8,1.0125570353657794e-5,false,false,false
3.25,4.196992716758749e8,6.273875649760269e8,1.1107126263296069e-5,false,false,false
3.5,4.1693950924890476e8,6.201317364649057e8,1.2053018202053957e-5,false,false,false
3.75,4.1411464398270077e8,6.125827221698649e8,1.2963220009825751e-5,false,false,false
4.0,4.112192733995094e8,6.047543607875336e8,1.3840279318566812e-5,false,false,false
4.25,4.0824718054072404e8,5.966598915161467e8,1.468623801031162e-5,false,false,false
4.5,4.0519119145019525e8,5.883120708083217e8,1.550274094838894e-5,false,false,false
4.75,4.0204296100744176e8,5.797232692485727e8,1.6291094048082836e-5,false,false,false
