time,pi_0.0,pi_0.25,pi_0.5,pi_0.75,pi_1.0,pi_1.25,pi_1.5,pi_1.75,pi_2.0,pi_2.25,pi_2.5,pi_2.75,pi_3.0,pi_3.25,pi_3.5,pi_3.75,pi_4.0,pi_4.25,pi_4.5,pi_4.75
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,20.831962427232693,20.67567023815346,20.592899863835182,20.52509221238239,20.465494735146777,20.41135181225417,20.361199509735936,20.314144314090136,20.26959102733942,20.227118394341225,20.18388416135747,20.144356413744728,20.106183247832607,20.069212057291786,20.033317768260368,19.998396271405067,19.96435975239641,19.93113328804855,19.89865231102359,19.866860685683818
2026,24.12658709612314,23.942486578864706,23.84498711963868,23.765113863175056,23.694912252986448,23.631136153518586,23.5720610482727,23.5166343815051,23.464155015659014,23.4141267190046,23.363207768653602,23.316649611133005,23.2716872054282,23.228140791901886,23.185863043409935,23.144731328377308,23.104642210185137,23.065507437490655,23.02725095770505,22.989806650392502
2027,27.94219034889791,27.725427636045023,27.61062819964081,27.516583504032177,27.43392592960449,27.35883678613061,27.289281889753028,27.224023079013477,27.162234785786833,27.103332716281763,27.043389028468205,26.988574286833877,26.935638652467837,26.88437047555845,26.83459629405701,26.78617172370959,26.738974981278034,26.692902163295077,26.64786372954976,26.603781834265142
2028,32.361130810445594,32.106022533388916,31.970912807139012,31.86023091643143,31.76294910381731,31.67457991913544,31.592722189715094,31.515920998691353,31.443204699091222,31.373885615879583,31.30334845934966,31.23884163617855,31.17654671212907,31.116214602785103,31.057641168032347,31.000656490134286,30.94511725092173,30.890901175182375,30.83790289194637,30.78603079344909
2029,37.47878104444151,37.17867588774288,37.01973271763228,36.88952781614747,36.77508419175911,36.671132868865485,36.574838785317034,36.484493758617475,36.39895473173221,36.31741272387469,36.23444664575369,36.158568079682006,36.085292125433476,36.01432577815645,35.94542890544798,35.878401633893255,35.81307538143605,35.74930632053787,35.68697050939242,35.62596019673106
2030,43.40558244615709,43.05270027412007,42.86580236092231,42.71269870426533,42.578125,42.45589861175152,42.34267257939616,42.23644267551156,42.13586480899065,42.039987732472916,41.94244643916262,41.85323189716814,41.76707853061416,41.68364183198994,41.60263946449881,41.52383643012331,41.44703452462712,41.372064651103535,41.298781094946094,41.22705717867037
2031,50.279072220646775,49.86019294371074,49.63834332981721,49.45661228099824,49.296875,49.15180523599498,49.017416648401735,48.89133444569894,48.771963097172076,48.658173419570645,48.542420791327345,48.4365447731627,48.334304144521106,48.23528998535458,48.13916717629346,48.04565679196388,47.95452358295571,47.86556685152829,47.778613655580074,47.693513650502545
2032,57.47834305630128,56.98780142279307,56.727999649031815,56.51518466772657,56.328125,56.15825372145608,56.00088904337731,55.85325420272921,55.71348066502137,55.580246060270746,55.444728296236114,55.32076799880275,55.201067431408894,55.08514775790723,54.972616570098616,54.86314726816777,54.756464400217304,54.65233297678539,54.55055051193913,54.450940982439725
2033,64.84444157151803,64.2777252012544,63.97758108580852,63.73172565741891,63.515625,63.31939302390064,63.137609037138155,62.967068915302285,62.8056139664526,62.6517165083114,62.49520057821522,62.352026525896285,62.213776986426296,62.07989884250059,61.9499388253446,61.82351969267701,61.700323290982936,61.58007821066748,61.462550591185696,61.34753714204417
2034,72.21809807894499,71.57198232901865,71.22978741898427,70.94949355097823,70.703125,70.47941869068255,70.27218574283854,70.07777597868062,69.89372832279605,69.71830114652664,69.53991191521972,69.37672208900902,69.21915117041955,69.06656866732193,68.91845792208778,68.77438895179556,68.63399913697783,68.49697914742573,68.3630624591841,68.23201739790512
2035,79.91875698767622,79.18705370762989,78.79953088356572,78.4821160819068,78.203125,77.94980554487869,77.71514559715457,77.49501265341769,77.2866197624073,77.08799474590015,76.88604226982228,76.70129040807565,76.52290772342606,76.35018037642007,76.18252343472554,76.01945011586679,75.86054991769247,75.70547268038969,75.55391671510955,75.40561979379537
2036,86.99342625380511,86.17655126902592,85.74392230685348,85.38957116440042,85.078125,84.79534233382653,84.53339934033446,84.28768108807066,84.05507640661733,83.83338376650624,83.6080088763719,83.40182321836967,83.2027559437384,83.01001034563822,82.82293362044881,82.64098253070347,82.4636989898676,82.29069226985798,82.12162574819338,81.95620684967257
2037,94.07687724714481,93.17107916021102,92.69135880742782,92.29844782639464,91.953125,91.6395857264381,91.34916702418066,91.0767476593317,90.81887806699545,90.57311736426074,90.32330986931662,90.09476740197799,89.874128089695,89.66050878813043,89.45318590829136,89.25155734241356,89.05511539140491,88.86342703654438,88.67611924464406,88.49286781565377
2038,101.16929882398381,100.17074452624371,99.64190477120783,99.20877583583876,98.828125,98.4825087818467,98.16239747435884,97.86213902078795,97.57793099884094,97.30708297101128,97.03181407283542,96.77997556895109,96.53686181216327,96.30149958626409,96.0730915520332,95.85097427552176,95.63458838413904,95.42345681955479,95.21716863909492,95.01536672238879
2039,108.59097061748683,107.49250570013811,106.9107614348602,106.43431819858523,106.015625,105.63546539937623,105.28338405937176,104.95315469309834,104.64059493187307,104.3427456529915,104.04007706014015,103.76317321044995,103.49588229334813,103.2371341632071,102.9860521269184,102.74190677453014,102.50408315073956,102.27205683374189,102.04537611725691,101.82364848849772
2040,115.70205526798068,114.50285691292392,113.86777390260126,113.34766412576037,112.890625,112.47564582382408,112.09134508417635,111.73091544727201,111.3897916611159,111.06474388440428,110.73448487788228,110.43234370456109,110.14071537514258,109.8584321566053,109.58453748065877,109.31823554313041,109.0588554671459,108.80582519070317,108.55865201666862,108.31690785239606
2041,125.38786040004209,124.05602193748022,123.35072262084887,122.77313321354724,122.265625,121.80481522931034,121.37811250808416,120.97794120019307,120.5992318722012,120.23839818723437,119.87182204603205,119.53647817833034,119.21283370775183,118.89959236550337,118.59569237364371,118.30025047248469,118.0125221225125,117.73187250612698,117.4577549284605,117.18969442619219
2042,134.92670018420446,133.4582490888722,132.68063346003194,132.0438505472623,131.484375,130.97637879676057,130.50602733584492,130.06495317132854,129.64756790992757,129.24991833853107,128.84599317396325,128.47650916147236,128.11995396762777,127.77489916488017,127.4401748282594,127.11480782561952,126.79797794113868,126.48898590600665,126.1872295867018,125.89218591504445
2043,144.6395013525373,143.02686539075995,142.1729304450275,141.47368338762996,140.859375,140.3015988529699,139.78520662459465,139.30099619772562,138.84283178466643,138.40637326361042,137.96308876044554,137.55763582124462,137.16641717193914,136.78786513067118,136.42069584820953,136.06384154469427,135.71640233021859,135.37761110098023,135.0468073933639,134.72341754312592
2044,154.52690626313486,152.7622364206272,151.827834056673,151.0627347378791,150.390625,149.78038591725758,149.21547859503875,148.6858231557401,148.184706997927,147.7073823759249,147.22266505690985,146.77935907324223,146.35167308323494,145.93789283367354,145.5366145989181,145.14667103650126,144.7670784723722,144.39699849321283,144.03570934043248,143.6825842031533
2045,164.42890351265686,162.50595416274018,161.48778569926407,160.65414260360382,159.921875,159.25704945452833,158.6416710775323,158.06474961835576,157.51897241945917,156.9991677808514,156.47139709758963,155.98876984012867,155.5232160722787,155.07286926494928,154.63620119181041,154.21194114396187,153.7990184956363,153.39652085861297,153.00366291649033,152.61976277607945
2046,173.8191098345644,171.75629610669372,170.66407762093232,169.76983713742024,168.984375,168.27131112155388,167.61132804031956,166.9926451852577,166.4074209216886,165.85011001142945,165.28435886850895,164.76704929429854,164.26811377610338,163.78555196550275,163.31772630732578,162.8632753953077,162.42105237455357,161.99008006384554,161.56951753262715,161.15863474059861
