country,rho,member,max_rel_welfare_gap,level,target
ABW,0.0,false,9.69041097487245e-6,free,cons
AFG,0.0,false,9.69041097487245e-6,free,cons
AGO,0.0,false,9.69041097487245e-6,free,cons
ALB,0.0,false,9.69041097487245e-6,free,cons
ARE,0.0,false,9.69041097487245e-6,free,cons
ARG,0.0,false,9.69041097487245e-6,free,cons
ARM,0.0,false,9.69041097487245e-6,free,cons
AUS,1.7799714650173775,true,9.69041097487245e-6,free,cons
AUT,0.30409970635341116,true,9.69041097487245e-6,free,cons
AZE,0.0,false,9.69041097487245e-6,free,cons
BDI,0.0,false,9.69041097487245e-6,free,cons
BEL,0.5905052157237949,true,9.69041097487245e-6,free,cons
BEN,0.0,false,9.69041097487245e-6,free,cons
BFA,0.0,false,9.69041097487245e-6,free,cons
BGD,0.0,false,9.69041097487245e-6,free,cons
BGR,0.385738993124864,true,9.69041097487245e-6,free,cons
BHR,0.0,false,9.69041097487245e-6,free,cons
BHS,0.0,false,9.69041097487245e-6,free,cons
BIH,0.0,false,9.69041097487245e-6,free,cons
BLR,0.0,false,9.69041097487245e-6,free,cons
BLZ,0.0,false,9.69041097487245e-6,free,cons
BOL,0.0,false,9.69041097487245e-6,free,cons
BRA,0.4692753508863736,true,9.69041097487245e-6,free,cons
BRB,0.0,false,9.69041097487245e-6,free,cons
BRN,0.0,false,9.69041097487245e-6,free,cons
BTN,0.0,false,9.69041097487245e-6,free,cons
BWA,0.0,false,9.69041097487245e-6,free,cons
CAF,0.0,false,9.69041097487245e-6,free,cons
CAN,1.694802117075551,true,9.69041097487245e-6,free,cons
CHE,2.2532506680840307,true,9.69041097487245e-6,free,cons
CHL,0.0,false,9.69041097487245e-6,free,cons
CHN,0.9766427174012244,true,9.69041097487245e-6,free,cons
CIV,0.0,false,9.69041097487245e-6,free,cons
CMR,0.17440672770724497,true,9.69041097487245e-6,free,cons
COD,0.0,false,9.69041097487245e-6,free,cons
COG,0.0,false,9.69041097487245e-6,free,cons
COL,0.0,false,9.69041097487245e-6,free,cons
COM,0.0,false,9.69041097487245e-6,free,cons
CPV,0.0,false,9.69041097487245e-6,free,cons
CRI,0.0,false,9.69041097487245e-6,free,cons
CUB,0.0,false,9.69041097487245e-6,free,cons
CYP,0.20165958329051298,true,9.69041097487245e-6,free,cons
CZE,0.47393659812039735,true,9.69041097487245e-6,free,cons
DEU,0.3281392009988714,true,9.69041097487245e-6,free,cons
DJI,0.0,false,9.69041097487245e-6,free,cons
DNK,0.3119496675555353,true,9.69041097487245e-6,free,cons
DOM,0.0,false,9.69041097487245e-6,free,cons
DZA,0.933572665833061,true,9.69041097487245e-6,free,cons
ECU,0.0,false,9.69041097487245e-6,free,cons
EGY,1.3186208252274834,true,9.69041097487245e-6,free,cons
ERI,0.0,false,9.69041097487245e-6,free,cons
ESP,0.28540714948817686,true,9.69041097487245e-6,free,cons
EST,0.6425736824598731,true,9.69041097487245e-6,free,cons
ETH,0.0,false,9.69041097487245e-6,free,cons
FIN,0.3391528935590045,true,9.69041097487245e-6,free,cons
FJI,0.0,false,9.69041097487245e-6,free,cons
FRA,0.2248185064830184,true,9.69041097487245e-6,free,cons
GAB,0.0,false,9.69041097487245e-6,free,cons
GBR,1.0533984718255707,true,9.69041097487245e-6,free,cons
GEO,0.0,false,9.69041097487245e-6,free,cons
GHA,0.2112135801727174,true,9.69041097487245e-6,free,cons
GIN,0.0,false,9.69041097487245e-6,free,cons
GMB,0.0,false,9.69041097487245e-6,free,cons
GNB,0.0,false,9.69041097487245e-6,free,cons
GNQ,0.0,false,9.69041097487245e-6,free,cons
GRC,0.358333578653865,true,9.69041097487245e-6,free,cons
GTM,0.0,false,9.69041097487245e-6,free,cons
GUY,0.0,false,9.69041097487245e-6,free,cons
HKG,0.0,false,9.69041097487245e-6,free,cons
HND,0.0,false,9.69041097487245e-6,free,cons
HRV,0.374640860975208,true,9.69041097487245e-6,free,cons
HTI,0.0,false,9.69041097487245e-6,free,cons
HUN,0.3765526888651351,true,9.69041097487245e-6,free,cons
IDN,1.0126485120955666,true,9.69041097487245e-6,free,cons
IND,1.2129112880894297,true,9.69041097487245e-6,free,cons
IRL,0.2744476666721121,true,9.69041097487245e-6,free,cons
IRN,0.0,false,9.69041097487245e-6,free,cons
IRQ,0.0,false,9.69041097487245e-6,free,cons
ISL,1.7445415828591266,true,9.69041097487245e-6,free,cons
ISR,0.0,false,9.69041097487245e-6,free,cons
ITA,0.31004857183143053,true,9.69041097487245e-6,free,cons
JAM,0.0,false,9.69041097487245e-6,free,cons
JOR,0.0,false,9.69041097487245e-6,free,cons
JPN,0.0,false,9.69041097487245e-6,free,cons
KAZ,0.0,false,9.69041097487245e-6,free,cons
KEN,0.19392211660418884,true,9.69041097487245e-6,free,cons
KGZ,0.0,false,9.69041097487245e-6,free,cons
KHM,0.0,false,9.69041097487245e-6,free,cons
KOR,0.0,false,9.69041097487245e-6,free,cons
KWT,0.0,false,9.69041097487245e-6,free,cons
LAO,0.0,false,9.69041097487245e-6,free,cons
LBN,0.0,false,9.69041097487245e-6,free,cons
LBR,0.0,false,9.69041097487245e-6,free,cons
LBY,0.0,false,9.69041097487245e-6,free,cons
LCA,0.0,false,9.69041097487245e-6,free,cons
LKA,0.0,false,9.69041097487245e-6,free,cons
LSO,0.0,false,9.69041097487245e-6,free,cons
LTU,0.4009914731020682,true,9.69041097487245e-6,free,cons
LUX,0.4513920788853333,true,9.69041097487245e-6,free,cons
LVA,0.43604637408507585,true,9.69041097487245e-6,free,cons
MAC,0.0,false,9.69041097487245e-6,free,cons
MAR,0.0,false,9.69041097487245e-6,free,cons
MDA,0.0,false,9.69041097487245e-6,free,cons
MDG,0.0,false,9.69041097487245e-6,free,cons
MDV,0.0,false,9.69041097487245e-6,free,cons
MEX,0.0,false,9.69041097487245e-6,free,cons
MKD,0.0,false,9.69041097487245e-6,free,cons
MLI,0.0,false,9.69041097487245e-6,free,cons
MLT,1.4187610845344245,true,9.69041097487245e-6,free,cons
MMR,0.0,false,9.69041097487245e-6,free,cons
MNE,0.0,false,9.69041097487245e-6,free,cons
MNG,0.0,false,9.69041097487245e-6,free,cons
MOZ,0.22279049762884853,true,9.69041097487245e-6,free,cons
MRT,0.0,false,9.69041097487245e-6,free,cons
MUS,0.0,false,9.69041097487245e-6,free,cons
MWI,0.0,false,9.69041097487245e-6,free,cons
MYS,0.0,false,9.69041097487245e-6,free,cons
NAM,0.0,false,9.69041097487245e-6,free,cons
NER,0.0,false,9.69041097487245e-6,free,cons
NGA,0.0,false,9.69041097487245e-6,free,cons
