Indicator,Country,Year,BAU,Global_Cap_Share,FFU,IMF,IMF_2,Stoft,CSU,Non-losing,FFU_SU
Consumption EDE (countries),IND,2030,4.394180946473211,4.518905529670242,4.4113529991788,4.425613654324726,4.425613654324726,4.441655054847893,4.4276624789795225,4.372545640445264,4.407437402366122
Consumption EDE (countries),NGA,2030,2.9853743747654224,3.2068443490662832,3.0192941756107694,3.00242606083051,3.00242606083051,3.026408203845251,3.048481165165127,3.002605960544213,3.052367642441617
Consumption EDE (countries),CHN,2030,7.323615401182082,7.354568898056698,7.376148431272369,7.461993525445202,7.461993525445202,7.426146996586305,7.32707158080858,7.166939407485674,7.345132306511771
Consumption EDE (countries),MNG,2030,11.037610558669218,10.862938500535765,10.96737160169103,11.308401064617469,11.308401064617469,11.221887838448481,10.971100326095113,10.59159893428251,10.938041755529172
Consumption EDE (countries),USA,2030,36.07723004309538,35.85745607805129,36.07694392069944,36.45085031911524,36.45085031911524,36.30495644149803,36.07694392069944,36.156977373931475,36.038579921658595
Consumption EDE (countries),FRA,2030,34.71920567880768,34.69776453117172,34.70726854906451,34.74214012711109,34.74214012711109,34.739081958970566,34.70473038580749,34.651178916472475,34.521913492068975
Consumption EDE (countries),COD,2030,0.8432587793163795,1.0502402682048504,0.8729169387107779,0.8453046712521195,0.8453046712521195,0.8673088701320474,0.9045611270987852,0.8523163385663595,0.889546316610122
Consumption EDE (countries),RUS,2030,19.87542436445611,19.825476541860112,19.87544762464106,20.144224002758577,20.144224002758577,20.008249485472312,19.87544762464106,19.868586501726618,19.84339700319816
Consumption EDE (countries),IND,2050,7.848464001807762,8.149955947239091,8.12842157765402,7.951128850339691,7.9940422384806995,8.036035715150053,8.05268628169757,8.048416506482734,8.117601229119483
Consumption EDE (countries),NGA,2050,5.866439715531307,6.417032161386237,6.2209412237734,5.927935238621139,5.945241331178496,6.005932000664768,6.282661155553028,5.965460833241631,6.239702937845988
Consumption EDE (countries),CHN,2050,14.950110029745032,14.813482360203482,14.746069550233097,15.082578078823941,15.12508164661087,15.036571445905343,14.790356137178113,14.708100493921277,14.657838320869965
Consumption EDE (countries),MNG,2050,22.98292193900137,20.966934840228188,21.22774704602569,23.166043020250715,23.180026876870773,22.607764307806722,21.223387028290677,20.48588897615578,21.099224523685773
Consumption EDE (countries),USA,2050,37.99696125214303,37.191722015324395,38.073735770789234,38.389082331413135,38.4390624348114,38.25911144886489,38.0737703200103,38.19626249252147,37.98171839090467
Consumption EDE (countries),FRA,2050,42.169911665367685,42.069105171312806,41.774203617505826,42.222429951931666,42.19719741343181,42.12653771362582,42.03907474668567,41.45852737914036,41.476696834614565
Consumption EDE (countries),COD,2050,2.833371856952619,3.371896472990093,3.1456904493046838,2.8531155204641285,2.857641316937085,2.913934310515523,3.249103944862798,2.868983538749529,3.1601814042108485
Consumption EDE (countries),RUS,2050,27.227179427545195,26.73227876548253,27.222510841602688,27.45244885710207,27.45896902260195,27.281210870182388,27.22250859341047,27.21349754122806,27.1443279528086
Consumption EDE (countries),IND,2100,12.821295012047614,13.910128993078303,13.499375437930023,13.477379154954004,14.23759636140532,13.909036707981919,13.495116728515967,13.788155478819498,14.076767518167461
Consumption EDE (countries),NGA,2100,31.496507535754276,33.69080513155093,33.03907947758918,32.2637989420336,33.10782865072002,33.67822200711124,33.04182701786442,33.4936502400484,32.86385219032528
Consumption EDE (countries),CHN,2100,43.16857247427508,43.433871508806696,43.17477190210678,43.4714693689443,43.219580485262235,43.44597789093845,43.19053643391221,43.33761052393098,42.78860115234075
Consumption EDE (countries),MNG,2100,64.1846274870816,58.55175529737003,58.816894138054856,63.96561729200978,58.77392471048554,58.63800474481091,58.82346386627862,58.5992958267683,58.323638126221994
Consumption EDE (countries),USA,2100,45.223902657611916,45.42466922819237,46.051540759963345,45.74654992027302,45.2516446852859,45.446559944024784,46.051646318587736,46.28677349239139,45.939947839569086
Consumption EDE (countries),FRA,2100,74.36252190293112,74.73417215960842,74.4882938633715,74.6500079688556,74.64869743224507,74.73584955672895,74.50678091694762,74.64102647242323,73.8610033992786
Consumption EDE (countries),COD,2100,26.891021877651312,28.248162394822014,27.85352730891173,27.3520583371247,27.864764932237694,28.228918160940808,27.858784595677385,28.1165475669215,27.683110799918488
Consumption EDE (countries),RUS,2100,44.39006595767951,43.498864458046306,44.37454204687334,44.55417649496252,43.37701137801533,43.51486874024697,44.374535694864306,44.35747412078061,44.31264127842002
Consumption EDE (global),Global,2030,5.181853341449988,5.4808458373370295,5.2344079918421755,5.233501522293892,5.233501522293892,5.2610800374155176,5.272044086491733,5.176435962339981,5.259437868977706
Consumption EDE (global),Global,2050,8.85820296927876,9.462274630863408,9.282192468275616,8.948617876159824,8.979578443445611,9.041452452884728,9.318250482364917,8.953129957420884,9.283806169012495
Consumption EDE (global),Global,2100,27.217756976986433,28.5020775773177,28.077747741579017,27.852673928666704,28.401422751225162,28.49470442134593,28.077523325782067,28.393019588551777,28.23952062613474
Global temperature in 2100,Global,2100,2.574699651573469,1.8093989584451429,2.029140803093327,2.323098428494431,2.023585981958486,1.8095066090322025,2.029073048649952,1.8772501992644857,2.027369449373466
Transfers in India in 2050,IND,2050,-0.0,1.5972525430364307e11,1.7419155910730615e11,-0.0,-0.0,1.6119456187814695e10,5.433402412420679e10,-0.0,1.7361940785260376e11
