method,scenario,variant,club_size,rights_gain_pct,emissions_change_pct,rights_ratio,temp_2100,temp_2100_proposal,welfare_gain_pct,cons_gain_pct,target
A,Wolfram,1,47,9.034310095955433,-8.28574976812786,0.9171425023187214,2.1449316217438263,2.1613085484378423,0.0822790701230251,0.03624623287447679,ede
A,Wolfram,2,47,0.0,0.0,1.0,2.1613085598167987,2.1613085484378423,0.021159609887095695,0.02077485452540354,ede
A,Wolfram,3,47,0.0,0.0,1.0,2.161308547809788,2.1613085484378423,0.07124204824966635,0.02405403156687451,ede
A,Wolfram,4,47,0.0,0.0,1.0,2.1613085598167987,2.1613085484378423,0.021159609887095695,0.02077485452540354,ede
A,Duflo,1,179,8.513276469697706,-7.845377770041839,0.9215462222995816,1.7736908515019538,1.8049200259239842,0.19286442871070203,0.053216649959276496,ede
A,Duflo,2,179,0.0,0.0,1.0,1.8049200019984086,1.8049200259239842,0.1010967942138151,0.05704319217310718,ede
A,Duflo,3,179,0.0,0.0,1.0,1.8049200362273343,1.8049200259239842,0.3570332343931838,0.06229698460902481,ede
A,Duflo,4,179,0.0,0.0,1.0,1.8049200019984086,1.8049200259239842,0.1010967942138151,0.05704319217310718,ede
A,EqualRight,1,173,21.038555878849618,-17.3816976963172,0.826183023036828,1.4715773817268354,1.4838270562067637,0.1302908815713927,0.05271033531893917,ede
A,EqualRight,2,173,0.0,0.0,1.0,1.4838270581930189,1.4838270562067637,0.11653309913793462,0.08365686143023092,ede
A,EqualRight,3,173,0.0,0.0,1.0,1.4838270741866628,1.4838270562067637,0.2760272007033627,0.08361454903181596,ede
A,EqualRight,4,173,0.0,0.0,1.0,1.4838270581930189,1.4838270562067637,0.11653309913793462,0.08365686143023092,ede
A,EqualRight5,1,173,20.540910956851622,-17.040613675305938,0.8295938632469406,1.6172628450139155,1.6590443084371547,0.3546936473146649,0.10727974192232807,ede
A,EqualRight5,2,173,0.0,0.0,1.0,1.6590443222425741,1.6590443084371547,0.2688730998968469,0.18423962469489108,ede
A,EqualRight5,3,173,0.0,0.0,1.0,1.6590443818022047,1.6590443084371547,0.6558246214894027,0.18936181929136395,ede
A,EqualRight5,4,173,0.0,0.0,1.0,1.6590443222425741,1.6590443084371547,0.2688730998968469,0.18423962469489108,ede
B,Wolfram,1,47,5.110284154530209,-4.861830786240873,0.9513816921375913,2.1516811112635645,2.1613085484378423,0.04123888157272296,0.02775919565809482,ede
B,Wolfram,2,47,0.0,0.0,1.0,2.161309125265474,2.1613085484378423,0.01475007774540048,0.020166846457680545,ede
B,Wolfram,3,47,0.0,0.0,1.0,2.1613085485269106,2.1613085484378423,0.038720597613839225,0.021248358994094385,ede
B,Wolfram,4,47,0.0,0.0,1.0,2.161308551300241,2.1613085484378423,0.008125039996971756,0.01916221870502991,ede
B,Duflo,1,179,4.525868579841319,-4.329902866470093,0.9567009713352991,1.787526967820912,1.8049200259239842,0.11140255735505458,0.04364532897447364,ede
B,Duflo,2,179,0.0,0.0,1.0,1.8049200333395026,1.8049200259239842,0.10437525955360269,0.056982286555662356,ede
B,Duflo,3,179,0.0,0.0,1.0,1.8049200328678054,1.8049200259239842,0.2587474809753823,0.059479268102614176,ede
B,Duflo,4,179,0.0,0.0,1.0,1.804915492552906,1.8049200259239842,0.07937012926755148,0.05546041980999582,ede
B,EqualRight,1,173,19.61052427792376,-16.395316713399964,0.8360468328660003,1.4722721364374383,1.4838270562067637,0.09166257928484073,0.0514457323450127,ede
B,EqualRight,2,173,0.0,0.0,1.0,1.4838270628214834,1.4838270562067637,0.10205398158983393,0.083748495443894,ede
B,EqualRight,3,173,0.0,0.0,1.0,1.4838270727890739,1.4838270562067637,0.24104194244479427,0.08150260180955743,ede
B,EqualRight,4,173,0.0,0.0,1.0,1.4838270580833155,1.4838270562067637,0.07622457573572251,0.08085259300635683,ede
B,EqualRight5,1,173,14.842465545324712,-12.924196180259518,0.8707580381974048,1.6273004473154276,1.6590443084371547,0.22018795543284958,0.11774985403123621,ede
B,EqualRight5,2,173,0.0,0.0,1.0,1.6590443280856535,1.6590443084371547,0.23207482696493867,0.18319777947916177,ede
B,EqualRight5,3,173,0.0,0.0,1.0,1.6590443573152642,1.6590443084371547,0.5151659403677217,0.1831624713613624,ede
B,EqualRight5,4,173,0.0,0.0,1.0,1.659044300330104,1.6590443084371547,0.15925652140669172,0.17661009577793374,ede
