time,pi_0.0,pi_0.25,pi_0.5,pi_0.75,pi_1.0,pi_1.25,pi_1.5,pi_1.75,pi_2.0,pi_2.25,pi_2.5,pi_2.75,pi_3.0,pi_3.25,pi_3.5,pi_3.75,pi_4.0,pi_4.25,pi_4.5,pi_4.75
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,14.832861200966985,14.722044011492043,14.662088112201241,14.61297184260192,14.569803461814217,14.530586703187634,14.494261034906751,14.460179156386587,14.427909877523104,14.397148019167,14.36766772721634,14.339296019101623,14.311896750158258,14.282784177186164,14.256788525727833,14.231497693734708,14.206848061829307,14.182785349744076,14.159262779624335,14.136239682074425
2027,29.67466482207412,29.449257683798947,29.32730819939712,29.227408081568253,29.139606923628435,29.059844061107466,28.985962232197654,28.916644741286603,28.851014490340287,28.788450704740146,28.72849396794111,28.67079241144747,28.615069100216108,28.555867114441522,28.502999916735053,28.45156658690991,28.401437717526314,28.35250289804796,28.304666978768054,28.25784723532669
2028,44.52525666161373,44.18155454679246,43.99560909432314,43.84328564646507,43.70941038544265,43.587794591846304,43.475145706489634,43.36945705441669,43.26939123704118,43.174001706293,43.08258795752081,42.994613477826015,42.909656014152546,42.81941058314791,42.73881084114768,42.66039807581888,42.58397498787241,42.50937324370153,42.43644777864576,42.36507247348821
2029,59.38447470680806,58.9188433559037,58.666936710998044,58.46058034513539,58.27921384725687,58.11446366495275,57.9618587210164,57.81868409569406,57.68312804680378,57.55390833275102,57.430076034117256,57.31090439398544,57.195821444002235,57.0736039484402,56.96443024298903,56.858220894612245,56.75470868110443,56.65366561747641,56.55489523874571,56.4582267430534
2030,74.2521440772066,73.66102482991323,73.34123173427467,73.0792653038551,72.84901730907109,72.6398790918607,72.44615372096445,72.26440196625438,72.0923240778633,71.92829248124795,71.77110273296287,71.61983240670058,71.47375556505312,71.31866592947841,71.18010106470653,71.04530273661001,70.91393184978418,70.78569911146892,70.66035523563811,70.53768350856598
2031,89.1450266545884,88.4177849327851,88.0243604332827,87.70208253095132,87.4188207708853,87.16155356915412,86.92324272805935,86.69966730894186,86.4879983204622,86.28623371249643,86.09289198252566,85.90683856746713,85.72718062236551,85.53649634198685,85.36609848348769,85.2003411882521,85.03880749152343,84.8811416875633,84.72703727925081,84.57622783273146
2032,104.05264719033823,103.18306962634037,102.71265510082407,102.32731670298668,101.98862423269952,101.68104308542328,101.39612343646428,101.12883050143392,100.87578220497142,100.63458520836578,100.40346855571917,100.18107609343954,99.96634066094924,99.73849936160396,99.53486409677996,99.33678857711598,99.14377457808183,98.95539710387,98.77128998069101,98.59113492339371
2033,118.97523522211756,117.95700985108886,117.4061934460522,116.95500260546866,116.55842769451374,116.19831378310202,115.86473392809192,115.55180504072162,115.25556785203825,114.97322075222895,114.70269082758291,114.44239080843964,114.19107176436216,113.9245023551615,113.6862210347084,113.45446658386335,113.22865612820243,113.0082925102884,112.79294742362585,112.58224861321717
2034,133.91300311421298,132.73972593524294,132.1050463224103,131.58517150138647,131.12823115632796,130.7133347472314,130.32901857252065,129.9685142084822,129.62726085298274,129.3020315015724,128.99043869122755,128.69065445815784,128.4012406183473,128.09436792802055,127.8200329318485,127.55324298077775,127.29332717187471,127.03971333056566,126.79190858116839,126.5494846024797
2035,148.86614275390332,147.5313258471421,146.8092768304218,146.21785093537187,145.69803461814217,145.22607899279012,144.78892953721746,144.3788930717496,143.9907827342236,143.62092889368176,143.26661688545082,142.92576844294473,142.59674863420048,142.24799856238394,141.93620894430055,141.633037017836,141.33772049719187,141.04960936325534,140.76814376573157,140.49283725412837
2036,148.94894585834777,147.5792417679373,146.83831865787783,146.23143581592498,145.69803461814217,145.21377697680748,144.76524414807741,144.3445539483447,143.9463866392812,143.56697903581096,143.2035476211352,142.8539617051914,142.51654535397577,142.15909585440778,141.83944619084676,141.528675597799,141.2260032060901,140.93076326831488,140.64238249371428,140.3603628491735
2037,151.41777165902246,149.99004725939415,149.21774616633027,148.58517108408554,148.02920317203245,147.52447777747545,147.05701084089,146.61858923755705,146.20367035874608,145.80833379494237,145.42968007686883,145.06549003403788,144.7140183671967,144.34184273480398,144.00897623694684,143.68540249051102,143.3703088198128,143.06300247670885,142.76288702455756,142.46944441807972
2038,153.92892386077193,152.44104788768115,151.63622124181407,150.97701774625156,150.39767042278498,149.87173065226168,149.3846477438183,148.9278589197455,148.4955904895959,148.0837590317082,147.68934486077205,147.3100370771728,146.94401847404066,146.5565871122483,146.21004544156847,145.87322732918318,145.54528713632655,145.22550413646792,144.9132579131939,144.60800969222754
2039,156.4831159505777,154.9329074828746,154.09438126717885,153.40759180171491,152.80403314954953,152.25611645520067,151.74872056402197,151.27291472051445,150.82268574756029,150.3937812873275,149.98305707467208,149.5881071559402,149.2070398148456,148.80381369980708,148.44312943259132,148.09261714055015,147.75139703919297,147.41871942416773,147.09393904705036,146.77649567219026
2040,159.08106617885883,157.46629678671576,156.59287171400302,155.87751831226421,155.24889767994233,154.6782267579213,154.14980646549859,153.65432052152727,153.18550767171243,152.7389405674179,152.31134590381882,151.90021927531765,151.50359179751007,151.0840230203322,150.708720202292,150.34405585926507,149.9891148534966,149.6431174825918,149.30539279639675,148.975358350746
2041,161.72522045073714,160.04288599803454,159.13294482153748,158.38770812176793,157.73288004282142,157.13840209455466,156.587995580862,156.07193219154942,155.58369097782207,155.11866140506098,154.6734350862413,154.2454045550476,153.83252014843612,153.39585863181176,153.00528616487819,152.62584213561436,152.25657440216895,151.89667186646267,151.54543668241033,151.2022631688136
2042,164.41511446553275,162.6626733012694,161.714848746022,160.93861408186743,160.25660612350654,159.63743853361245,159.0642352663928,158.52683900503774,158.0184592876681,157.53429547100427,157.0707989846302,156.62525541339676,156.19553127212205,155.7411540475,155.3347694615683,154.94002376721807,154.5559264339288,154.1816337975307,153.81642011772757,153.45965561825676
2043,167.15156504188167,165.32639901357973,164.339282991669,163.53090263910005,162.82071182148266,162.17594801737295,161.57911388357903,161.0196074933761,160.49035875419682,159.98636978061265,159.5039465623534,159.04026372909038,158.5931008375703,158.12036936964637,157.69761552732436,157.28703221671353,156.88758909284695,156.49840872043268,156.118736437328,155.74791748918628
2044,169.935399888286,168.03481394200355,167.006957366524,166.16525040992616,165.4258432106264,164.75455247573285,164.13322971978445,163.55081406721516,162.99994537618406,162.47542117340242,161.97339659596923,161.49093119299403,161.0257143341496,160.5339744834259,160.09427960121735,159.66730878026658,159.2519903938911,158.84741199576254,158.45278894472668,158.0674406001709
2045,172.7674559134596,170.7886784322361,169.71859142942537,168.84234395315295,168.0726567019964,167.37388414308083,166.7271915446017,166.12104579719107,165.54778599109227,165.0019975078768,164.47967906340483,163.97777088215489,163.49386882492797,162.98245101795138,162.5252288588765,162.0813068866513,161.64957068426858,161.22907151969648,160.81899368620142,160.4186297236711
2046,175.60408497970005,173.56308619177062,172.4593801848892,171.5556317707469,170.76181920922835,170.04118615706648,169.37430254570657,168.7492775250952,168.1582117810046,167.59552267461416,167.05708514502845,166.53974508590778,166.04102451347356,165.51402789885003,165.04293325109808,164.5856092686297,164.14090792392642,163.70785203018184,163.28560156301586,162.8734281095081
