"time","regionwpp","Y_pc_rwpp"
2020,Australia and New Zealand,47760.98408173659
2020,Caribbean,8978.607683633032
2020,Central America,16045.729429832474
2020,Central Asia,15152.912945108385
2020,Eastern Africa,2311.808785658775
2020,Eastern Asia,17172.20743127616
2020,Eastern Europe,27002.087024505294
2020,Middle Africa,2829.6446583417364
2020,Northern Africa,10439.87879293255
2020,Northern America,60617.24887838011
2020,Northern Europe,50227.65900108213
2020,Oceania,4658.35380262122
2020,South America,14744.558204000958
2020,South-eastern Asia,11227.59638684128
2020,Southern Africa,11896.68004856092
2020,Southern Asia,6044.270833651492
2020,Southern Europe,35984.12793820992
2020,Western Africa,3753.19932794479
2020,Western Asia,23881.82451683887
2020,Western Europe,50993.18501779529
2021,Australia and New Zealand,48368.57595759463
2021,Caribbean,9172.397614489852
2021,Central America,16337.157367850132
2021,Central Asia,15619.113051853792
2021,Eastern Africa,2367.6001976168
2021,Eastern Asia,17763.20358400581
2021,Eastern Europe,27689.495291785537
2021,Middle Africa,2878.485045904427
2021,Northern Africa,10695.448942264471
2021,Northern America,61111.19204163331
2021,Northern Europe,51041.46177630525
2021,Oceania,4807.277353889821
2021,South America,15004.859821562855
2021,South-eastern Asia,11588.578809012235
2021,Southern Africa,12104.930691097628
2021,Southern Asia,6240.634682035211
2021,Southern Europe,36457.9843745811
2021,Western Africa,3841.4804635252176
2021,Western Asia,24229.187812248063
2021,Western Europe,51731.132846131935
2022,Australia and New Zealand,48942.65193919421
2022,Caribbean,9367.43971143739
2022,Central America,16628.850347309297
2022,Central Asia,16088.178445516603
2022,Eastern Africa,2426.4419953287356
2022,Eastern Asia,18355.014077537086
2022,Eastern Europe,28388.644698587275
2022,Middle Africa,2928.5392915455604
2022,Northern Africa,10959.875307614067
2022,Northern America,61586.33345340325
2022,Northern Europe,51835.6369535782
2022,Oceania,4959.471238825067
2022,South America,15266.76256717091
2022,South-eastern Asia,11957.269481394884
2022,Southern Africa,12316.389825863804
2022,Southern Asia,6442.442919493126
2022,Southern Europe,36917.50167073758
2022,Western Africa,3932.1569551717025
2022,Western Asia,24557.224408833135
2022,Western Europe,52443.532500680696
2023,Australia and New Zealand,49495.251031804844
2023,Caribbean,9566.908557600189
2023,Central America,16926.132144754494
2023,Central Asia,16562.66461528847
2023,Eastern Africa,2489.6130112638857
2023,Eastern Asia,18951.521455903814
2023,Eastern Europe,29100.455855294826
2023,Middle Africa,2981.286709638388
2023,Northern Africa,11237.687740394087
2023,Northern America,62053.73088070436
2023,Northern Europe,52613.37518678018
2023,Oceania,5116.386939022443
2023,South America,15535.096685663635
2023,South-eastern Asia,12338.7031133369
2023,Southern Africa,12535.561648413128
2023,Southern Asia,6652.874235106303
2023,Southern Europe,37369.60009199327
2023,Western Africa,4027.854081566966
2023,Western Asia,24874.698630063544
2023,Western Europe,53135.052037706264
2024,Australia and New Zealand,50036.65524285718
2024,Caribbean,9773.593368758005
2024,Central America,17233.667780591004
2024,Central Asia,17045.057602240435
2024,Eastern Africa,2558.3220168785792
2024,Eastern Asia,19556.382238808572
2024,Eastern Europe,29825.984492458156
2024,Middle Africa,3038.0793190103645
2024,Northern Africa,11532.972669512617
2024,Northern America,62522.74084711833
2024,Northern Europe,53377.57316879658
2024,Oceania,5279.369726336934
2024,South America,15814.04920050952
2024,South-eastern Asia,12737.530366120493
2024,Southern Africa,12766.41223072404
2024,Southern Asia,6874.8772183159035
2024,Southern Europe,37820.2407953216
2024,Western Africa,4130.9838967802
2024,Western Asia,25189.12142134834
2024,Western Europe,53809.89208121793
2025,Australia and New Zealand,50568.14254712674
2025,Caribbean,9987.983753817407
2025,Central America,17552.36751515714
2025,Central Asia,17536.514463146745
2025,Eastern Africa,2633.1655002369635
2025,Eastern Asia,20170.65131168927
2025,Eastern Europe,30566.102137529866
2025,Middle Africa,3099.418145878176
2025,Northern Africa,11846.782265975175
2025,Northern America,62994.37806461156
2025,Northern Europe,54130.01939698671
2025,Oceania,5448.7181681414995
2025,South America,16104.35944010636
2025,South-eastern Asia,13155.116780240893
2025,Southern Africa,13009.828631150685
2025,Southern Asia,7109.257835312121
2025,Southern Europe,38270.302689072545
2025,Western Africa,4242.438413855435
2025,Western Asia,25501.548875772274
2025,Western Europe,54469.37583295931
2026,Australia and New Zealand,51107.85707285547
2026,Caribbean,10200.817220748815
2026,Central America,17871.412020060598
2026,Central Asia,18017.542484120062
2026,Eastern Africa,2709.7653202822707
2026,Eastern Asia,20773.078348828807
2026,Eastern Europe,31282.923955530718
2026,Middle Africa,3162.508298946838
2026,Northern Africa,12164.305526278016
2026,Northern America,63449.278935961105
2026,Northern Europe,54861.96925037389
2026,Oceania,5623.265415342478
2026,South America,16392.805889238727
2026,South-eastern Asia,13565.590080868003
2026,Southern Africa,13246.78828521863
2026,Southern Asia,7343.270904446143
2026,Southern Europe,38717.745653888036
2026,Western Africa,4352.556367317136
2026,Western Asia,25844.822689208813
2026,Western Europe,55120.22362465194
2027,Australia and New Zealand,51635.65299166395
2027,Caribbean,10420.401533318078
2027,Central America,18200.665419774003
2027,Central Asia,18505.970291863814
2027,Eastern Africa,2792.9793973554583
2027,Eastern Asia,21382.171707952268
2027,Eastern Europe,32012.906080612716
2027,Middle Africa,3230.268003501738
2027,Northern Africa,12499.020250319682
2027,Northern America,63903.96662436895
2027,Northern Europe,55583.93700436434
2027,Oceania,5803.878302605936
2027,South America,16691.483168750314
2027,South-eastern Asia,13993.041506523112
2027,Southern Africa,13495.21419278587
2027,Southern Asia,7588.748082634631
2027,Southern Europe,39163.59173586213
2027,Western Africa,4471.370936492323
2027,Western Asia,26187.181911448446
2027,Western Europe,55756.74469733461
2028,Australia and New Zealand,52150.098978696435
2028,Caribbean,10646.507403495623
2028,Central America,18539.87154064123
2028,Central Asia,19002.32909831341
2028,Eastern Africa,2883.197743925039
2028,Eastern Asia,21997.912965268537
2028,Eastern Europe,32756.751242424725
2028,Middle Africa,3302.975470105849
2028,Northern Africa,12850.809419967592
2028,Northern America,64356.9581384193
2028,Northern Europe,56297.136560333995
2028,Oceania,5990.472654248362
2028,South America,17000.030678105442
2028,South-eastern Asia,14437.566155950026
2028,Southern Africa,13754.948384222072
2028,Southern Asia,7845.667358346452
2028,Southern Europe,39607.225925129154
2028,Western Africa,4599.342751090223
2028,Western Asia,26527.737448410342
2028,Western Europe,56379.30998259192
2029,Australia and New Zealand,52651.56917919554
2029,Caribbean,10879.412024653646
2029,Central America,18889.572261830595
2029,Central Asia,19507.45783078514
2029,Eastern Africa,2980.9601475625927
2029,Eastern Asia,22620.83183446984
2029,Eastern Europe,33515.2682648287
2029,Middle Africa,3381.1316715855487
2029,Northern Africa,13220.192719461627
2029,Northern America,64808.42274853524
2029,Northern Europe,57002.934079469596
2029,Oceania,6183.192401319029
2029,South America,17318.797191230737
2029,South-eastern Asia,14899.997389111484
2029,Southern Africa,14026.474643384563
2029,Southern Asia,8114.485710636332
2029,Southern Europe,40049.09063736893
2029,Western Africa,4737.310901792916
2029,Western Asia,26866.868410743085
2029,Western Europe,56988.88082303564
2030,Australia and New Zealand,53141.38134171738
2030,Caribbean,11119.693812581008
2030,Central America,19249.4619196443
2030,Central Asia,20015.77082324865
2030,Eastern Africa,3091.3980921287944
2030,Eastern Asia,23252.64978921048
2030,Eastern Europe,34283.88318082242
2030,Middle Africa,3470.0333127387503
2030,Northern Africa,13607.21073887364
2030,Northern America,65259.37905562232
2030,Northern Europe,57680.26979017558
2030,Oceania,6383.667975886913
2030,South America,17650.378790971445
2030,South-eastern Asia,15378.203432728951
2030,Southern Africa,14312.149826774612
2030,Southern Asia,8394.988494684843
2030,Southern Europe,40477.76826193458
2030,Western Africa,4890.549712177104
2030,Western Asia,27204.393394499486
2030,Western Europe,57556.57111125355
2031,Australia and New Zealand,53637.40404036121
2031,Caribbean,11357.927478304448
2031,Central America,19611.17579699013
2031,Central Asia,20505.777485016497
2031,Eastern Africa,3204.560635447785
2031,Eastern Asia,23865.492368695646
2031,Eastern Europe,35026.86454863929
2031,Middle Africa,3560.72916665976
2031,Northern Africa,13994.33704775473
2031,Northern America,65692.64845100006
2031,Northern Europe,58352.695758185866
2031,Oceania,6588.77772831252
2031,South America,17980.954086484493
2031,South-eastern Asia,15849.547326377362
2031,Southern Africa,14589.190770737967
2031,Southern Asia,8675.116829628492
2031,Southern Europe,40906.1555435825
2031,Western Africa,5043.900627226637
2031,Western Asia,27553.76990028893
2031,Western Europe,58132.18883331941
2032,Australia and New Zealand,54122.99140877654
2032,Caribbean,11603.875963373466
2032,Central America,19984.569763740034
2032,Central Asia,21003.079351870692
2032,Eastern Africa,3327.4413583420287
2032,Eastern Asia,24482.944547642714
2032,Eastern Europe,35783.327730382356
2032,Middle Africa,3658.9702039168806
2032,Northern Africa,14398.9580495991
2032,Northern America,66125.42518144715
2032,Northern Europe,59018.17883208691
2032,Oceania,6800.706372947808
2032,South America,18322.63443619177
2032,South-eastern Asia,16338.655193155282
2032,Southern Africa,14877.893966844236
2032,Southern Asia,8967.478557300132
2032,Southern Europe,41333.094199446066
2032,Western Africa,5210.0533739186
2032,Western Asia,27903.45019292222
2032,Western Europe,58694.90411924995
2033,Australia and New Zealand,54597.034931695736
2033,Caribbean,11857.511374703445
2033,Central America,20369.45611390557
2033,Central Asia,21507.950372907017
2033,Eastern Africa,3460.524080144392
2033,Eastern Asia,25105.042507675484
2033,Eastern Europe,36553.89177761892
2033,Middle Africa,3765.259447788688
2033,Northern Africa,14820.775972757403
2033,Northern America,66556.47549528247
2033,Northern Europe,59677.279658754145
2033,Oceania,7019.434205635584
2033,South America,18675.133356568724
2033,South-eastern Asia,16845.501432210578
2033,Southern Africa,15177.954980264492
2033,Southern Asia,9271.993809322968
2033,Southern Europe,41757.89606428635
2033,Western Africa,5389.617486324413
2033,Western Asia,28252.65983690923
2033,Western Europe,59244.647155198756
2034,Australia and New Zealand,55058.668852297895
2034,Caribbean,12118.84990834337
2034,Central America,20765.74872482855
2034,Central Asia,22020.873707843246
2034,Eastern Africa,3604.13174532716
2034,Eastern Asia,25731.520034120542
2034,Eastern Europe,37339.34574443284
2034,Middle Africa,3879.9786403575954
2034,Northern Africa,15259.525818678398
2034,Northern America,66984.77545924197
2034,Northern Europe,60331.144314450394
2034,Oceania,7244.893834803786
2034,South America,19038.167207522616
2034,South-eastern Asia,17370.195894704284
2034,Southern Africa,15489.09368800019
2034,Southern Asia,9588.60746432037
2034,Southern Europe,42180.343103664
2034,Western Africa,5583.074355254659
2034,Western Asia,28600.810690353792
2034,Western Europe,59782.2020822865
2035,Australia and New Zealand,55512.48778938897
2035,Caribbean,12389.559119199583
2035,Central America,21175.893460547875
2035,Central Asia,22543.367471784866
2035,Eastern Africa,3759.1948725520083
2035,Eastern Asia,26364.19163090307
2035,Eastern Europe,38140.72523563119
2035,Middle Africa,4004.2693672283435
2035,Northern Africa,15717.240603301321
2035,Northern America,67414.24986609504
2035,Northern Europe,60981.12826759132
2035,Oceania,7477.89841481434
2035,South America,19413.78139745666
2035,South-eastern Asia,17915.406620509028
2035,Southern Africa,15813.154608379153
2035,Southern Asia,9919.022800185494
2035,Southern Europe,42603.14922252105
2035,Western Africa,5792.183896377118
2035,Western Asia,28951.250940631817
2035,Western Europe,60309.63143935727
2036,Australia and New Zealand,55978.39226425523
2036,Caribbean,12660.648025587649
2036,Central America,21590.2861572731
2036,Central Asia,23039.381679621398
2036,Eastern Africa,3923.772960077133
2036,Eastern Asia,26969.95412192179
2036,Eastern Europe,38906.51969904899
2036,Middle Africa,4137.8514145588
2036,Northern Africa,16173.082709728778
2036,Northern America,67839.88599568393
2036,Northern Europe,61609.2353934405
2036,Oceania,7718.54836106197
2036,South America,19792.017157362297
2036,South-eastern Asia,18451.345255352793
2036,Southern Africa,16131.234668982828
2036,Southern Asia,10249.391902007446
2036,Southern Europe,43020.101100317304
2036,Western Africa,6009.301310475914
2036,Western Asia,29303.07797501966
2036,Western Europe,60827.60055315315
2037,Australia and New Zealand,56441.040014784114
2037,Caribbean,12942.696255113142
2037,Central America,22020.385517509174
2037,Central Asia,23543.97346097645
2037,Eastern Africa,4100.9789130134295
2037,Eastern Asia,27577.734033578345
2037,Eastern Europe,39686.96643895401
2037,Middle Africa,4282.342813902323
2037,Northern Africa,16648.054887519575
2037,Northern America,68269.24729700031
2037,Northern Europe,62234.08175348463
2037,Oceania,7967.6393507402245
2037,South America,20184.194754638374
2037,South-eastern Asia,19008.13678551187
2037,Southern Africa,16462.532277522732
2037,Southern Asia,10594.234152686646
2037,Southern Europe,43439.41122237259
2037,Western Africa,6243.747526606086
2037,Western Asia,29659.63447175293
2037,Western Europe,61337.18009836279
2038,Australia and New Zealand,56901.74454504514
2038,Caribbean,13236.518608345506
2038,Central America,22467.183333497604
2038,Central Asia,24058.133088772865
2038,Eastern Africa,4291.336875827404
2038,Eastern Asia,28187.787682091075
2038,Eastern Europe,40483.0011583012
2038,Middle Africa,4438.428262206314
2038,Northern Africa,17142.914314051504
2038,Northern America,68703.24300103472
2038,Northern Europe,62856.73978992515
2038,Oceania,8225.546306873544
2038,South America,20591.017168254188
2038,South-eastern Asia,19587.06075112093
2038,Southern Africa,16807.641898824946
2038,Southern Asia,10954.33174332485
2038,Southern Europe,43861.94848958414
2038,Western Africa,6496.451799173914
2038,Western Asia,30021.957258980077
2038,Western Europe,61839.58500737181
2039,Australia and New Zealand,57360.86506361089
2039,Caribbean,13542.673042347946
2039,Central America,22931.225390647538
2039,Central Asia,24582.673798454285
2039,Eastern Africa,4495.2631460372795
2039,Eastern Asia,28799.99733364189
2039,Eastern Europe,41295.526114279935
2039,Middle Africa,4606.688548966514
2039,Northern Africa,17658.01034271466
2039,Northern America,69141.90903639278
2039,Northern Europe,63478.135483207676
2039,Oceania,8492.48906459985
2039,South America,21012.7839713988
2039,South-eastern Asia,20188.958170177204
2039,Southern Africa,17166.798951954806
2039,Southern Asia,11330.156605653105
2039,Southern Europe,44288.02080510711
2039,Western Africa,6768.111201027856
2039,Western Asia,30390.398298499447
2039,Western Europe,62335.68815552071
2040,Australia and New Zealand,57820.654629056015
2040,Caribbean,13862.219188664052
2040,Central America,23413.977154851167
2040,Central Asia,25119.066785213316
2040,Eastern Africa,4713.157915818615
2040,Eastern Asia,29415.172147004192
2040,Eastern Europe,42125.72362687845
2040,Middle Africa,4787.758095059282
2040,Northern Africa,18194.585111020402
2040,Northern America,69586.98966987502
2040,Northern Europe,64100.01569911455
2040,Oceania,8768.912513850184
2040,South America,21450.51561731278
2040,South-eastern Asia,20815.74199168918
2040,Southern Africa,17541.03836016489
2040,Southern Asia,11722.837389280856
2040,Southern Europe,44719.40461387504
2040,Western Africa,7059.6943864390105
2040,Western Asia,30766.71923999449
2040,Western Europe,62827.74535642155
2041,Australia and New Zealand,58293.074033900826
2041,Caribbean,14184.147645520037
2041,Central America,23903.1802709752
2041,Central Asia,25640.223758526834
2041,Eastern Africa,4938.041593743848
2041,Eastern Asia,30001.7730066447
2041,Eastern Europe,42920.55943473582
2041,Middle Africa,4976.258529861442
2041,Northern Africa,18729.254544985408
2041,Northern America,70029.22807013418
2041,Northern Europe,64718.38837254757
2041,Oceania,9052.484897337097
2041,South America,21889.893154616802
2041,South-eastern Asia,21434.157946882708
2041,Southern Africa,17909.77876486538
2041,Southern Asia,12115.31761118938
2041,Southern Europe,45163.71723163601
2041,Western Africa,7358.191050501474
2041,Western Asia,31150.213761547424
2041,Western Europe,63339.11935955272
2042,Australia and New Zealand,58764.48470164367
2042,Caribbean,14518.592929528259
2042,Central America,24409.386539913976
